name,address,international_phone_number,url,rating,reviews_count,language
Inmobiliaria Lloma-Llarga S.L.,"Av. de Vicent Mortes Alfonso, 11, 46980 Paterna, Valencia, España",+34 960 04 64 29,https://www.llomallarga.com/,4.8,273.0,es
Primer Grupo Vivendia (Paterna),"C/ Major, 21, bajo-derecha, 46980 Paterna, Valencia, España",+34 961 36 50 25,http://www.inmobiliariapaterna.com/,4.5,214.0,es
RK SIRVAL Inmobiliaria,"Carrer Ravanell, 8 bajo Valterna (Urbanización Llomallarga, 46980 Paterna, Valencia, España",+34 963 82 38 40,https://rksirval.es/?utm_source=GB-VALTERNA&utm_medium=SitioWeb&utm_campaign=Business,4.9,272.0,es
Concha Pinazo Inmobiliaria,"Carrer de Sant Antoni, 73, 46980 Paterna, Valencia, España",+34 687 57 80 00,http://www.conchapinazo.com/,4.7,138.0,es
Alhora Solucions,"Carrer de les Eres, 18, 46980 Paterna, Valencia, España",+34 960 11 22 55,http://www.alhorasolucions.com/,4.8,68.0,es
ARMELAR HÁBITAT,"Llisó, Valterna, 10, 46980 Paterna, Valencia, España",+34 605 95 92 84,http://www.armelarhabitat.es/,4.7,78.0,es
VIVAC INMOBILIARIA,"Av. Blasco Ibáñez, 5, 46980 Paterna, Valencia, España",+34 692 48 54 81,http://www.inmovivac.com/,4.7,31.0,es
Inmobiliaria Paterna Expercasa,"Plaça Major, 16, 46980 Paterna, Valencia, España",+34 960 82 99 69,https://expercasa-paterna1.cms.webnode.page/,4.7,103.0,es
INMOBILIARIA VALTERNA PLAZA,"Carrer Orenga, 22, 46980 Paterna, Valencia, España",+34 961 36 40 73,https://valternaplaza.com/,4.3,47.0,es
Propietats,"C. Nicolás Copérnico, 8, 6, 46980 Paterna, Valencia, España",+34 689 16 79 21,http://propietats.es/,5.0,22.0,es
Cité Valencia inmobiliaria,,+34 660 86 17 31,,5.0,126.0,es
Paterna Atres,"Plaça de les Olleries Menors, 1, Bajo Izquierda, 46980 Paterna, Valencia, España",+34 961 82 99 95,http://www.paternaatres.com/,3.6,121.0,es
GO Premium Inmobiliaria Valencia,"Carrer de Sant Agustí, 6, 46980 Paterna, Valencia, España",,,5.0,1.0,es
VCA INMOBILIARIA,"C. Medico Ballester, 18, 2, 46980 Paterna, Valencia, España",+34 961 38 10 10,http://vcainmobiliaria.com/,5.0,31.0,es
Inmobiliaria Camarena Park S.l.,"Parque Tecnológico de Paterna, Ronda Narcís Monturiol I Estarriol, 6, 46980 Paterna, Valencia, España",+34 961 36 66 00,http://www.camarenapark.com/,4.6,13.0,es
Immobiliaria Serranos 32,"Plaça Major, 19, 46980 Paterna, Valencia, España",+34 960 06 92 95,,4.0,41.0,es
Escorpion Inmobiliaria Campolivar - Casas Verdes. Beatriz Iranzo,"Casas Verdes, Passeig Penyal d'Ifach, 55, 46980 Paterna, Valencia, España",+34 963 16 00 10,http://www.escorpioninmobiliaria.com/,4.8,118.0,es
TECNOCASA PATERNA - ALBORGI / CAMPAMENTO,"Av. del Primer de Maig, 17, 46980 Paterna, Valencia, España",+34 963 14 72 01,http://tecnocasa.es/,4.7,54.0,es
Realtor Valencia Inmobiliaria,"Carrer Carlina, 31, 46980 Paterna, Valencia, España",+34 630 56 82 04,http://www.realtorvalencia.es/,4.0,38.0,es
Inmobiliaria Terracota,"Carrer Tomell, Valterna, 5, 46980 Paterna, Valencia, España",+34 961 35 71 71,,3.9,49.0,es
Gestión Inmobiliaria Valentín,"Carrer de Jacinto Benavente, 28, 46980 Paterna, Valencia, España",+34 647 66 06 35,,4.2,9.0,es
FINCAS VALENCIA CONSULTORES INMOBILIARIOS,"PARQUE TECNOLÓGICO DE PATERNA Ronda de Narcís Monturiol 6, Centro de Negocios Destro B, Bajo 9B2, 46980 Paterna, Valencia, España",+34 961 32 46 43,http://www.fincasvalencia.net/,5.0,108.0,es
Viviria Soluciones,"Carrer Ciutat de Sevilla, 47A, 46988 Paterna, Valencia, España",+34 639 18 93 59,https://viviria.com/,4.6,37.0,es
Inmobiliaria Sylvia Albert,"Carrer Ginesta, 14, Bajo-Iz, 46980 Valterna, Valencia, España",+34 615 87 14 26,http://sylviaalbert.com/,4.6,22.0,es
Crea Espacio,"Carrer de Charles Robert Darwin, 11, 46980 Paterna, Valencia, España",+34 607 57 97 02,http://www.creaespacio.com/,4.5,80.0,es
AYUDATUCASA INMOBILIARIA,"Rda. de la Quimica, 28, 46980 Paterna, Valencia, España",+34 684 28 55 22,http://www.ayudatucasa.com/,5.0,9.0,es
Agencia Mediterránea - Oficina La Cañada,"Plaza Puerta del Sol, 10, 46182 Paterna, Valencia, España",+34 963 21 07 92,https://www.agenciamediterranea.com/,4.8,23.0,es
Expat-Valencia,"Carrer de la Mare de Déu del Pilar, 79, 46980 Paterna, Valencia, España",+34 961 38 12 40,https://www.expat-valencia.com/,4.8,131.0,fr
La Home Inmobiliaria,"Carrer 564, 14, 46182 La Canyada, Valencia, España",+34 961 32 94 00,https://www.lahomeinmobiliaria.com/,4.6,167.0,es
TECNOCASA PATERNA SANTA RITA CAMPAMENTO,"C/ Major, 55, 46980 Paterna, Valencia, España",+34 601 46 50 66,https://www.tecnocasa.es/venta/inmuebles/comunidad-valenciana/valencia/paterna.html,5.0,6.0,es
Percent Servicos Inmobiliarios,"C/ Major, 15, 46980 Paterna, Valencia, España",,,3.0,2.0,es
Puerto Inmobiliario De Alicante S L U,"Carrer del Músic Antoni Cabeza, 14, 46980 Paterna, Valencia, España",+34 961 37 11 28,,3.3,3.0,es
Inmobiliaria Gobal,"Carrer 612, 46980 Paterna, Valencia, España",,,,,es
INMOVALIU,,+34 665 44 54 75,https://www.inmovaliu.com/,5.0,11.0,es
Andreu Kovtun Propiedades Exclusivas,"Narciso, Parque tecnológico Edificio AS Center Rojo, Rda. de Narcís Monturiol, 17, pta 10, 46980 València, Valencia, España",+34 683 46 48 23,https://andreukovtun.com/,5.0,12.0,es
Zesion Valencia,"Carrer Poeta José Agustín Goytisolo, 3, 46980 Paterna, Valencia, España",+34 647 83 87 13,https://zesionconsultores.com/,5.0,5.0,es
Inmobiliaria MAS Industrial,"Carrer Ciutat de Sevilla, 14, 46988 Paterna, Valencia, España",+34 961 34 40 45,http://www.mas-industrial.es/,4.2,14.0,es
VS Home Inmobiliaria,,+34 722 43 37 18,https://www.vshome.es/,1.0,1.0,es
DOMO XXI Inmobiliaria,"Edificio – Centro de negocios Parque Tecnológico, C. Nicolás Copérnico, 8, ofi. 17, 46980 Paterna, Valencia, España",+34 961 28 81 27,,,,es
Grupo Entorno,"Carrer Serra de Crevillent, 64, 46980 Paterna, Valencia, España",+34 963 25 88 20,,3.0,1.0,es
CREAESPACIO RESIDENCIAL,"C. de San Vicent Ferrer, Local 11C, 46182 La Canyada, Valencia, España",+34 658 86 00 74,https://www.creaespacioresidencial.com/,4.8,43.0,es
Multipartena,"Carrer de Sant Francesc de Borja, 4, 46980 Paterna, Valencia, España",+34 961 38 11 15,,5.0,1.0,es
Territorio Valencia,,+34 624 30 93 93,https://territoriovalencia.com/,5.0,25.0,es
Mundo Servicios Inmobiliarios,"Carrer 29, 33, 46182 La Canyada, Valencia, España",+34 961 32 04 00,http://www.inmobiliariamundo.com/,4.9,105.0,es
Inmobiliaria Rubianos,"Carrer 29, num 53, 46182 Paterna, Valencia, España",+34 960 64 43 05,,,,es
Beatriz Martínez Serra Asesora inmobiliaria,,+34 615 97 71 37,,5.0,15.0,es
Alfa Inmobiliaria,"C/ Major, 15, 46980 Paterna, Valencia, España",+34 915 19 13 19,https://www.alfainmo.com/,1.0,1.0,ca
"CSSConsulting, Valencia (Spain) Relocation & 360º Real Estate Services (buyer agent)t)","Avda Narciso Monturiol y estarriol 3, 46980 Paterna, Valencia, España",+34 618 79 26 08,http://www.cssconsulting.es/,4.8,24.0,es
Inmobiliaria Benimamet Expercasa,"Carrer del Campament, 36, Pobles de l'Oest, 46035 València, Valencia, España",+34 622 37 71 70,http://www.expercasa.com/,4.8,118.0,es
"OFICINAS DEL PARQUE, S.L.","Parque Tecnológico de Valencia, Carrer de Juan de la Cierva y Codorniu, 10, 46980 Paterna, Valencia, España",+34 649 89 44 33,http://oficinasdelparque.es/,5.0,4.0,es
Lazora,"Carrer el Puig, 28, 46980 Paterna, Valencia, España",+34 910 88 99 88,,2.1,16.0,es
Gesacti - Inmobiliaria gestión de activos inmobiliarios,,+34 667 34 98 33,https://gesacti.es/,,,es
Inmobiliaria,"Carrer 602, 72, 46980 Paterna, Valencia, España",,,,,es
RESIDENCIAL DEL MEDITERRANEO,"Carrer Ciutat de Sevilla, 47, 46988 Paterna, Valencia, España",+34 961 34 40 45,http://www.residencialdelmediterraneo.es/,5.0,3.0,es
Escorpion Inmobiliaria. Ética Inmobiliaria.,"Plaça Verdum, Local 14, Urb, 46117 Bétera, Valencia, España",+34 961 69 82 22,http://www.escorpioninmobiliaria.com/,4.5,93.0,es
NC Servicios Inmobiliarios,"Carrer de l'Actor Rambal, 16, 46100 Burjassot, Valencia, España",+34 722 33 54 64,https://ncserviciosinmobiliarios.com/,4.6,83.0,es
"Haven Homes, S.L.",,+34 642 41 68 68,https://www.havenhomespain.com/,5.0,7.0,es
Nova Cañada Inmobiliaria,"Carrer 29, 63, izda, 46182 La Canyada, Valencia, España",+34 961 32 10 53,https://www.novacanyada.com/,4.9,24.0,es
Inmobiliaria Atalaya,"Carrer 15, 6, 46182 La Canyada, Valencia, España",+34 961 32 33 26,,5.0,2.0,es
INNAVE,"Parque Tecnológico, Ronda Auguste y Louis Lumière, 15, 46980 Paterna, Valencia, España",+34 961 36 69 70,http://www.innave.es/,,,es
