name,address,international_phone_number,url,rating,reviews_count,language,comment,zip_code
InmoHouse Albacete,"C. Caba, 5, entreplanta, 02002 Albacete, España",+34 967 70 29 24,http://www.inmohouse.net/,4.9,343.0,es,Google reviews: 4.9* / 343,02002
Best House Albacete Los Llanos,"C. Blasco Ibáñez, 28, 02004 Albacete, España",+34 967 03 33 58,http://www.best-house.es/albacetelosllanos,4.9,316.0,es,Google reviews: 4.9* / 316,02004
M&C Gestión Inmobiliaria,"C. Teodoro Camino, 12, 02002 Albacete, España",+34 967 09 48 37,https://www.mycgestioninmobiliaria.es/,5.0,433.0,es,Google reviews: 5* / 433,02002
Izon Consulting - Inmobiliaria en Albacete,"C. Pedro Martínez Gutiérrez, 13, 02004 Albacete, España",+34 967 66 00 05,http://www.izonconsulting.es/,4.6,385.0,es,Google reviews: 4.6* / 385,02004
TRICASA - CASAWEB - Gestión Inmobiliaria,"C. Escritor Ben Nassir, 24, Bajo, 02006 Albacete, España",+34 633 24 48 44,http://www.tricasainmobiliaria.com/,4.9,247.0,es,Google reviews: 4.9* / 247,02006
GABINETE DE GESTIONES - Grupo Inmobiliario,"Pl. la Catedral, 8, BAJO, 02005 Albacete, España",+34 967 66 39 08,http://gabinetedegestiones.es/,4.9,122.0,es,Google reviews: 4.9* / 122,02005
GRAIN GRUPO INMOBILIARIO GARCÍA VELASCO.,"C. Albarderos, 10, 02004 Albacete, España",+34 967 66 63 33,http://www.inmobiliariagrain.com/,4.6,193.0,es,Google reviews: 4.6* / 193,02004
Inmobiliaria Llavin SL,"C. Pablo Medina, 4, Bajo, 02001 Albacete, España",+34 667 93 61 03,http://www.inmobiliariallavin.com/,4.7,106.0,es,Google reviews: 4.7* / 106,02001
Inmobiliaria Global House,"Av. Ramón Menéndez Pidal, 9, 02005 Albacete, España",+34 967 70 02 21,http://globalhouseab.com/,4.8,128.0,es,Google reviews: 4.8* / 128,02005
Fincasa Inmobiliaria,"C. Caba, 9, 02001 Albacete, España",+34 967 77 07 07,http://www.fincasa.ws/,5.0,38.0,es,Google reviews: 5* / 38,02001
VIP HOME INMOBILIARIA,"Albacete Capital, C. Octavio Cuartero, 70, 02004 Albacete, España",+34 967 85 80 71,http://www.viphomeinmobiliaria.com/,4.9,51.0,es,Google reviews: 4.9* / 51,02004
JvJ AlbaRealty Inmobiliaria,"C. Caba, 35, 02001 Albacete, España",+34 967 61 27 18,https://www.jvjinmobiliaria.com/,4.3,56.0,es,Google reviews: 4.3* / 56,02001
INMOBILIARIA TEJARES,"C. Arquitecto Vandelvira, 25, 02003 Albacete, España",+34 967 13 01 35,https://www.inmobiliariatejares.com/,4.5,109.0,es,Google reviews: 4.5* / 109,02003
drshabitat,"C. Parra, 31, A, 02002 Albacete, España",+34 967 67 26 26,http://www.drshabitat.com/,4.8,49.0,es,Google reviews: 4.8* / 49,02002
Juan Carlos Alfaro: Monapart | Inmobiliaria,"C. Caba, 20, BAJO, 02001 Albacete, España",+34 967 60 12 15,https://www.monapart.com/agentes/juancarlos-alfaro,5.0,62.0,en,Google reviews: 5* / 62,02001
Inmobiliaria Haunted House,"C. Rosario, 32, 02001 Albacete, España",+34 644 77 60 23,http://www.inmohauntedhouse.com/,4.8,22.0,es,Google reviews: 4.8* / 22,02001
GL Servicios Inmobiliarios,"C. Industria, 9, 02005 Albacete, España",+34 967 04 31 27,http://www.glinmuebles.com/,4.5,101.0,es,Google reviews: 4.5* / 101,02005
Viviendasalbacete,"C. Rosario, 65, Bajo, 02003 Albacete, España",+34 611 42 33 66,https://www.viviendasalbacete.com/,4.6,28.0,es,Google reviews: 4.6* / 28,02003
Venta de Pisos en Albacete - La Noria Inmobiliaria.,"C/ Feria, 42, 2ª Entreplanta, 02005 Albacete, España",+34 967 60 36 95,https://www.lanoriainmobiliaria.com/,4.1,48.0,es,Google reviews: 4.1* / 48,02005
La Mancha Servicios Inmobiliarios,"C. la Roda, 15a, 02006 Albacete, España",+34 967 04 48 15,http://www.inmobiliarialamancha.es/,4.6,124.0,es,Google reviews: 4.6* / 124,02006
