name,address,maps_phone,url,rating,reviews_count,language,comment,business_status,types,zip_code
Agencia Inmobiliaria Alicante,"Rbla. de Méndez Núñez, 35, 1B, 03001 Alicante (Alacant), Alicante, España",+34 966 10 32 33,https://www.inmobiliariaalicante.com/,4.9,206.0,es,Google reviews: 4.9* / 206,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",03001
Inmobiliaria Casamayor,"C. de Ángel Lozano, 17, 03001 Alicante (Alacant), Alicante, España",+34 965 21 24 24,https://www.inmobiliariacasamayor.com/,4.8,1216.0,es,Google reviews: 4.8* / 1216,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",03001
EZOVSKI real estate,"calle del teatro 25, local 2 esquina calle del Teatro, y, C. de las Navas, 03001 Alicante (Alacant), Alicante, España",+34 966 38 84 22,https://www.ezovski.es/,4.9,185.0,es,Google reviews: 4.9* / 185,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",03001
Inmobiliaria Studio Centro,"Calle Belando, 14, Bajo, 03004 Alicante (Alacant), Alicante, España",+34 653 79 64 62,http://www.inmobiliariastudio.es/,4.8,194.0,es,Google reviews: 4.8* / 194,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",03004
La Alicantina Inmobiliaria,"C. de las Navas, 50, 2ºC, 03001 Alicante (Alacant), Alicante, España",+34 670 52 64 14,http://www.inmobiliarialaalicantina.com/,4.7,162.0,es,Google reviews: 4.7* / 162,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",03001
Inmolux ,"Av. de la Estación, 5, 03003 Alicante (Alacant), Alicante, España",+34 966 59 29 94,https://www.inmolux.es/,4.9,419.0,es,Google reviews: 4.9* / 419,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",03003
Engel & Völkers ,"C/ Girona, 28, bajo, 03001 Alacant, Alicante, España",+34 966 28 70 70,http://www.engelvoelkers.com/alicante,4.5,170.0,es,Google reviews: 4.5* / 170,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",03001
WeReal Grupo Inmobiliario,"Carrer Arquitecto Morell, 27, 03003 Alicante (Alacant), Alicante, España",+34 965 36 28 58,https://www.wereal.es/,4.9,272.0,es,Google reviews: 4.9* / 272,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",03003
K&N ELITE Real Estate Agency,"C. Bailen, 3, Bajo, 03001 Alacant, Alicante, España",+34 966 11 81 88,http://www.knelite.com/,4.6,160.0,es,Google reviews: 4.6* / 160,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",03001
Alicante Home Costa Blanca Inmobiliaria,"Av. Alfonso El Sabio, 21, primer piso, 03001 Alicante (Alacant), Alicante, España",+34 626 82 12 13,http://www.alicantehome.es/,4.9,116.0,en,Google reviews: 4.9* / 116,OPERATIONAL,"('real_estate_agency', 'lawyer', 'consultant', 'point_of_interest', 'establishment')",03001
