name,address,maps_phone,url,rating,reviews_count,language,comment,business_status,types,zip_code
Inmobiliaria Colon en Badajoz,"C. Antonio Montero Moreno, numero 2, 06004 Badajoz, España",+34 924 43 38 34,https://inmobiliariacolon.com/,4.8,228.0,es,Google reviews: 4.8* / 228,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06004
Loft Sinergias Inmobiliarias,"Pl. de los Alféreces, 11, 06005 Badajoz, España",+34 924 95 37 59,http://www.loftinmobiliaria.es/,4.8,275.0,es,Google reviews: 4.8* / 275,OPERATIONAL,"('real_estate_agency', 'general_contractor', 'point_of_interest', 'establishment')",06005
Área 73 Badajoz,"C. Ricardo Fernández de la Puente, 29, 06001 Badajoz, España",+34 662 03 43 11,https://www.area73.es/,4.7,92.0,es,Google reviews: 4.7* / 92,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06001
IHS Inmobiliaria,"Paseo Condes de Barcelona, 25A, 06010 Badajoz, España",+34 924 22 72 73,https://www.ihsinmobiliaria.com/,4.9,423.0,es,Google reviews: 4.9* / 423,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06010
Inmobiliaria Alcazaba,"Av. María Auxiliadora, 1, 06010 Badajoz, España",+34 924 23 40 66,http://www.inmobiliariaalcazaba.com/,5.0,117.0,es,Google reviews: 5* / 117,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06010
Ana Belén López ,"Rda. del Pilar, 7, 1°A, 06002 Badajoz, España",+34 924 93 57 48,http://www.anabelenlopez.com/,5.0,48.0,es,Google reviews: 5* / 48,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06002
Acticasa Badajoz,"Av. Santa Marina, 34, 06005 Badajoz, España",+34 924 47 75 00,http://www.acticasa.com/,4.5,39.0,es,Google reviews: 4.5* / 39,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06005
TU ZONA INMOBILIARIA BADAJOZ,"Av. Ricardo Carapeto Zambrano, 7, 06008 Badajoz, España",+34 629 01 51 18,https://inmobiliariatuzona.com/oficina-badajoz/?utm_source=google+&utm_medium=maps&utm_campaign=badajoz,4.5,125.0,es,Google reviews: 4.5* / 125,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",06008
Hábitat Inmobiliaria - Centro,"Habitat Inmobiliaria, Avenida Juan Carlos I, 2, 06002 Badajoz, España",+34 924 26 06 06,http://inmohabitat.es/,4.3,38.0,es,Google reviews: 4.3* / 38,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06002
GARCIA Y MARQUEZ SERVICIOS INMOBILIARIOS,"Av. Jose María Alcaraz y Alenda, 31, 06011 Badajoz, España",+34 924 23 77 77,http://www.egarciamarquez.com/,4.7,402.0,es,Google reviews: 4.7* / 402,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",06011
Inmobiliaria Decampo: Venta de fincas y viviendas urbanas en Extremadura,"C. Francisco Pizarro, 1B, 06001 Badajoz, España",+34 672 73 18 93,https://www.decampo.es/,5.0,34.0,es,Google reviews: 5* / 34,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06001
Inmobiliaria Puerta Palma,"Av. Juan Pereda Pila, 29, 06004 Badajoz, España",+34 924 22 13 34,http://www.inmobiliariapuertapalma.com/,4.4,136.0,es,Google reviews: 4.4* / 136,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06004
VILLANUEVA4 Agencia Inmobiliaria,"Avenida Villanueva 4, Avd de Elvas, 41, 06005 Badajoz, España",+34 924 47 79 63,https://www.villanueva4.es/,4.6,52.0,es,Google reviews: 4.6* / 52,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06005
Marin inmobiliaria,"Av. María Auxiliadora, 6, 06011 Badajoz, España",+34 924 93 87 58,http://www.marininmobiliaria.es/,5.0,178.0,es,Google reviews: 5* / 178,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06011
Inmobiliaria Badajoz,"C. Santo Domingo, 25, 06001 Badajoz, España",+34 924 26 20 23,,3.3,16.0,es,Google reviews: 3.3* / 16,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06001
Tecnicasa Gestion De Viviendas SL,"Av. Sinforiano Madroñero, 14, 06011 Badajoz, España",+34 924 24 60 00,http://www.tecnicasa.net/,4.8,172.0,es,Google reviews: 4.8* / 172,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",06011
GARCIA Y MARQUEZ,"Av. de Europa, 9, 06004 Badajoz, España",+34 924 23 77 77,http://www.egarciamarquez.com/,4.8,75.0,es,Google reviews: 4.8* / 75,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06004
Inmobiliaria López ,"C. Moreno Zancudo, 3, 06002 Badajoz, España",+34 924 23 15 61,https://www.instagram.com/inmobiliarialopezmontenegro/?hl=es,4.3,9.0,es,Google reviews: 4.3* / 9,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06002
3D BADAJOZ INMOBILIARIA,"Av. Tomás Romero de Castilla, 14, 06011 Badajoz, España",+34 924 20 07 17,https://www.3dbadajoz.net/,5.0,17.0,es,Google reviews: 5* / 17,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06011
Apinavarro,"C. Rodrigo Dosma, n° 8, A, 06001 Badajoz, España",+34 924 24 00 24,http://www.apinavarro.com/,4.6,17.0,es,Google reviews: 4.6* / 17,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06001
Inmobiliaria Municipal De Badajoz S A,"P.º San Francisco, 1, 3a Planta, 06002 Badajoz, España",+34 924 22 46 61,https://inmuba.com/,4.0,24.0,es,Google reviews: 4* / 24,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06002
Hábitat Inmobiliaria ,"Pl. Américas, 8, 06011 Badajoz, España",+34 924 23 66 66,http://inmohabitat.es/,4.6,83.0,es,Google reviews: 4.6* / 83,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06011
Nacho Albarran Inmobiliaria,"Zurbaran, 31-1D, 06002 Badajoz, España",+34 692 21 41 76,http://www.nachoalbarraninmobiliaria.com/mapa_web,4.3,26.0,es,Google reviews: 4.3* / 26,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06002
InmoCenter,"C. Luis Álvarez Lencero, 2E, 06011 Badajoz, España",+34 635 59 15 94,http://www.inmocenterbadajoz.com/,4.9,92.0,es,Google reviews: 4.9* / 92,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06011
Inmobiliaria Valdepasillas,"C. Jacinta García Hernández, 13A, 06011 Badajoz, España",+34 924 03 37 22,https://www.inmobiliariavaldepasillas.com/,4.8,17.0,es,Google reviews: 4.8* / 17,OPERATIONAL,"('real_estate_agency', 'consultant', 'finance', 'point_of_interest', 'establishment')",06011
V & R Asesores Inmobiliarios,"Av. Juan Pereda Pila, 11, 06004 Badajoz, España",+34 924 25 25 45,https://www.vyrasesoresinmobiliarios.es/,4.9,74.0,es,Google reviews: 4.9* / 74,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06004
Inmosurex Agencia Inmobilaria,"Av. Sinforiano Madroñero, 24, 06011 Badajoz, España",+34 640 09 43 08,https://www.inmosurexinmobiliaria.com/,4.9,32.0,es,Google reviews: 4.9* / 32,OPERATIONAL,"('real_estate_agency', 'general_contractor', 'consultant', 'point_of_interest', 'establishment')",06011
Inmotex Inmobiliaria,"Av. Damián Téllez Lafuente, 6, 06010 Badajoz, España",+34 924 19 60 29,https://inmotexinmobiliaria.com/,5.0,20.0,es,Google reviews: 5* / 20,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06010
Inmobas ,"C. Antonio Martínez Virel, 3, Bajo Izquierda, 06011 Badajoz, España",+34 924 19 75 71,http://www.inmobas.es/,4.8,44.0,es,Google reviews: 4.8* / 44,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06011
Extrecasa,"C. Alonso de Escobar, 3, 06003 Badajoz, España",+34 924 20 52 58,http://www.extrecasa.net/,3.4,47.0,es,Google reviews: 3.4* / 47,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06003
Andres gestor inmobiliario,,+34 644 03 67 77,http://www.facebook.com/profile.php?id=61555768753097,5.0,2.0,es,Google reviews: 5* / 2,OPERATIONAL,"('real_estate_agency', 'establishment')",
Lucasa Gestor Inmobiliario,"C. Héroes de Cascorro, 3, 06004 Badajoz, España",+34 669 63 62 89,http://www.lucasainmobiliaria.es/,4.5,21.0,es,Google reviews: 4.5* / 21,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06004
Viviendas La Casa y El Árbol,"C. Prim, 9, Local 3, 06001 Badajoz, España",+34 644 05 02 90,https://lacasayelarbol.com/,4.7,3.0,es,Google reviews: 4.7* / 3,OPERATIONAL,"('real_estate_agency', 'general_contractor', 'point_of_interest', 'establishment')",06001
Global Inmobiliaria,"Av. Juan Pereda Pila, 27, 06004 Badajoz, España",+34 924 10 33 15,http://www.globalinmobiliaria.net/,2.8,33.0,es,Google reviews: 2.8* / 33,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06004
INPOMOL,"C. Adelardo Covarsí, 7, 06005 Badajoz, España",+34 924 22 23 32,https://www.inpomol.com/,4.0,25.0,es,Google reviews: 4* / 25,OPERATIONAL,"('real_estate_agency', 'store', 'point_of_interest', 'establishment')",06005
Glow inmogestion ,"Zurbaran, 15, 2º-B, 06002 Badajoz, España",+34 626 58 36 62,https://glowinmogestion.com/,,,es,Google reviews: * / None,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06002
Flashome Inmobiliaria ( 06002 ),"C. Muñoz Torrero, 24, 06002 Badajoz, España",+34 611 47 48 21,https://www.flashome.net/,4.9,15.0,es,Google reviews: 4.9* / 15,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",06002
