name,address,maps_phone,url,rating,reviews_count,language,comment,business_status,types,zip_code
🥇 Agencia inmobiliaria Mallorca ,"Carrer del Ter, 12, 2º Piso, 3º Puerta, Levante, 07009 Palma, Illes Balears, España",+34 637 79 27 62,http://www.rhrealestatemallorca.com/,4.9,55.0,es,Google reviews: 4.9* / 55,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07009
Inmobiliaria Inmogestión Balear,"57, Carretera de Valldemossa, Nord, 07010 Palma, Illes Balears, España",+34 971 66 65 27,https://www.inmogestionbalear.com/,4.8,318.0,es,Google reviews: 4.8* / 318,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07010
Amelia Inmobiliaria,"Career Nuredduna, 10, 3° D, Llevant, 07006 Palma, Illes Balears, España",+34 871 59 18 64,https://ameliainmobiliaria.com/,4.9,123.0,es,Google reviews: 4.9* / 123,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07006
Mamá Inmobiliaria,"Carrer de Bartomeu Sureda i Miserol, 7, Local 9, Poniente, 07013 Sa Vileta-Son Rapinya, Illes Balears, España",+34 871 85 75 64,http://www.mamainmobiliaria.com/,4.9,160.0,es,Google reviews: 4.9* / 160,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07013
Atrio inmobiliaria Mallorca,"Plaça de Sant Antoni, 11, Centre, 07002 Palma, Illes Balears, España",+34 618 92 20 47,http://www.atrioinmobiliaria.com/,5.0,36.0,es,Google reviews: 5* / 36,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",07002
Palmacasa Inmobiliaria,"Carrer d'En Vilanova, 4, Centre, 07002 Palma, Illes Balears, España",+34 971 71 47 88,http://www.palmacasa.es/,4.9,343.0,es,Google reviews: 4.9* / 343,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07002
Talaiot Asesores Inmobiliarios,"Passatge Particular de Santa Catalina de Sena, nº 1, Centre, 07002 Palma, Illes Balears, España",+34 971 75 48 78,http://inmobiliariatalaiot.es/,4.9,492.0,es,Google reviews: 4.9* / 492,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07002
Sky Solutions Group Mallorca,"Pg. del Born, 15, 2 B-C, Distrito Centro, 07012 Palma, Illes Balears, España",+34 971 15 03 22,https://skysolutionsgroup.es/mallorca/,4.7,47.0,es,Google reviews: 4.7* / 47,OPERATIONAL,"('real_estate_agency', 'finance', 'lawyer', 'consultant', 'point_of_interest', 'establishment')",07012
Inmobiliaria Buades. Mª Dolores Carballal Buades,"Carrer de Can Ribera, 4, esc.izda.1º B, Centre, 07012 Palma, Illes Balears, España",+34 692 50 59 21,,4.7,3.0,es,Google reviews: 4.7* / 3,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07012
Inmobiliaria RED Premium Real Estate  ( 07012 ),"Carrer de la Protectora, 10, LOCAL 11, Distrito Centro, 07012 Palma, Illes Balears, España",+34 971 88 80 18,http://www.redpremium.es/,4.4,200.0,es,Google reviews: 4.4* / 200,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07012
Smârthöme Mallorca ,"Carrer de Can Puigdorfila, 14, Centre, 07001 Palma, Illes Balears, España",+34 971 09 28 97,http://www.smarthomemallorca.com/,5.0,19.0,es,Google reviews: 5* / 19,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07001
Inmobiliaria en Palma de Mallorca ,"Calle Isla de Malta, 13, Platja de Palma, 07007 Palma, Illes Balears, España",+34 657 47 27 83,http://www.regainternational.com/,5.0,42.0,es,Google reviews: 5* / 42,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",07007
Verí Mallorca,"Carrer de Can Verí, 4, Centre, 07001 Palma, Illes Balears, España",+34 871 53 90 72,http://verimallorca.com/,5.0,2.0,es,Google reviews: 5* / 2,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07001
RE/MAX Immocorner ,"Pg. de Mallorca, 14, Centre, 07012 Palma, Illes Balears, España",+34 971 12 29 91,http://www.immo-corner.com/,5.0,31.0,es,Google reviews: 5* / 31,OPERATIONAL,"('real_estate_agency', 'apartment_building', 'finance', 'point_of_interest', 'establishment')",07012
InMallorca Inmobiliaria ( 07002 ),"Carrer de Josep Anselm Clavé, 2, Centre, 07002 Palma, Illes Balears, España",+34 682 80 09 07,https://www.inmallorcainmobiliaria.com/,5.0,9.0,es,Google reviews: 5* / 9,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07002
InmoBienvenue,"Plaça de Santa Eulàlia, 7, Planta 2 Despacho nº 3, Centre, 07001 Palma, Illes Balears, España",+34 666 00 36 65,https://www.inmo-bienvenue.com/,4.5,15.0,es,Google reviews: 4.5* / 15,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",07001
Inmobiliaria Inmovisa en Palma,"Carrer del Baró de Pinopar, 14, bajos, Centre, 07012 Palma, Illes Balears, España",+34 971 72 59 69,https://inmovisa.com/,4.7,119.0,en,Google reviews: 4.7* / 119,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",07012
Inmobiliaria en Palma · Balear Living Real Estate,"Gran Via Asima, 2, Nord, 07009 Palma, Illes Balears, España",+34 971 12 84 59,https://realestatebalear.com/,5.0,63.0,es,Google reviews: 5* / 63,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",07009
Reset Real Estate,"Los Geranios, Passatge Particular de Santa Catalina de Sena, 2, Oficina 1A, Distrito Centro, 07002 Edf, Illes Balears, España",+34 658 87 05 41,,4.4,7.0,es,Google reviews: 4.4* / 7,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07002
Estate Agency Balearic Properties ,"Carrer d'Alcúdia, 3, 07460 Pollença, Illes Balears, España",+34 971 53 29 84,http://www.balearic-properties.com/,4.3,59.0,es,Google reviews: 4.3* / 59,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07460
BAUZÁ INMOBILIARIA,"Carrer de la Palma, 5B, Centre, 07003 Palma, Illes Balears, España",+34 627 04 72 17,https://bauzainmobiliaria.com/,5.0,109.0,es,Google reviews: 5* / 109,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07003
Mallorca Select,"Carrer dels Paraires, 26, I, Centre, 07002 Palma, Illes Balears, España",+34 634 30 37 79,http://mallorca-select.com/,5.0,43.0,en,Google reviews: 5* / 43,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07002
John Taylor Palma de Mallorca,"Carrer Constitució, 8, Centre, 07001 Palma, Illes Balears, España",+34 971 59 88 00,https://www.john-taylor.es/,4.6,13.0,es,Google reviews: 4.6* / 13,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07001
NOUDOS Inmobiliaria,"Carrer Gral. Ricardo Ortega, 6, Llevant, 07006 Palma, Illes Balears, España",+34 971 63 56 91,http://noudos.com/,4.8,30.0,es,Google reviews: 4.8* / 30,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07006
Engel & Völkers Palma Centro,"Carrer Constitució, 7, Centre, 07001 Palma, Illes Balears, España",+34 971 21 41 40,https://www.engelvoelkers.com/es/en/shops/palma-centre,4.2,41.0,es,Google reviews: 4.2* / 41,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07001
Fincas Fiol,"Carrer de Francesc Suau, 20, Bajos, Nord, 07010 Palma, Illes Balears, España",+34 971 75 52 20,http://www.fincasfiol.com/,4.7,380.0,es,Google reviews: 4.7* / 380,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07010
Inmovelia,,+34 611 08 52 07,https://inmovelia.com/,4.9,57.0,es,Google reviews: 4.9* / 57,OPERATIONAL,"('real_estate_agency', 'establishment')",
IB Invest ,"Plaça de Santa Eulàlia, 7, Planta 2 Despacho nº 3, Centre, 07001 Palma, Illes Balears, España",+34 666 00 36 65,https://www.ibinvest.es/,4.2,5.0,es,Google reviews: 4.2* / 5,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",07001
Palma Realtor,"Carrer de Sant Martí, 1, Centre, 07012 Palma, Illes Balears, España",+34 681 15 45 15,http://www.palmarealtor.com/,5.0,51.0,es,Google reviews: 5* / 51,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07012
Inmobiliaria Mallorca ,"Passatge Galerias Jaime III, 2, Entresuelo F, Distrito Centro, 07012 Palma, Illes Balears, España",+34 971 71 93 01,https://www.pisosmuybaratos.com/,5.0,3.0,es,Google reviews: 5* / 3,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07012
Baleares Immobiliaria,,+34 620 70 88 95,http://www.baleares.immo/,5.0,15.0,es,Google reviews: 5* / 15,OPERATIONAL,"('real_estate_agency', 'establishment')",
Medina Mallorca Properties SL,"Carrer de la Victòria, 4, Centre, 07001 Palma, Illes Balears, España",+34 971 71 80 28,http://www.medina-mallorca.com/,4.2,5.0,es,Google reviews: 4.2* / 5,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",07001
Spain Sotheby's International Realty  ( 07001 ),"Carrer de Can Puigdorfila, 2, Bajo pt 02, Distrito Centro, 07001 Palma, Illes Balears, España",+34 871 18 00 48,https://www.spain-sothebysrealty.com/,5.0,16.0,en,Google reviews: 5* / 16,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",07001
