name,address,international_phone_number,url,rating,reviews_count,language
🥇 Agencia inmobiliaria Mallorca | RH Real Estate Mallorca | Raquel Hernandez,"Carrer del Ter, 12, 2º Piso, 3º Puerta, Levante, 07009 Palma, Illes Balears, España",+34 637 79 27 62,http://www.rhrealestatemallorca.com/,4.9,56.0,es
Inmobiliaria en Mallorca - Mundo Pisos,"Avinguda de l'Argentina, 32, 07011 Palma, Illes Balears, España",+34 971 91 08 01,https://www.mundopisos.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=organicmap,4.8,255.0,es
Palmacasa Inmobiliaria,"Carrer d'En Vilanova, 4, Centre, 07002 Palma, Illes Balears, España",+34 971 71 47 88,http://www.palmacasa.es/,4.9,329.0,es
Amelia Inmobiliaria,"Career Nuredduna, 10, 3° D, Llevant, 07006 Palma, Illes Balears, España",+34 871 59 18 64,https://ameliainmobiliaria.com/,4.9,123.0,es
Molina Homes Inmobiliaria,"Carrer de Joan Lluís Estelrich, 18, Centre, 07003 Palma, Illes Balears, España",+34 871 03 70 32,http://molinahomes.es/,5.0,215.0,es
Chic Mallorca Real Estate,"Carrer de Joan Crespí, 14, Ponent, 07014 Palma, Illes Balears, España",+34 685 98 91 98,http://www.chicmallorca.com/,4.7,130.0,es
John Taylor Palma de Mallorca,"Carrer Constitució, 8, Centre, 07001 Palma, Illes Balears, España",+34 971 59 88 00,https://www.john-taylor.es/,4.6,13.0,es
Inmobiliaria RED Premium Real Estate | Palma de Mallorca,"Carrer de la Protectora, 10, LOCAL 11, Distrito Centro, 07012 Palma, Illes Balears, España",+34 971 88 80 18,http://www.redpremium.es/,4.4,190.0,es
Smârthöme Mallorca - Real Estate,"Carrer de Can Puigdorfila, 14, Centre, 07001 Palma, Illes Balears, España",+34 971 09 28 97,http://www.smarthomemallorca.com/,5.0,19.0,es
Coco Inmobiliaria,"Carrer de Ticià, 47, Nord, 07003 Palma, Illes Balears, España",+34 871 53 49 61,http://cocoinmobiliaria.com/,5.0,197.0,es
Talaiot Asesores Inmobiliarios,"Passatge Particular de Santa Catalina de Sena, nº 1, Centre, 07002 Palma, Illes Balears, España",+34 971 75 48 78,http://inmobiliariatalaiot.es/,4.9,489.0,es
