name,address,international_phone_number,url,rating,reviews_count,language,comment
Inmo Arquillos - INMOBILIARIA EN VITORIA GASTEIZ,"General Alava Kalea, 6, 01005 Vitoria-Gasteiz, Araba, España",+34 945 17 02 56,http://www.inmoarquillos.com/,4.9,29.0,es,Google reviews: 4.9* / 29
Perales Digital,"Calle Ramon Ortiz de Zarate, 1, 01005 Vitoria-Gasteiz, Araba, España",+34 945 15 16 17,http://www.peralesdigital.com/,4.7,340.0,es,Google reviews: 4.7* / 340
Inmogestion Araia,"Coronación de la Virgen Blanca Kalea, 1, 01012 Vitoria-Gasteiz, Araba, España",+34 699 47 16 86,http://www.inmogestionaraia.es/,4.6,62.0,es,Google reviews: 4.6* / 62
YAINMO INMOBILIARIA,"Badaia Kalea, 29, 01012 Vitoria-Gasteiz, Araba, España",+34 945 04 36 01,http://www.yainmoinmobiliaria.com/,4.5,65.0,es,Google reviews: 4.5* / 65
Fincas Uleta,"Ramón, Calle Ramon Ortiz de Zarate, 7, 01005 Vitoria-Gasteiz, Araba, España",+34 945 15 55 55,http://www.fincasuleta.com/,4.4,155.0,es,Google reviews: 4.4* / 155
Inmobiliaria Senda,"Gaztelako Atea, 1, 01007 Vitoria-Gasteiz, Araba, España",+34 945 26 99 25,http://www.inmobiliariasenda.com/,4.3,43.0,es,Google reviews: 4.3* / 43
General Inmobiliaria,"Sancho el Sabio Kalea, 16, 01008 Vitoria-Gasteiz, Araba, España",+34 945 23 49 00,https://www.generalinmobiliaria.com/,4.7,173.0,es,Google reviews: 4.7* / 173
Inmobiliaria Roma,"Calle de, Mateo Benigno de Moraza Kalea, 1, 01001 Vitoria-Gasteiz, Araba, España",+34 945 23 13 50,http://www.inmobiliariaroma.com/,4.1,55.0,es,Google reviews: 4.1* / 55
INMOBILIARIA FINCAS ANITUA,"Diputación Foral de Alava Kalea, 1, 01001 Vitoria-Gasteiz, Araba, España",+34 602 62 78 12,http://www.inmobiliaria-anitua.com/,3.9,36.0,es,Google reviews: 3.9* / 36
Engel & Völkers - Agencia Inmobiliaria en Vitoria Gasteiz,"Independentzia Kalea, 18, 01005 Vitoria-Gasteiz, Araba, España",+34 945 14 11 70,https://www.engelvoelkers.com/es/es/shops/vitoria-gasteiz,4.7,129.0,es,Google reviews: 4.7* / 129
Vivir en Vitoria Servicios Inmobiliarios,"Portal de Foronda Kalea, 54, 01010 Vitoria-Gasteiz, Araba, España",+34 945 14 41 22,http://vivirenvitoria.com/,4.9,172.0,es,Google reviews: 4.9* / 172
INMO GASTEIZ A&M,"Errioxa K., 22, Bajo, 01005 Vitoria-Gasteiz, Araba, España",+34 945 00 26 29,http://alquilerymediacion.com/,3.0,62.0,es,Google reviews: 3* / 62
INMOMOVE,"Badaia Kalea, 29, 01012 Vitoria-Gasteiz, Araba, España",+34 656 35 07 22,http://www.inmomove.com/,5.0,2.0,es,Google reviews: 5* / 2
Pisos y Más - Inmobiliaria en Vitoria-Gasteiz,"Abendaño Kalea, 13, 01008 Vitoria-Gasteiz, Araba, España",+34 945 56 61 33,https://www.pisosymas.es/,4.4,38.0,es,Google reviews: 4.4* / 38
Inmobiliaria Estupiso - Vende o compra tu casa sin estrés,"Olagibel Kalea, 56, 01003 Vitoria-Gasteiz, Araba, España",+34 945 26 09 00,https://www.estupiso.com/,4.4,221.0,es,Google reviews: 4.4* / 221
Fincas Izarra,"La, Florida Kalea, 29, 01005 Vitoria-Gasteiz, Araba, España",+34 945 13 61 90,http://www.fincasizarra.com/,3.7,21.0,es,Google reviews: 3.7* / 21
Fincas Imara,"General Alava Kalea, 7, Galerías Itaca, 01005 Vitoria-Gasteiz, Araba, España",+34 945 14 88 28,https://www.fincasimara.com/,4.7,45.0,es,Google reviews: 4.7* / 45
Grupo Rioja Vitoria Gasteiz,"Errioxa K., 19, 01005 Vitoria-Gasteiz, Araba, España",+34 945 12 17 17,http://www.riojainmobiliaria.com/,3.7,43.0,es,Google reviews: 3.7* / 43
AREA NORTE,"Sancho el Sabio Kalea, 10, 01008 Vitoria-Gasteiz, Araba, España",+34 945 15 01 17,http://www.areanorteinmobiliaria.com/,4.8,94.0,es,Google reviews: 4.8* / 94
Gestion Urbanistica Álava 2000,"San Antonio Kalea, 2, 01005 Vitoria-Gasteiz, Araba, España",+34 945 15 48 29,http://www.gual2000.com/,4.2,20.0,es,Google reviews: 4.2* / 20
Contrasta Servicios Inmobiliarios & Interiorismo,"Calle Ramon Ortiz de Zarate, 4, 01005 Vitoria-Gasteiz, Araba, España",+34 614 24 03 74,https://www.inmocontrasta.com/,5.0,22.0,es,Google reviews: 5* / 22
Mirari Home,"Errege Atea, 18, 01001 Vitoria-Gasteiz, Araba, España",+34 656 75 79 05,http://www.mirarihome.es/,5.0,30.0,es,Google reviews: 5* / 30
Alangua Viviendas,"San Prudencio Kalea, 4, 01005 Vitoria-Gasteiz, Araba, España",+34 945 13 43 21,http://www.inmobiliariaalangua.com/,4.2,33.0,es,Google reviews: 4.2* / 33
Fincas Mendoza,"Provincia Plaza, 2, 01001 Vitoria-Gasteiz, Araba, España",+34 945 12 17 20,http://www.fincasmendoza.com/,4.4,8.0,es,Google reviews: 4.4* / 8
Inmobiliaria Etxe Polite,"Bake kalea, 5, 01004 Vitoria-Gasteiz, Araba, España",+34 945 15 65 53,,2.5,74.0,es,Google reviews: 2.5* / 74
Trivinsa Inmobiliaria,"Eduardo Dato Kalea, 38-A, 01005 Vitoria-Gasteiz, Araba, España",+34 945 15 15 15,http://www.trivinsa.com/,3.6,63.0,es,Google reviews: 3.6* / 63
Belén Urrutxi Casas a Punto Álava,"Fundadora de las Siervas de Jesus Kalea, 19, 01001 Vitoria-Gasteiz, Araba, España",+34 625 70 48 22,http://www.belenurrutxi.com/,4.5,25.0,es,Google reviews: 4.5* / 25
Inmoaraba,"Domingo Beltran de Otazu Kalea, 44, 01012 Vitoria-Gasteiz, Araba, España",+34 945 15 68 40,http://www.inmoaraba.com/,2.5,13.0,es,Google reviews: 2.5* / 13
Inmobel,"Canciller Ayala Kalea, nº4, bajo, 01004 Vitoria-Gasteiz, Araba, España",+34 652 77 45 49,http://inmobelvitoria.com/,3.9,10.0,es,Google reviews: 3.9* / 10
SAREAM | Servicios Inmobiliarios & Financieros,"Pl. de España, 13, 2, 01001 Vitoria-Gasteiz, Álava, España",+34 945 58 06 09,https://www.saream.es/,5.0,2.0,es,Google reviews: 5* / 2
Inmobiliaria Agurain,"Fueros Kalea, 22, 01200 Agurain / Salvatierra, Araba, España",+34 945 30 04 80,http://www.inmobiliaria-agurain.com/,3.8,51.0,es,Google reviews: 3.8* / 51
Mountain View Real Estate,"General Alava Kalea, 28, 01005 Vitoria-Gasteiz, Araba, España",+34 945 23 06 77,https://www.mure.es/contacto/,2.2,41.0,es,Google reviews: 2.2* / 41
Piso Segur,"Pl. de España, 13, 2º, 01001 Vitoria-Gasteiz, Álava, España",+34 682 33 93 28,,5.0,1.0,es,Google reviews: 5* / 1
MundoInmobiliario,"Bake kalea, 5, 01004 Vitoria-Gasteiz, Araba, España",+34 649 36 58 16,,3.6,29.0,es,Google reviews: 3.6* / 29
Fincas Urizar S.L.,"Joaquin Jose Landazuri Kalea, 13, 01008 Vitoria-Gasteiz, Araba, España",+34 945 14 24 25,,3.8,18.0,es,Google reviews: 3.8* / 18
comprarcasa Ábside,"Fundadora de las Siervas de Jesus Kalea, 7, 01001 Vitoria-Gasteiz, Araba, España",+34 945 02 20 22,https://www.comprarcasa.com/,3.0,2.0,es,Google reviews: 3* / 2
Coisa Gestión de Inmuebles S.L,"Askatasun Kalea, 6, 01002 Vitoria-Gasteiz, Araba, España",+34 945 27 05 77,http://www.libertad6gestion.com/,4.0,1.0,es,Google reviews: 4* / 1
Fincas Arriaga,"Arriagako Atea Kalea, 5, 01012 Vitoria-Gasteiz, Araba, España",+34 945 15 41 18,http://www.fincasarriaga.com/,3.2,51.0,es,Google reviews: 3.2* / 51
Adania,"Plaza Amárica, 5, 01005 Vitoria-Gasteiz, Araba, España",+34 945 14 33 08,http://www.adania.es/,2.5,51.0,es,Google reviews: 2.5* / 51
Siv Gasteiz,"Monseñor Estenaga Kalea, 01002 Vitoria-Gasteiz, Araba, España",+34 945 56 19 39,,2.2,25.0,es,Google reviews: 2.2* / 25
FINCAS MAJUELO,"San Frantzisko K., 5, 01001 Vitoria-Gasteiz, Araba, España",+34 945 23 29 11,,2.7,3.0,es,Google reviews: 2.7* / 3
Piso acogedor y tranquilo en el centro de Gasteiz,"Navarro Villoslada Kalea, 6, 01012 Vitoria-Gasteiz, Araba, España",+34 605 73 71 34,https://www.alojazmientos.com/,,,es,Google reviews: * / None
Sia Servicios Inmobiliarios,"Paseo la Musica, 1, 01007 Vitoria-Gasteiz, Araba, España",+34 945 12 80 60,http://www.siaservicios.es/,3.7,52.0,es,Google reviews: 3.7* / 52
