name,address,international_phone_number,url,rating,reviews_count,language
Bologna In Affitto - Agenzia affitti,"Galleria Ugo Bassi, 1, 40121 Bologna BO, Italia",+39 051 021 6868,https://bolognainaffitto.it/,4.9,268.0,it
Agenzia Immobiliare Tempocasa Bologna - San Felice,"Via Riva di Reno, 54/e, 40122 Bologna BO, Italia",+39 051 558140,https://tempocasa.it/it/agenzie-immobiliari/bologna/bologna/642-bologna-san-felice,4.8,264.0,en
Agenzia Immobiliare Tempocasa Bologna - Saragozza/Centro Storico,"Via Urbana, 6/2, 40123 Bologna BO, Italia",+39 051 621 6022,https://tempocasa.it/it/agenzie-immobiliari/bologna/bologna/751-bologna-saragozzacentro-storico,4.9,129.0,it
Agenzia Immobiliare Center Casa srl Bologna,"Via Galliera, 87, 40121 Bologna BO, Italia",+39 051 241191,http://www.immobiliarecentercasa.it/,4.5,31.0,it
MONDORE | Agenzia Immobiliare Bologna Centro,"Via Castiglione, 12/A, 40124 Bologna BO, Italia",+39 051 269414,http://www.mondore.it/,4.9,100.0,it
Agenzia Immobiliare Tempocasa Bologna - Centro,"Via del Borgo di S. Pietro, 67/c, 40126 Bologna BO, Italia",+39 051 254120,https://tempocasa.it/it/agenzie-immobiliari/bologna/bologna/565-bologna-centro,4.6,222.0,it
Agenzia Immobiliare Capital House Bologna,"Via S. Donato, 33, 40127 Bologna BO, Italia",+39 350 186 4172,https://capitalhouse.it/bologna,5.0,122.0,it
Immobiliare Affitti Bologna,"Via Collegio di Spagna, 7a, 40123 Bologna BO, Italia",+39 051 991 1795,http://www.immobiliareaffittibologna.it/,4.4,350.0,it
RANUZZI IMMOBILIARE,"Palazzo Monti Salina, Via Barberia, 13, 40123 Bologna BO, Italia",+39 051 041 9703,http://www.ranuzziimmobiliare.com/,4.8,73.0,it
Calvo Immobiliare Srl - Agenzia Immobiliare Bologna,"Via Guerrazzi, 18, 40125 Bologna BO, Italia",+39 051 225564,http://www.immobiliarecalvo.it/,4.7,36.0,it
Abitare Bologna,"Via Santo Stefano, 35, 40125 Bologna BO, Italia",+39 051 656 9000,https://www.abitarebologna.it/,4.6,230.0,it
Agenzia Immobiliare Tempocasa Bologna - Saffi,"Via Pasubio, 20, 40131 Bologna BO, Italia",+39 051 316 6903,https://tempocasa.it/it/agenzie-immobiliari/bologna/bologna/628-bologna-saffi,4.8,181.0,it
051 Immobiliare,"Via S. Felice, 26, 40122 Bologna BO, Italia",+39 051 411 4346,https://051immobiliare.it/,4.7,73.0,it
Abitare Bologna,"Via S. Felice, 75/A, 40122 Bologna BO, Italia",+39 051 644 8324,https://www.abitarebologna.it/,4.7,58.0,it
Dimensione Immobiliare s.a.s. di A. Nardi,"Via Aurelio Saffi, 22/2, 40131 Bologna BO, Italia",+39 051 522439,https://www.dimensioneimmobiliare.eu/,4.9,46.0,it
PRIME IMMOBILIARE - Bologna,"Via Sante Vincenzi, 46, 40138 Bologna BO, Italia",+39 331 402 5349,https://www.primeimmobiliare.net/,4.9,181.0,it
Felsina Real Estate,"Str. Maggiore, 82/c, 40125 Bologna BO, Italia",+39 051 485 9261,http://felsinarealestate.com/,4.4,171.0,it
"HELP HOME Agenzia Consulenza, Immobiliare Ferrari","Via Vittoria, 26 /a/b, 40133 Bologna BO, Italia",+39 333 295 9834,http://helphome.it/,5.0,452.0,it
Mappamondo Immobiliare Bologna,"Via Francesco Zanardi, 27, 40131 Bologna BO, Italia",+39 051 681 4792,http://www.mappamondoimmobiliare.com/,5.0,44.0,it
Felsina Real Estate Agenzia Bologna San Vitale,"Via Giuseppe Massarenti, 35/a, 40138 Bologna BO, Italia",+39 051 307459,http://felsinarealestate.com/,4.9,338.0,it
Obiettivo casa Agenzia Immobiliare,"Via Francesco Zanardi, 20, 40131 Bologna BO, Italia",+39 340 128 2879,http://www.obiettivocasabologna.it/,4.8,17.0,it
Immobiliare Bologna Centro Srl - IBC,"Galleria del Toro, 3, 40121 Bologna BO, Italia",+39 051 228434,http://ibcimmobiliare.it/,3.9,28.0,it
REALKASA - Agenzia Immobiliare Sede Centro Storico,"Via d'Azeglio, 19, 40123 Bologna BO, Italia",+39 051 431895,https://www.realkasa.it/,4.8,65.0,it
Bologna Immobili,"P.za Franklin Delano Roosevelt, 4, 40123 Bologna BO, Italia",+39 329 881 7897,,5.0,1.0,it
Istituto Immobiliare Italiano,"V.le Pietro Pietramellara, 5, 40121 Bologna BO, Italia",+39 051 522077,https://www.istitutoimmobiliareitaliano.it/,3.5,44.0,it
Agenzia immobiliare Gabetti Bologna Zanardi,"Via Francesco Zanardi, 5/d, 40131 Bologna BO, Italia",+39 051 524452,https://www.gabetti.it/agenzia/bologna-zanardi,4.5,61.0,it
Agenzia Immobiliare Tempocasa Bologna - Savena 1,"Via Bellaria, 12/D, 40139 Bologna BO, Italia",+39 051 546142,https://tempocasa.it/it/agenzie-immobiliari/bologna/bologna/199-bologna-savena-1,4.9,448.0,it
Domus Felsina Agenzia Immobiliare Bologna,"Via Mazzini, 125, 40137 Bologna BO, Italia",+39 327 012 5968,https://www.instagram.com/carlo.domusfelsina/,4.9,11.0,it
Io.Casa Agenzia Immobiliare a Bologna,"Via Andrea Costa, 203/D, 40134 Bologna BO, Italia",+39 051 619 2013,https://www.io.casa/,4.8,40.0,it
La Soffitta Studio Immobiliare,"Via Andrea Costa, 67, 40134 Bologna BO, Italia",+39 051 614 6859,https://www.lasoffittaimmobiliare.com/,4.6,52.0,it
Iani Immobiliare di Daniele Iani e C.,"Via della Crocetta, 2/2, 40134 Bologna BO, Italia",+39 051 485 6834,https://www.immobiliare.it/agenzie-immobiliari/172809/iani-bologna/,4.7,53.0,it
Agenzia Immobiliare Saragozza,"Via XXI Aprile 1945, 7/C, 40134 Bologna BO, Italia",+39 051 033 5087,https://www.immobiliaresaragozza.it/,4.7,66.0,it
Simone Cambrini,"Via S. Vitale, 22, 40125 Bologna BO, Italia",+39 380 324 5310,http://www.simonecambrini.com/,4.7,118.0,it
Maison Magnifique Bologna,"Via Sant'Isaia, 24/a, 40123 Bologna BO, Italia",+39 051 1990 2053,https://maisonmagnifique.it/agenzie/bologna/,4.7,28.0,it
Immobiliare Stanganelli,"Via Nosadella, 9/B, 40123 Bologna BO, Italia",+39 051 026 6994,http://www.immobiliarestanganelli.it/,4.9,70.0,it
Progetti Immobiliari Associato FRIMM,"Via del Rondone, 40122 Bologna BO, Italia",+39 051 587 7416,https://www.progettimmobiliari.net/,4.6,46.0,it
Immobiliare 5.1,"Via Vittorio Veneto, 30/B, 40131 Bologna BO, Italia",+39 351 644 2184,https://www.immobiliarecinquepuntouno.it/,4.9,137.0,it
Santo Stefano Immobiliare,"Piazza Trento e Trieste, 5, 40137 Bologna BO, Italia",+39 051 656 9235,http://www.santostefanoimmobiliare.it/,4.7,84.0,it
Giordani & Partners Real Estate,"Via Cesare Battisti, 33, 40123 Bologna BO, Italia",+39 051 584447,http://www.giordanire.com/,4.8,68.0,it
IPI Agency | Filiale di Bologna,"Via dei Mille, 24, 40121 Bologna BO, Italia",+39 051 220819,https://www.ipi-agency.com/perche-ipi/filiali/bologna-agency,4.5,13.0,it
Grimaldi Immobiliare,"Via d'Azeglio, 6-C, 40123 Bologna BO, Italia",+39 051 051 0330,https://www.grimaldibologna.it/,4.8,173.0,it
Agenzia Immobiliare Tempocasa Bologna - Santo Stefano,"Via Santo Stefano, 168/A, 40125 Bologna BO, Italia",+39 051 023 1969,https://tempocasa.it/it/agenzie-immobiliari/bologna/bologna/1156-bologna-santo-stefano,5.0,25.0,it
Dece Immobiliare - Immobiliare a Bologna - compravendite - locazioni - valutazioni - edilizia,"Via Rizzoli, 9, 40124 Bologna BO, Italia",+39 338 901 4503,http://www.deceimmobiliare.it/,5.0,23.0,it
Agenzia Immobiliare Tempocasa Bologna - Zanardi,"Via Francesco Zanardi, 70/D, 40131 Bologna BO, Italia",+39 051 054 7075,https://tempocasa.it/it/agenzie-immobiliari/bologna/bologna/758-bologna-zanardi,4.8,62.0,it
Mida Immobiliare,"Viale Alfredo Oriani, 2, 40137 Bologna BO, Italia",+39 051 551000,https://www.midaimmobiliare.com/?utm_source=google_my_business&utm_medium=PULSANTE,4.7,162.0,it
Immobiliare Classe A Bologna,"Via Porta Nova, 18, 40123 Bologna BO, Italia",+39 051 270454,http://www.immobiliareclassea.com/,5.0,8.0,it
Immobiliare Cavallo,"Via Giuseppe Mezzofanti, 37, 40137 Bologna BO, Italia",+39 051 407 1458,http://www.immobiliarecavallo.it/,4.9,165.0,it
Toscano Bologna Centro - Agenzia Immobiliare,"Piazza di Porta Maggiore, 4a, 40138 Bologna BO, Italia",+39 051 239200,https://www.toscano.it/comune-bologna/centro-bologna?utm_source=google&utm_medium=places&utm_campaign=Google%20My%20Business,4.2,88.0,it
Area Immobiliare,"Via S. Felice, 83/B, 40122 Bologna BO, Italia",+39 051 558422,http://www.areaimmobiliaresanfelicebo.it/,4.0,24.0,it
Engel & Völkers Bologna,"Via de' Toschi, 4, 40124 Bologna BO, Italia",+39 051 331460,https://www.engelvoelkers.com/it/it/shops/bologna,4.5,80.0,it
Realkasa - AGENZIA IMMOBILIARE Sede Costa,"Via Andrea Costa, 56, 40134 Bologna BO, Italia",+39 051 431895,https://www.realkasa.it/,4.7,116.0,it
Giquadroimmobiliare,"Via Nazario Sauro, 23b, 40121 Bologna BO, Italia",+39 051 040 2525,https://www.giquadroimmobiliare.com/,5.0,4.0,it
Agenzia Pico Immobiliare - SPECIALIZZATI IN AFFITTI DAL 1998,"Via Faustino Malaguti, 2/1A, 40126 Bologna BO, Italia",+39 051 254585,http://www.picoimmobiliare.com/,4.3,42.0,it
Agenzia Immobiliare Mobilia RE,"Via Marsala, 20, 40126 Bologna BO, Italia",+39 051 260519,https://www.mobilia-re.com/,4.1,22.0,it
Affiliato Tecnocasa Studio San Donato S.N.C.,"Via S. Donato, 72/A, 40127 Bologna BO, Italia",+39 051 510107,https://bologna4.tecnocasa.it/,4.9,103.0,it
L ' A G E N Z I A D I Z O N A,"Via Giuseppe Dagnini, 17, 40137 Bologna BO, Italia",+39 051 001 6992,,4.9,74.0,it
Goldomus Immobiliare S.R.L.,"Via Irnerio, 22d, 40126 Bologna BO, Italia",+39 051 421 0280,http://www.goldomus.it/,4.5,37.0,it
Studio Aesse Snc,"Via d'Azeglio, 23, 40123 Bologna BO, Italia",+39 051 296 0619,http://www.studioaesse.com/,4.3,88.0,it
Agenzia immobiliare Iconacasa Bologna Zanardi,"Via Francesco Zanardi, 192/ab, 40012 Bologna BO, Italia",+39 051 998 8333,https://www.iconacasa.com/index.php/agenzie/companyproperties/122-iconacasa-bologna-zanardi,4.9,123.0,it
Metroquadro Immobiliare srl,"Mura di Porta Galliera, 3/d, 40126 Bologna BO, Italia",+39 051 242424,http://www.metroquadro.eu/,4.2,15.0,it
Studio Giannerini S.n.c. - Agenzia immobiliare Bologna,"Via Saragozza, 101/3/C, 40135 Bologna BO, Italia",+39 051 644 0141,http://www.studiogiannerini.it/,4.8,128.0,it
Agenzia Immobiliare Kapitalre - Bologna Sabotino,"Via Olindo Guerrini, 26/A, 40134 Bologna BO, Italia",+39 051 664 7675,http://www.kapitalre.it/,4.8,35.0,it
Eden House,"Via Saragozza, 112/O, 40135 Bologna BO, Italia",+39 051 284 6104,https://edenhouse.me/,5.0,36.0,it
GABETTI IMMOBILIARE MARCONI,"Via Guglielmo Marconi, 26g, 40122 Bologna BO, Italia",+39 051 048 3680,https://www.gabetti.it/agenzia/bologna-marconi,4.2,22.0,it
