name,address,international_phone_number,url,rating,reviews_count,language
Gabetti Settimo Milanese,"Via A. Gramsci, 46, 20019 Settimo Milanese MI, Italia",+39 02 3351 2357,https://www.gabetti.it/agenzia/settimo-milanese,4.8,78.0,it
Tecnorete Adr Case,"Via A. Gramsci, 13, 20019 Settimo Milanese MI, Italia",+39 02 4970 2307,https://settimomilanese1.tecnorete.it/,5.0,120.0,it
Agenzia Immobiliare Tempocasa Settimo Milanese,"Via Panzeri, 7/9, 20019 Settimo Milanese MI, Italia",+39 02 8291 4779,https://tempocasa.it/it/agenzie-immobiliari/milano/settimo-milanese/718-settimo-milanese,4.2,193.0,it
Palmitessa Real Estate | Agenzia Immobiliare,"Largo Papa Giovanni XXIII, 7, 20019 Settimo Milanese MI, Italia",+39 02 3351 2120,http://www.pandprealestatesrl.it/,4.0,5.0,it
Studio Milano Immobiliare,"Via Francesco Rismondo, 9, 20152 Milano MI, Italia",+39 328 169 7576,https://www.immobiliare.it/agenzie-immobiliari/170372/studio-duemme-milano/,4.9,64.0,it
Agenzia Immobiliare Tempocasa Cornaredo,"Via Andrea Ponti, 34, 20007 Cornaredo MI, Italia",+39 02 9356 9111,https://tempocasa.it/it/agenzie-immobiliari/milano/cornaredo/454-cornaredo,4.9,189.0,it
Immobiliare Casatua Milano,"Via Michelangelo Buonarroti, 14, 20145 Milano MI, Italia",+39 02 9931 0303,http://www.casatuaonline.it/,4.9,227.0,it
SEGEI MEDIAZIONI S.A.S,"Via Pordoi, 8, 20019 Settimo Milanese MI, Italia",+39 02 328 5144,http://www.segei.it/,5.0,2.0,it
Renoma Immobiliare,"Via IV Novembre, 54, 20019 Settimo Milanese MI, Italia",+39 02 8718 9897,http://www.renomaimmobiliare.it/,5.0,4.0,it
Affiliato Tecnocasa Alfeo S.R.L.,"Via Panzeri, 12, 20019 Settimo Milanese MI, Italia",+39 02 3350 2434,https://settimomilanese1.tecnocasa.it/,4.3,15.0,it
Settimo Casa Srl,"Via Giuseppe di Vittorio, 47/A, 20019 Settimo Milanese MI, Italia",+39 02 3357 6040,,5.0,3.0,it
Agenzia Immobiliare Tempocasa Pero,"Via Sempione, 29, 20016 Pero MI, Italia",+39 338 890 7193,https://tempocasa.it/it/agenzie-immobiliari/milano/pero/883-pero,4.9,85.0,it
San Paolo Agenzia Immobiliare Milano,"Via delle Forze Armate, 212, 20152 Milano MI, Italia",+39 02 4870 2189,http://www.studioimmobiliaresanpaolo.it/,3.9,12.0,it
3MC Immobiliare srl,"Via Ciniselli, 6/8/10, 20019 Settimo Milanese MI, Italia",+39 02 328 8545,,,,it
Il Polo Immobiliare,"Via Giuseppe Mazzini, 9, 20010 Cornaredo MI, Italia",+39 389 882 8381,https://www.immobiliare.it/agenzie-immobiliari/214716/il-polo-cornaredo/,4.9,38.0,it
L'Agenzia Immobiliare,"Piazza Emilia, 6, 20129 Milano MI, Italia",+39 02 7010 5873,http://www.lagenziaimmobiliare.com/,5.0,40.0,it
Team Immobiliare Milano,"Via Guido D'Arezzo, 4, 20145 Milano MI, Italia",+39 02 3962 4170,http://www.teamimmobiliaremilano.it/,4.9,92.0,it
Immobiliare Lattuada,"Via Panzeri, 12, 20019 Settimo Milanese MI, Italia",,,1.0,1.0,it
RiM,"Via Bartolomeo Cabella, 37, 20152 Milano MI, Italia",+39 02 3659 2747,https://www.rim-srl.com/,5.0,2.0,it
Contattocasa Pero,"Via Sempione, 90, 20016 Pero MI, Italia",+39 02 8907 0251,https://contattocasa.com/pero,5.0,43.0,it
Agenzia immobiliare Tempocasa Milano - Forze Armate,"Via Novara, 87, 20153 Milano MI, Italia",+39 02 4963 2914,https://tempocasa.it/it/agenzie-immobiliari/milano/milano/852-milano-forze-armate,4.9,114.0,it
Agenzia immobiliare Milano - Property International,"Via Correggio, 19, 20149 Milano MI, Italia",+39 02 498 0092,http://www.propertyint.net/,4.8,41.0,it
Immobiliare Vercellina,"Viale S. Michele del Carso, 9, 20144 Milano MI, Italia",+39 02 4819 7812,http://www.immobiliarevercellina.it/,4.9,94.0,it
CASE & CASE MILANO SRL,"Via Luigi Soderini, 9, 20146 Milano MI, Italia",+39 02 4776 3977,http://caseecasemilano.it/,4.9,99.0,it
ServigoRE - Agenzia Immobiliare - Cerco Casa Appartamento Villa,"Via Vincenzo Foppa, 16, 20144 Milano MI, Italia",+39 02 481 1956,https://www.servigore.com/,4.7,83.0,it
Gruppocasa - Agenzia immobiliare Milano Bramante\Sarpi,"Via Bramante, 11, 20154 Milano MI, Italia",+39 02 349 4481,http://www.gruppocasa.it/,4.7,37.0,it
Agenzia Immobiliare Tempocasa Milano - Bande Nere,"Viale Pisa, 47, 20146 Milano MI, Italia",+39 02 0996 8821,https://tempocasa.it/it/agenzie-immobiliari/milano/milano/303-milano-bande-nere,4.7,180.0,it
Team Russo RE/MAX Class,"Strada Statale 33, 73, 20016 Pero MI, Italia",+39 333 327 7437,https://www.remax.it/trova/agenti-agenzie/agenzia/class14,4.7,39.0,it
AGENZIA IMMOBILIARE MILANO - GRUPPO RICERCATO IMMOBILIARE DAL 1978,"C.so di Porta Nuova, 36, 20121 Milano MI, Italia",+39 02 5030 1245,http://www.immobiliarericercato.it/,4.9,108.0,it
M&A Domus Srl,"Piazza degli Eroi, 6/m, 20019 Settimo Milanese MI, Italia",+39 351 982 8309,https://www.madomus.it/,,,it
