name,address,international_phone_number,url,rating,reviews_count,language
Casa Mya Immobiliare,"Via Rovigo, 20/c, 39100 Bolzano BZ, Italia",+39 0471 342540,https://www.casamyaimmobiliare.it/,5.0,58.0,it
Agenzia Immobiliare Bolzano D'Onofrio,"Corso Italia, 35, 39100 Bolzano BZ, Italia",+39 329 744 9596,http://www.immobiliaredonofrio.it/,5.0,74.0,it
AREA DOMUS REAL ESTATE,"Via Dante, 20/A, 39100 Bolzano BZ, Italia",+39 0471 153 5143,http://www.area-domus.com/,4.8,109.0,it
STUDIO ALFA BOLZANO SRL - Agenzia Immobiliare,"Via Orazio, 61, 39100 Bolzano BZ, Italia",+39 0471 285111,http://www.studioalfa.info/,4.8,34.0,it
Immobiliare Italia S.r.l.,"Viale Druso, 66, 39100 Bolzano BZ, Italia",+39 0471 910800,http://www.immobiliareitalia.eu/,4.2,30.0,it
Bolzano Immobiliare s.r.l.s.,"Corso della Libertà, 50/Scala B, 39100 Bolzano BZ, Italia",+39 0471 279572,https://linktr.ee/bolzano.immobiliare,4.8,25.0,it
Agenzia Immobiliare Bonetto,"Via Orazio, 53, 39100 Bolzano BZ, Italia",+39 0471 266030,http://www.immobiliarebonetto.it/,4.5,82.0,it
Cibin immobiliare,"Corso Italia, 22, 39100 Bolzano BZ, Italia",+39 348 247 2184,http://www.immobiliarecibin.it/,4.9,59.0,it
Opera Immobiliare,"Via Argentieri, 23, 39100 Bolzano BZ, Italia",+39 348 265 2371,http://www.operaimmo.it/,4.9,29.0,it
L'IMMOBILIARE.COM - BOLZANO,"Via Sorrento, 27, 39100 Bolzano BZ, Italia",+39 0471 921612,https://bolzano.limmobiliare.com/,5.0,11.0,it
Bolzano Progetto Immobiliare,"Viale Duca d'Aosta, 55, 39100 Bolzano BZ, Italia",+39 0471 979737,https://www.bolzanoprogetto.it/,4.2,28.0,it
Agenzia Immobiliare Dimensione Casa S.r.l. - Bolzano,"Via Cesare Battisti, 25, 39100 Bolzano BZ, Italia",+39 0471 274100,http://dimensionecasabz.it/web/,5.0,7.0,it
IMMOBILIARE GIGLIO di Gigliotti Antonio,"Viale Venezia, 69, 39100 Bolzano BZ, Italia",+39 348 262 5799,http://www.immobiliaregiglio.com/,4.9,48.0,it
ABITAREHAUS,"Via Piave, 31, 39100 Bolzano BZ, Italia",+39 0471 383425,http://www.abitarehaus.it/,5.0,28.0,it
