,name,address,international_phone_number,url,rating,reviews_count,language,comment,zip_code,phone_1,phone_2,e-mail_1,e-mail_2,message
0,InmoHouse Albacete,"C. Caba, 5, entreplanta, 02002 Albacete, España",,http://www.inmohouse.net/,4.9,343.0,es,Google reviews: 4.9* / 343,2002.0,34967702924.0,,info@inmohouse.net,,success
1,Best House Albacete Los Llanos,"C. Blasco Ibáñez, 28, 02004 Albacete, España",,http://www.best-house.es/albacetelosllanos,4.9,316.0,es,Google reviews: 4.9* / 316,2004.0,34967033358.0,,albacetelosllanos@best-house.com,,success
2,M&C Gestión Inmobiliaria,"C. Teodoro Camino, 12, 02002 Albacete, España",,https://www.mycgestioninmobiliaria.es/,5.0,433.0,es,Google reviews: 5* / 433,2002.0,34967094837.0,,inmogestionmyc@gmail.com,,success
3,Izon Consulting - Inmobiliaria en Albacete,"C. Pedro Martínez Gutiérrez, 13, 02004 Albacete, España",,http://www.izonconsulting.es/,4.6,385.0,es,Google reviews: 4.6* / 385,2004.0,34967660005.0,,admin@izonconsulting.es,,success
4,TRICASA - CASAWEB - Gestión Inmobiliaria,"C. Escritor Ben Nassir, 24, Bajo, 02006 Albacete, España",34633244844.0,http://www.tricasainmobiliaria.com/,4.9,247.0,es,Google reviews: 4.9* / 247,2006.0,34967772222.0,,info@tricasainmobiliaria.com,,success
5,GABINETE DE GESTIONES - Grupo Inmobiliario,"Pl. la Catedral, 8, BAJO, 02005 Albacete, España",,http://gabinetedegestiones.es/,4.9,122.0,es,Google reviews: 4.9* / 122,2005.0,34967663908.0,34651862571.0,info@gabinetedegestiones.es,,success
6,GRAIN GRUPO INMOBILIARIO GARCÍA VELASCO.,"C. Albarderos, 10, 02004 Albacete, España",,http://www.inmobiliariagrain.com/,4.6,193.0,es,Google reviews: 4.6* / 193,2004.0,34967666333.0,,grain@inmobiliariagrain.com,,success
7,Inmobiliaria Llavin SL,"C. Pablo Medina, 4, Bajo, 02001 Albacete, España",,http://www.inmobiliariallavin.com/,4.7,106.0,es,Google reviews: 4.7* / 106,2001.0,34667936103.0,,,,success
8,Inmobiliaria Global House,"Av. Ramón Menéndez Pidal, 9, 02005 Albacete, España",34967700221.0,http://globalhouseab.com/,4.8,128.0,es,Google reviews: 4.8* / 128,2005.0,,,messitecruje@gmail.com,,success
9,Fincasa Inmobiliaria,"C. Caba, 9, 02001 Albacete, España",34967770707.0,http://www.fincasa.ws/,5.0,38.0,es,Google reviews: 5* / 38,2001.0,34967445368.0,34969387252.0,laroda@fincasa.ws,sisante@fincasa.ws,success
