,Unnamed: 0,name,address,international_phone_number,url,rating,reviews_count,language,comment,phone_1,phone_2,e-mail_1,e-mail_2,message,email_2
0,0,Inmogestion Araia,"Coronación de la Virgen Blanca Kalea, 1, 01012 Vitoria-Gasteiz, Araba, España",34699471686.0,http://www.inmogestionaraia.es/,4.6,62.0,es,Google reviews: 4.6* / 62,,,,,"error: {Transform failed, HTML does not have valid markup.}",
1,1,Inmo Arquillos - INMOBILIARIA EN VITORIA GASTEIZ,"General Alava Kalea, 6, 01005 Vitoria-Gasteiz, Araba, España",,http://www.inmoarquillos.com/,4.9,29.0,es,Google reviews: 4.9* / 29,+34945170256,34638235075.0,comercial@inmoarquillos.com,,success,
2,2,Bengoa Inmobiliaria | ALQUILER CON PROTECCIÓN TOTAL | VENTA DE INMUEBLES CON MARKETING DIGITAL 360,"C. de los Herrán, 41, 01002 Vitoria-Gasteiz, Álava, España",,http://www.bengoainmobiliaria.com/,4.8,256.0,es,Google reviews: 4.8* / 256,+34945097812,,info@bengoainmobiliaria.com,,succes,
3,3,General Inmobiliaria,"Sancho el Sabio Kalea, 16, 01008 Vitoria-Gasteiz, Araba, España",,https://www.generalinmobiliaria.com/,4.7,173.0,es,Google reviews: 4.7* / 173,+34945234900,,vitoria@generalinmobiliaria.com,,success,
4,4,Perales Digital,"Calle Ramon Ortiz de Zarate, 1, 01005 Vitoria-Gasteiz, Araba, España",,http://www.peralesdigital.com/,4.7,340.0,es,Google reviews: 4.7* / 340,+34945151617,,inmobiliaria@peralesdigital.com,,success,
5,5,Fincas Uleta,"Ramón, Calle Ramon Ortiz de Zarate, 7, 01005 Vitoria-Gasteiz, Araba, España",,http://www.fincasuleta.com/,4.4,155.0,es,Google reviews: 4.4* / 155,+34945155555,34678623040.0,info@fincasuleta.com,,succes,
6,6,Engel & Völkers - Agencia Inmobiliaria en Vitoria Gasteiz,"Independentzia Kalea, 18, 01005 Vitoria-Gasteiz, Araba, España",34945141170.0,https://www.engelvoelkers.com/es/es/shops/vitoria-gasteiz,4.7,129.0,es,Google reviews: 4.7* / 129,+34900747281,,spain.dp@engelvoelkers.com,,success,
7,7,Vivir en Vitoria Servicios Inmobiliarios,"Portal de Foronda Kalea, 54, 01010 Vitoria-Gasteiz, Araba, España",,http://vivirenvitoria.com/,4.9,172.0,es,Google reviews: 4.9* / 172,+34945144122,34677814249.0,vivirenvitoria@vivirenvitoria.com,,success,
8,8,Inmobiliaria Senda,"Gaztelako Atea, 1, 01007 Vitoria-Gasteiz, Araba, España",,http://www.inmobiliariasenda.com/,4.3,43.0,es,Google reviews: 4.3* / 43,+34945269925,,,,success,
9,9,YAINMO INMOBILIARIA,"Badaia Kalea, 29, 01012 Vitoria-Gasteiz, Araba, España",,http://www.yainmoinmobiliaria.com/,4.5,65.0,es,Google reviews: 4.5* / 65,+34945043601,34656350722.0,yainmo@yainmoinmobiliaria.com,inmo@inmomove.com,"too many offices, not giving contacts to avoid misunderstanding",
10,10,inmoprotec® Vitoria-Gasteiz,"C. de los Herrán, 31, 01002 Vitoria-Gasteiz, Álava, España",34945339727.0,http://www.inmoprotec.com/,4.8,497.0,es,Google reviews: 4.8* / 497,,,,,error: {} No contact information such as phone numbers or email addresses found on the page.,
11,11,Fincas Imara,"General Alava Kalea, 7, Galerías Itaca, 01005 Vitoria-Gasteiz, Araba, España",,https://www.fincasimara.com/,4.7,45.0,es,Google reviews: 4.7* / 45,+34945148828,,info@fincasimara.com,,success,
12,12,Inmobiliaria Estupiso - Vende o compra tu casa sin estrés,"Olagibel Kalea, 56, 01003 Vitoria-Gasteiz, Araba, España",,https://www.estupiso.com/,4.4,221.0,es,Google reviews: 4.4* / 221,+34945260900,34987308225.0,mperez@estupiso.com,,success,alopez@estupiso.com
13,13,Mirari Home,"Errege Atea, 18, 01001 Vitoria-Gasteiz, Araba, España",,http://www.mirarihome.es/,5.0,30.0,es,Google reviews: 5* / 30,+34656757905,,,,success,
14,14,INMOMOVE,"Badaia Kalea, 29, 01012 Vitoria-Gasteiz, Araba, España",,http://www.inmomove.com/,5.0,2.0,es,Google reviews: 5* / 2,+34656350722,34665452421.0,contacto@inmomove.com,,success,
15,15,Inmobiliaria Pantikosa,"C. Jesús Guridi, 6, 01004 Vitoria-Gasteiz, Álava, España",,https://www.pantikosa.com/,4.4,48.0,es,Google reviews: 4.4* / 48,+34945271100,34609453464.0,,,success,
16,16,Fincas Izarra,"La, Florida Kalea, 29, 01005 Vitoria-Gasteiz, Araba, España",,http://www.fincasizarra.com/,3.7,21.0,es,Google reviews: 3.7* / 21,+34945136190,,,,success,
17,17,Pisos y Más - Inmobiliaria en Vitoria-Gasteiz,"Abendaño Kalea, 13, 01008 Vitoria-Gasteiz, Araba, España",,https://www.pisosymas.es/,4.4,38.0,es,Google reviews: 4.4* / 38,+34945566133,34945566133.0,info@pisosymas.es,,"error: {too many office contacts, only returning one of each type}",
18,18,Grupo Rioja Vitoria Gasteiz,"Errioxa K., 19, 01005 Vitoria-Gasteiz, Araba, España",,http://www.riojainmobiliaria.com/,3.7,42.0,es,Google reviews: 3.7* / 42,+34945121717,,rioja@riojainmobiliaria.com,,success,
19,19,INMOBILIARIA FINCAS ANITUA,"Diputación Foral de Alava Kalea, 1, 01001 Vitoria-Gasteiz, Araba, España",,http://www.inmobiliaria-anitua.com/,3.9,36.0,es,Google reviews: 3.9* / 36,+34945250400,34602627812.0,anitua@fincasanitua.com,,success,
20,20,AREA NORTE,"Sancho el Sabio Kalea, 10, 01008 Vitoria-Gasteiz, Araba, España",,http://www.areanorteinmobiliaria.com/,4.8,94.0,es,Google reviews: 4.8* / 94,+34945150117,,info@areanorteinmobiliaria.com,,success,
21,21,Inmobiliaria Roma,"Calle de, Mateo Benigno de Moraza Kalea, 1, 01001 Vitoria-Gasteiz, Araba, España",,http://www.inmobiliariaroma.com/,4.1,55.0,es,Google reviews: 4.1* / 55,+34945231350,34629882916.0,,,success,
22,22,Contrasta Servicios Inmobiliarios & Interiorismo,"Calle Ramon Ortiz de Zarate, 4, 01005 Vitoria-Gasteiz, Araba, España",,https://www.inmocontrasta.com/,5.0,21.0,es,Google reviews: 5* / 21,+34945105779,34614240374.0,info@inmocontrasta.com,,success,
23,23,Alangua Viviendas,"San Prudencio Kalea, 4, 01005 Vitoria-Gasteiz, Araba, España",,http://www.inmobiliariaalangua.com/,4.2,33.0,es,Google reviews: 4.2* / 33,+34945134321,,,,success,
24,24,Etikalia,"C. de los Herrán, 49, 01002 Vitoria-Gasteiz, Álava, España",,https://etikalia.es/,4.7,68.0,es,Google reviews: 4.7* / 68,+34946009251,34945041113.0,info@etikalia.es,,"too many offices, not giving contacts to avoid misunderstanding",vitoria@etikalia.es
25,25,Fincas Mendoza,"Provincia Plaza, 2, 01001 Vitoria-Gasteiz, Araba, España",,http://www.fincasmendoza.com/,4.4,8.0,es,Google reviews: 4.4* / 8,+34945121720,,,,success,
26,26,Liben,"C, General Alava Kalea, 2, 01005 Vitoria-Gasteiz, Álava, España",,http://www.liben.es/,4.1,105.0,es,Google reviews: 4.1* / 105,+34945029048,34617654540.0,info@liben.es,,success,
27,27,Trivinsa Inmobiliaria,"Eduardo Dato Kalea, 38-A, 01005 Vitoria-Gasteiz, Araba, España",,http://www.trivinsa.com/,3.6,63.0,es,Google reviews: 3.6* / 63,+34945151515,,vitoria@trivinsa.com,,succes,
28,28,Gestion Urbanistica Álava 2000,"San Antonio Kalea, 2, 01005 Vitoria-Gasteiz, Araba, España",34945154829.0,http://www.gual2000.com/,4.2,20.0,es,Google reviews: 4.2* / 20,,,,,error: {No contact information found on the webpage},
29,29,Inmobiliaria Etxe Polite,"Bake kalea, 5, 01004 Vitoria-Gasteiz, Araba, España",34945156553.0,,2.5,74.0,es,Google reviews: 2.5* / 74,,,,,error: No contact information found.,
30,30,Inmobel,"Canciller Ayala Kalea, nº4, bajo, 01004 Vitoria-Gasteiz, Araba, España",34652774549.0,http://inmobelvitoria.com/,3.9,10.0,es,Google reviews: 3.9* / 10,,,,,error: Unable to access the contact page due to a request error (status code 599),
31,31,Inmobiliaria Agurain,"Fueros Kalea, 22, 01200 Agurain / Salvatierra, Araba, España",,http://www.inmobiliaria-agurain.com/,3.8,51.0,es,Google reviews: 3.8* / 51,+34945300480,34676434183.0,info@inmobiliaria-agurain.com,,succes,
32,32,SAREAM | Servicios Inmobiliarios & Financieros,"Pl. de España, 13, 2, 01001 Vitoria-Gasteiz, Álava, España",34945580609.0,https://www.saream.es/,5.0,2.0,es,Google reviews: 5* / 2,,,,,error: {No contact information found in the provided content.,
33,33,Inmoaraba,"Domingo Beltran de Otazu Kalea, 44, 01012 Vitoria-Gasteiz, Araba, España",,http://www.inmoaraba.com/,2.5,13.0,es,Google reviews: 2.5* / 13,+34945156840,,info@inmoaraba.com,inmoaraba@inmoaraba.com,success,
