name,address,maps_phone,url,rating,reviews_count,language,comment,business_status,types,zip_code,phone_1,phone_2,e-mail_1,e-mail_2,message
🥇 Agencia inmobiliaria Mallorca ,"Carrer del Ter, 12, 2º Piso, 3º Puerta, Levante, 07009 Palma, Illes Balears, España",,http://www.rhrealestatemallorca.com/,4.9,55.0,es,Google reviews: 4.9* / 55,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7009.0,+34637792762,,,,success
Inmobiliaria Inmogestión Balear,"57, Carretera de Valldemossa, Nord, 07010 Palma, Illes Balears, España",,https://www.inmogestionbalear.com/,4.8,318.0,es,Google reviews: 4.8* / 318,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0,+34971666527,+34689010406,info@inmogestionbalear.com,,success
Amelia Inmobiliaria,"Career Nuredduna, 10, 3° D, Llevant, 07006 Palma, Illes Balears, España",,https://ameliainmobiliaria.com/,4.9,123.0,es,Google reviews: 4.9* / 123,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0,+3434602255172,+34871591864,info@ameliainmobiliaria.com,,success
Mamá Inmobiliaria,"Carrer de Bartomeu Sureda i Miserol, 7, Local 9, Poniente, 07013 Sa Vileta-Son Rapinya, Illes Balears, España",,http://www.mamainmobiliaria.com/,4.9,160.0,es,Google reviews: 4.9* / 160,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7013.0,+34871857564,,info@mamainmobiliaria.com,,success
Atrio inmobiliaria Mallorca,"Plaça de Sant Antoni, 11, Centre, 07002 Palma, Illes Balears, España",+34618922047,http://www.atrioinmobiliaria.com/,5.0,36.0,es,Google reviews: 5* / 36,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7002.0,+34947232309,+34971724681,central@atrioinmobiliaria.com,maria@atrioinmobiliaria.com,success
Palmacasa Inmobiliaria,"Carrer d'En Vilanova, 4, Centre, 07002 Palma, Illes Balears, España",,http://www.palmacasa.es/,4.9,343.0,es,Google reviews: 4.9* / 343,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34971714788,,palmacasa@yahoo.es,,success
Talaiot Asesores Inmobiliarios,"Passatge Particular de Santa Catalina de Sena, nº 1, Centre, 07002 Palma, Illes Balears, España",,http://inmobiliariatalaiot.es/,4.9,492.0,es,Google reviews: 4.9* / 492,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0,+34971754878,+34605921809,info@inmobiliariatalaiot.es,,success
Sky Solutions Group Mallorca,"Pg. del Born, 15, 2 B-C, Distrito Centro, 07012 Palma, Illes Balears, España",+34971150322,https://skysolutionsgroup.es/mallorca/,4.7,47.0,es,Google reviews: 4.7* / 47,OPERATIONAL,"('real_estate_agency', 'finance', 'lawyer', 'consultant', 'point_of_interest', 'establishment')",7012.0,,,,,"error: Transform failed, HTML does not have valid markup."
Inmobiliaria RED Premium Real Estate  ( 07012 ),"Carrer de la Protectora, 10, LOCAL 11, Distrito Centro, 07012 Palma, Illes Balears, España",+34971888018,http://www.redpremium.es/,4.4,200.0,es,Google reviews: 4.4* / 200,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0,+349710880018,,info@redpremium.es,,success
Smârthöme Mallorca ,"Carrer de Can Puigdorfila, 14, Centre, 07001 Palma, Illes Balears, España",,http://www.smarthomemallorca.com/,5.0,19.0,es,Google reviews: 5* / 19,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7001.0,+34971092897,,hola@smarthomemallorca.com,,success
