name,address,international_phone_number,url,rating,reviews_count
Gruppo S.E.I. Istituto Immobiliare Europeo Srl,"Via del Sansovino, 206/208, 50142 Firenze FI, Italia",+39 055 713202,https://www.grupposeitoscana.it/,4.8,149.0
Immobiliare Firenze,"Via Francesco Baracca, 163, 50127 Firenze FI, Italia",+39 055 422 0308,http://www.immobiliarefirenze.eu/it,4.4,66.0
CAPITAL IMMOBILIARE FIRENZE S.R.L.,"Via di Novoli, 73/c, 50127 Firenze FI, Italia",+39 055 709 7710,http://www.capitalimmobiliarefirenze.it/,3.1,17.0
Italiana Immobiliare - Novoli,"Viale Alessandro Guidoni, 77, 50127 Firenze FI, Italia",+39 055 416090,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=25&filters[e.agency_address_id]=19,4.6,22.0
Italiana Immobiliare - Isolotto,"Via Torcicoda, 107r, 50142 Firenze FI, Italia",+39 055 094 8545,https://www.italianaimmobiliare.it/searchresult.php?agency=Agenzia%20Firenze%20Isolotto&filters[equal][Contratto]=V&filters[equal][e.agency_id]=27,4.9,89.0
Think Immobiliare Firenze,"Via Sant'Onofrio, 8, 50124 Firenze FI, Italia",+39 342 011 6298,https://www.thinkimmobiliare.it/,5.0,69.0
Firenze Real Estate Agenzia Immobiliare referenziata,"Borgo S. Frediano, 86r, 50124 Firenze FI, Italia",+39 335 654 8002,https://www.realestatefirenze.it/,4.5,30.0
Italiana Immobiliare - Campo di Marte,"Viale Eleonora Duse, 29b, 50137 Firenze FI, Italia",+39 055 600148,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=5&filters[e.agency_address_id]=5,4.7,74.0
Firenze Immobili,"Via dell'Olivuzzo, 81/d, 50143 Firenze FI, Italia",+39 055 064 0120,http://www.agenziafirenzeimmobili.it/,5.0,11.0
Immobilflorence,"Via Gherardo Caponsacchi, 50126 Firenze FI, Italia",+39 055 527 1380,https://www.immobilflorence.it/,4.1,19.0
Italiana Immobiliare - Santa Croce,"Borgo la Croce, 59/r, 50121 Firenze FI, Italia",+39 055 975 1159,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=19&filters[e.agency_address_id]=18,4.9,148.0
Mediocasa Firenze Novoli,"Viale Alessandro Guidoni, 75/g, 50127 Firenze FI, Italia",+39 055 428 8247,https://www.mediocasa.it/minisito/agenzia/157/toscana/firenze/firenze/chisiamo,3.4,18.0
Italiana Immobiliare - Santa Maria Novella,"Borgo Ognissanti, 105, 50123 Firenze FI, Italia",+39 055 277 6291,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=3&filters[e.agency_address_id]=3,5.0,669.0
Granducato Immobiliare Firenze,"Viale Belfiore, 12, 50144 Firenze FI, Italia",+39 055 332878,http://www.granducatoimmobiliare.com/,4.8,196.0
Italiana Immobiliare - Gavinana,"Viale Donato Giannotti, 31/r, 50126 Firenze FI, Italia",+39 055 680 0156,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=7&filters[e.agency_address_id]=7,4.9,79.0
TT & Partners - Servizi Immobiliare,"Via Giosuè Carducci, 63/r, 50121 Firenze FI, Italia",+39 055 263 9558,http://www.ttpartnersimmobiliare.com/,4.7,57.0
Italiana Immobiliare - Careggi,"Piazza Dalmazia, 35/36r, 50134 Firenze FI, Italia",+39 055 436 9593,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=10&filters[e.agency_address_id]=10,4.6,124.0
Italiana Immobiliare - Porta al Prato,"Piazza di S. Jacopino, 5R, 50127 Firenze FI, Italia",+39 055 321 5639,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=11&filters[e.agency_address_id]=11,4.8,37.0
The Next Home - L'Immobiliare.com - Firenze,"Viale dei Mille, 17/rosso, 50131 Firenze FI, Italia",+39 055 589352,https://firenzecampodimarte.limmobiliare.com/,4.7,13.0
Italian Real Estate S.p.A.,"Via Senese, 226, 50124 Firenze FI, Italia",+39 055 232 0684,https://www.italianaimmobiliare.it/,4.3,41.0
STUDIO IMMOBILIARE LAPICCIRELLA Real Estate Agency,"Via della Fornace, 11, 50125 Firenze FI, Italia",+39 335 832 0045,http://immobiliarelapiccirella.com/,4.4,7.0
immobililuxury,"Via Luigi Bertelli Vamba, 8, 50135 Firenze FI, Italia",+39 393 001 1522,https://immobililuxury.com/,5.0,3.0
Il Rinascimento Immobiliare | Supporto e Servizi per Agenti Immobiliari,"V.le Spartaco Lavagnini, 21, 50129 Firenze FI, Italia",+39 055 906 1409,http://www.ilrinascimentoimmobiliare.it/,4.2,173.0
HOME BROKER IMMOBILIARE Firenze Sud,"Piazza Gualfredotto da Milano, 8/r, 50126 Firenze FI, Italia",+39 055 658 7322,http://www.homebroker.it/,4.6,9.0
Caterina Pirrone Immobiliare,"Viale Europa, 101, 50126 Firenze FI, Italia",+39 338 569 6609,http://www.caterinapirroneimmobiliare.com/,4.4,34.0
Immobiliare Tetti di Firenze Real Estate Agency,"Via Giuseppe Verdi, 3, 50122 Firenze FI, Italia",+39 055 051 6022,http://www.immobiliaretettidifirenze.it/,4.8,5.0
Intermedia Progetti,"Via di Soffiano, 81, 50143 Firenze FI, Italia",+39 055 512 3104,http://www.intermediaprogetti.it/,4.7,23.0
Immobili Toscani,"Via Masaccio, 115, 50136 Firenze FI, Italia",+39 055 286833,https://www.immobilitoscani.it/,4.6,61.0
Agenzia Immobiliare San Niccolò Luxury Real Estate,"Piazza della Repubblica, 3, 50123 Firenze FI, Italia",+39 055 247 7048,https://www.sanniccolorealestate.it/,4.6,48.0
Tuscan Feeling RE srl - Real Estate ... and beyond since 1997,"Via del Bandino, 29/R, 50126 Firenze FI, Italia",+39 055 681 5230,http://www.tuscanfeeling.com/,4.7,121.0
Agenzia Immobiliare Granelli Casa&Case,"Via Luca Landucci, 19r, 50136 Firenze FI, Italia",+39 055 666028,https://immobiliaregranelli.com/,5.0,3.0
Fiesoli Immobiliare,"Via Benedetto Varchi, 3, 50132 Firenze FI, Italia",+39 055 247 9499,https://www.fiesoli.it/,4.8,95.0
Milligan real estate agency,"Via degli Alfani 64red, 50121 Firenze FI, Italia",+39 348 224 9509,http://www.milligansales.com/,4.7,3.0
L'Agenzia Immobiliare,"Via Pisana, 277, 50018 Scandicci FI, Italia",+39 055 753595,https://www.agenziaimmobiliarecasellina.it/,4.6,63.0
Guidoni Immobiliare s.r.l.,"Viale Alessandro Guidoni, 75g, 50127 Firenze FI, Italia",,,,
Santa Maria Novella Immobiliare,"Piazza Vittorio Veneto, 2, 50123 Firenze FI, Italia",+39 338 315 2428,https://www.santamarianovellaimmobiliare.com/web/,4.5,22.0
FIRENZE IMMOBILIARE,"Via Felice Fontana, 55, 50144 Firenze FI, Italia",+39 055 352683,http://www.firenzeimmobiliare.net/,5.0,1.0
Home Studio Santa Maria Novella,"Via Il Prato, 91R, 50132 Firenze FI, Italia",+39 055 213344,,4.9,16.0
Immobiliarcasa Real Estate,"Via Pellicceria, 2, 50123 Firenze FI, Italia",+39 055 202 9085,http://www.immobiliarcasa.com/,4.9,10.0
Studio Immobiliare Firenze,"Via di Ricorboli, 9 Rosso, 50126 Firenze FI, Italia",+39 055 686687,http://www.casafirenze.it/,4.3,11.0
Italiana Immobiliare,"50142 Florencia, Italia",,https://www.italianaimmobiliare.it/,5.0,2.0
STUDIO IMMOBILIARE FLORENCE,"Via Danimarca, 22, 50126 Firenze FI, Italia",,https://www.studioimmobiliare-florence.com/,,
Render Immobiliare - Refined Realty,,+39 392 322 3604,https://www.renderimmobiliare.com/,,
Angolo Casa - Studio Soffiano s.n.c.,"Via di Scandicci, 4 rosso, 50143 Firenze FI, Italia",+39 393 899 3362,,5.0,32.0
