name,address,international_phone_number,url,rating,reviews_count
Studio Immobiliare 3.A,"Via di Brozzi, 51R, 50145 Firenze FI, Italia",+39 055 098 8351,https://www.immobiliare.it/agenzie-immobiliari/227070/--a-firenze/,4.5,65.0
Affiliato Tecnorete Studio Brozzi Peretola S.A.S.,"Via di Brozzi, 209, 50145 Firenze FI, Italia",+39 055 073 8276,https://firenze1.tecnorete.it/,4.9,103.0
Immobiliare Cantisani,"Via Gianfrancesco Pagnini, 27 A, 50134 Firenze FI, Italia",+39 055 462 0186,https://www.immobiliarecantisani.it/,4.9,137.0
Parentesi Casa,"Via Giovanni Antonio Dosio, 12, 50142 Firenze FI, Italia",+39 055 933 4673,http://parentesicasa.it/,5.0,76.0
Effe Effe Group Servizi Immobiliari Di Fabiano Faustino,"Via Danubio, 10, 50019 Osmannoro FI, Italia",+39 333 991 3294,https://www.effeeffegroup.it/,4.8,20.0
Gruppo S.E.I. Istituto Immobiliare Europeo Srl,"Via del Sansovino, 206/208, 50142 Firenze FI, Italia",+39 055 713202,https://www.grupposeitoscana.it/,4.8,149.0
Vasari immobiliare,"Via Lucchese, 38, 50019 Sesto Fiorentino FI, Italia",+39 055 340859,https://www.immobiliarevasari.it/,5.0,20.0
MAGGINI IMMOBILIARE,"Via Valdichiana, 51, 50127 Firenze FI, Italia",+39 055 428 8432,https://www.facebook.com/profile.php?id=100054662460642,5.0,22.0
Italiana Immobiliare - Isolotto,"Via Torcicoda, 107r, 50142 Firenze FI, Italia",+39 055 094 8545,https://www.italianaimmobiliare.it/searchresult.php?agency=Agenzia%20Firenze%20Isolotto&filters[equal][Contratto]=V&filters[equal][e.agency_id]=27,4.9,89.0
Agenzia Immobiliare Baronti,"Via della Villa Nova, 2/A, 50145 Firenze FI, Italia",+39 055 014 2658,,3.4,5.0
Italiana Immobiliare - Novoli,"Viale Alessandro Guidoni, 77, 50127 Firenze FI, Italia",+39 055 416090,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=25&filters[e.agency_address_id]=19,4.6,22.0
Immobiliare Firenze,"Via Francesco Baracca, 163, 50127 Firenze FI, Italia",+39 055 422 0308,http://www.immobiliarefirenze.eu/it,4.4,66.0
Granducato Immobiliare Firenze,"Viale Belfiore, 12, 50144 Firenze FI, Italia",+39 055 332878,http://www.granducatoimmobiliare.com/,4.8,196.0
Property Immobiliare Firenze,"Via Atto Vannucci, 6-8-10 R, 50134 Firenze FI, Italia",+39 055 020 6786,http://www.propertyimmobiliare.it/,5.0,59.0
Miss Florence Immobiliare - Affitta Presto Agenzia Firenze 1,"Via del Sansovino, 201, 50142 Firenze FI, Italia",+39 371 625 1343,,5.0,26.0
Poggetto Casa,"Via Vittorio Emanuele II, 34r, 50134 Firenze FI, Italia",+39 055 474710,https://www.poggettocasa.it/,4.7,41.0
Agenzia Immobiliare Dentrocasa,"Via Francesco Baracca, 116a, 50127 Firenze FI, Italia",+39 055 418584,http://www.agenziadentrocasa.it/,4.2,24.0
Hora Casa Agenzia Immobiliare,"Via Lucchese, 70b, 50019 Sesto Fiorentino FI, Italia",+39 334 989 8728,https://www.horacasa.it/,5.0,12.0
ZEROUNO IMMOBILIARE di Gallo Stefano,"Via di Soffiano 8b rosso, Via di Soffiano, 50143 Florence, Metropolitan City of Florence, Italia",+39 328 194 4556,http://www.zerounoimmobiliare.it/,4.7,45.0
Agenzia Immobiliare Ottanelli,"Via G. S. Mercadante, 66, 50144 Firenze FI, Italia",+39 055 358303,https://ottanelli.com/,4.9,43.0
Firenze Real Estate Agenzia Immobiliare referenziata,"Borgo S. Frediano, 86r, 50124 Firenze FI, Italia",+39 335 654 8002,https://www.realestatefirenze.it/,4.5,30.0
Italiana Immobiliare - Porta al Prato,"Piazza di S. Jacopino, 5R, 50127 Firenze FI, Italia",+39 055 321 5639,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=11&filters[e.agency_address_id]=11,4.8,37.0
Soluzioni Immobiliari d.i.,"Via Amos Cassioli, 7, 50142 Firenze FI, Italia",+39 055 701455,http://soluzioniimmobiliarifirenze.it/,4.9,7.0
Italiana Immobiliare - Careggi,"Piazza Dalmazia, 35/36r, 50134 Firenze FI, Italia",+39 055 436 9593,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=10&filters[e.agency_address_id]=10,4.6,124.0
SoloAffitti Firenze 4,"Viale Francesco Talenti, 22, 50142 Firenze FI, Italia",+39 055 700124,https://www.soloaffitti.it/agenzia/firenze-4,4.6,183.0
RENEXT,"P.zza Taddeo Gaddi, 14/15 R, 50142 Firenze FI, Italia",+39 055 367579,http://www.renext.it/,4.9,63.0
CAPITAL IMMOBILIARE FIRENZE S.R.L.,"Via di Novoli, 73/c, 50127 Firenze FI, Italia",+39 055 709 7710,http://www.capitalimmobiliarefirenze.it/,3.1,17.0
Immobiliare Maurizi snc,"Via Pistoiese, 136, 50145 Firenze FI, Italia",+39 055 896 3282,http://www.immobiliaremaurizi.it/,5.0,2.0
House in Florence Agency ET sas,"Via Magenta, 31, 50123 Firenze FI, Italia",+39 338 895 1407,https://www.houseinflorence.com/,4.8,62.0
FIRENZE IMMOBILIARE,"Via Felice Fontana, 55, 50144 Firenze FI, Italia",+39 055 352683,http://www.firenzeimmobiliare.net/,5.0,1.0
L'Immobiliare Snc,"Via Torta, 60, 50019 Osmannoro FI, Italia",+39 055 340500,,5.0,2.0
B e J Immobiliare,"Viale delle Magnolie, 21, 50142 Firenze FI, Italia",+39 055 700186,http://www.bejimmobiliare.it/,4.1,11.0
Professionecasa Firenze San Jacopino,"Viale Francesco Redi, 125, 50127 Firenze FI, Italia",+39 055 022 8394,https://www.professionecasa.it/agenzia/firenze-san-jacopino,5.0,8.0
Affiliato Tecnorete Studio Puccini Baracca S.A.S.,"Via Francesco Baracca, 38, 50122 Firenze FI, Italia",+39 055 389 4877,https://firenze6.tecnorete.it/,5.0,32.0
Mediocasa Firenze Novoli,"Viale Alessandro Guidoni, 75/g, 50127 Firenze FI, Italia",+39 055 428 8247,https://www.mediocasa.it/minisito/agenzia/157/toscana/firenze/firenze/chisiamo,3.4,18.0
Professionecasa Novoli e Peretola,"Via di Novoli, 62, 50127 Firenze FI, Italia",+39 348 116 6442,https://www.professionecasa.it/agenzia/firenze-novoli-peretola?contratto=vendita&uso=abitativo&tipologia=casa,,
L'Agenzia Immobiliare,"Via Pisana, 277, 50018 Scandicci FI, Italia",+39 055 753595,https://www.agenziaimmobiliarecasellina.it/,4.6,63.0
Galluzzo Immobiliare,"Via Senese, 176 Rosso, 50124 Firenze FI, Italia",+39 339 183 3518,https://galluzzoimmobiliare.it/,4.9,26.0
CANOVA IMMOBILIARE,"Via A. Canova, 63G, 50142 Firenze FI, Italia",+39 055 046 9365,http://canova-immobiliare.com/,5.0,1.0
Fimiani Luxury Real Estate SRL,"Via Libero Andreotti, 48, 50142 Firenze FI, Italia",+39 379 122 7014,http://www.fimiani.it/,5.0,1.0
Casa con Silvia - Real Estate,"Via Giuseppe Saverio Mercadante, 66, 50144 Firenze FI, Italia",+39 389 631 9114,https://www.casaconsilvia.com/,5.0,9.0
Merimmobiliare snc di Dott. Marta Achilli e Dott. Francesco Vannoni,"Via Bronzino, 165/B, 50143 Firenze FI, Italia",,,5.0,3.0
Italiana Immobiliare - Soffiano,"Via Gherardo Starnina, 25/27, 50143 Firenze FI, Italia",+39 055 713 0036,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=12&filters[e.agency_address_id]=12,4.6,102.0
Immobililuxury via Zambrini,"Via Alfredo Zambrini, 34, 50127 Firenze FI, Italia",+39 393 001 1522,https://www.immobililuxury.com/,4.0,4.0
Immobiliare Dolcevita - Agenzia immobiliare Firenze Ovest e Scandicci,"Via del Pignoncino, 28A, 50142 Firenze FI, Italia",+39 055 739 8701,http://www.immobiliaredolcevita.it/,4.5,70.0
Fi.Flor Immobiliare,"Via dei Benci, 24, 50122 Firenze FI, Italia",+39 055 202 3258,https://www.agenziaimmobiliare-fiflor.com/,5.0,104.0
Affiliato Tecnorete Studio Firenze Legnaia S.A.S.,"Via del Cronaca, 11/13 r, 50122 Firenze FI, Italia",+39 055 771 7589,https://firenze5.tecnorete.it/,5.0,22.0
Immobiliare Firenze E Dintorni,"Loc. Cellai, 122, 50010 Rignano sull'Arno FI, Italia",+39 338 283 9194,http://www.immobiliare-firenze.com/,4.9,134.0
Toscano Firenze Centro - Agenzia Immobiliare,"Lungarno Guicciardini, 15R, 50125 Firenze FI, Italia",+39 055 288800,https://www.toscano.it/comune-firenze/centro-firenze-?utm_source=google&utm_medium=places&utm_campaign=Google%20My%20Business,4.7,101.0
Italiana Immobiliare - Campo di Marte,"Viale Eleonora Duse, 29b, 50137 Firenze FI, Italia",+39 055 600148,https://www.italianaimmobiliare.it/searchresult.php?filters[equal][e.agency_id]=5&filters[e.agency_address_id]=5,4.7,74.0
Consulenze Immobiliari Renna,"Via Bronzino, 50142 Firenze FI, Italia",,,5.0,5.0
Interhome,"Via Francesco Baracca, 1F, 50127 Firenze FI, Italia",+39 055 552131,https://www.interhome.it/italia/firenze-citta-e-dintorni/firenze/?utm_source=google-my-business&utm_medium=organic&utm_campaign=interhome-firenze&utm_content=list-view,4.0,18.0
Osmannoro Afitti,"Via del Cantone, 29, 50019 Osmannoro FI, Italia",+39 055 906 3260,https://osmannoroaffitti.it/,,
Savills Florence,"Via delle Cascine, 35, 50144 Firenze FI, Italia",+39 055 062 2091,https://www.savills.it/offices/firenze.aspx,5.0,6.0
The Next Home - L'Immobiliare.com - Firenze,"Viale dei Mille, 17/rosso, 50131 Firenze FI, Italia",+39 055 589352,https://firenzecampodimarte.limmobiliare.com/,4.7,13.0
