name,address,international_phone_number,url,rating,reviews_count
Immobilia,"Piazza Marmolada, 14, 10129 Torino TO, Italia",+39 011 1903 5416,https://www.immobiliare.it/agenzie-immobiliari/454115/thema26-torino/,5.0,59.0
Abitat Group Torino,"Corso Trapani, 151, 10141 Torino TO, Italia",+39 011 779 2085,https://abitatgroup.it/,4.7,261.0
Torino Real Estate,"C.so Vittorio Emanuele II, 200, 10138 Torino TO, Italia",+39 011 757 6660,https://torinore.it/,4.5,26.0
Agenzia Immobiliare Affiliata Dove.it Libra Realty - Torino,"C.so Vittorio Emanuele II, 199/C, 10139 Torino TO, Italia",+39 350 001 2988,https://www.dove.it/agenzie-immobiliari/torino/agenzia-immobiliare-affiliata-doveit-libra-realty-torino?utm_source=google&utm_medium=organic&utm_campaign=gmb-link,4.9,90.0
Agento Gruppo Immobiliare - Ag.1,"Via Carlo Capelli, 31, 10146 Torino TO, Italia",+39 011 772 7908,https://www.gruppoagento.com/,4.9,171.0
Cirillo Immobili,"Corso Tortona, 18/A, 10153 Torino TO, Italia",+39 011 1970 6935,http://www.cirilloimmobili.it/,4.9,221.0
IMMOBILIATO Agenzia Immobiliare,"Via Monginevro, 68 bis A, 10141 Torino TO, Italia",+39 011 339 1929,http://www.immobiliato.it/,4.8,63.0
ImmobilTO Group Real Estate,"Corso Alessandro Tassoni, 59, 10143 Torino TO, Italia",+39 011 068 1956,https://www.immobiliare.it/agenzie-immobiliari/425035/immobilto-group-real-estate/,4.7,29.0
Italy | Sotheby's International Realty,"Piazza Solferino, 7, 10121 Torino TO, Italia",+39 011 1947 1640,https://www.italy-sothebysrealty.com/it/,4.8,5.0
Home2 Mediazione Immobiliare,"C.so Cadore, 21/d, 10131 Torino TO, Italia",+39 011 890 2906,https://hometorino.com/,4.8,101.0
Home Solution,"Via Francesco Cigna, 57/a, 10152 Torino TO, Italia",+39 345 353 1235,http://www.homesolutionimmobiliare.it/,4.8,35.0
Immo Torino S.R.L.,"Via dei Quartieri, 8/C, 10122 Torino TO, Italia",+39 011 227191,https://www.immotorino.it/,4.5,27.0
Coldwell Banker International & More,"C.so Vittorio Emanuele II, N° 52/A, 10123 Torino TO, Italia",+39 011 1947 5282,https://www.coldwellbanker.it/more,3.9,39.0
Agenzia Immobiliare - Domus Real Estate,"Corso Racconigi, 26c, 10139 Torino TO, Italia",+39 011 327 2677,https://www.domusreal-estate.it/,4.8,307.0
Torino Affitti,"Corso Carlo e Nello Rosselli, 87, 10129 Torino TO, Italia",+39 011 304 2934,http://www.torinoaffitti.eu/,4.6,161.0
"GIEFFE PATRIMONI Real Estate Advisor - Torino, Londra, Alba, Milano, Roma.","Via della Rocca, 19, 10123 Torino TO, Italia",+39 011 760 0011,http://www.gieffepatrimoni.com/,4.9,7.0
Ernesto Palano - Consulente Immobiliare,"Via Valentino Carrera, 111/b, 10146 Torino TO, Italia",+39 333 845 1157,http://www.ernestopalano.it/,4.9,99.0
Venturini Immobiliare luxury home srls,"Via Giuseppe Pomba, 23, 10123 Torino TO, Italia",+39 011 1971 0033,http://www.immobiliareventuriniluxuryhome.com/,4.5,21.0
MAC Real Estate Advisor,"Via Vincenzo Gioberti, 73/D, 10128 Torino TO, Italia",+39 389 008 4703,https://www.macrealestate.it/,4.7,41.0
RE/MAX Sfera,"C.so Galileo Ferraris, 16, 10121 Torino TO, Italia",+39 011 453 1920,https://www.remax.it/sfera,4.5,147.0
Chiusano C. Real Estate Srl,"Via Pastrengo, 29, 10128 Torino TO, Italia",+39 011 568 2858,https://www.chiusano.com/,3.8,81.0
Primax - Torino,"Via Principi d'Acaja, 45, 10138 Torino TO, Italia",+39 011 447 4227,http://www.primaximmobili.it/,4.9,158.0
Agenzia Immobiliare Tempocasa Torino - Aurora/Regio Parco,"Corso Regina Margherita, 110, 10152 Torino TO, Italia",+39 351 758 8395,https://tempocasa.it/it/agenzie-immobiliari/torino/torino/1189-torino-auroraregio-parco,4.9,223.0
Haston & Aston S.n.c.,"Via Pietro Micca, 21, 10121 Torino TO, Italia",+39 011 562 2525,http://www.haston.it/,4.9,41.0
Homework Immobiliare,"Via Giacinto Collegno, 10b, 10143 Torino TO, Italia",+39 011 207 0488,https://homeworkimmobiliare.com/,4.6,245.0
Failla Immobiliare,"Corso Quintino Sella, 143/A, 10132 Torino TO, Italia",+39 011 437 2366,http://www.faillaimmobiliare.it/,4.1,29.0
DIMENSIONECASA,"Corso Belgio, 74/A, 10153 Torino TO, Italia",+39 011 890 1096,http://www.dimensionecasatorino.it/,3.8,69.0
Abytare Torino Mirafiori,"Corso Traiano, 38/b, 10135 Torino TO, Italia",+39 011 303 5914,https://www.abytare.com/it/agenzie-immobiliari/piemonte/torino/torino/agenzia-torino-mirafiori/,4.9,45.0
Faicasa,"Via Luigi Cibrario, 9, 10143 Torino TO, Italia",+39 334 751 3067,http://faicasa.com/,5.0,1.0
Archibios Snc,"Via dei Mille, 42, 10123 Torino TO, Italia",+39 011 812 5423,,5.0,12.0
IMMOBILIARE BOLDRINI,"Via Giovanni Francesco Napione, 27/d, 10124 Torino TO, Italia",+39 339 628 4399,http://www.immobiliareboldrini.it/,3.5,13.0
Siv Real Estate srl,"Via Cernaia, 40, 10122 Torino TO, Italia",+39 331 484 3999,http://www.sivtorino.it/,4.9,66.0
Royal Team Immobiliare Corso Casale,"Corso Casale, 319, 10132 Torino TO, Italia",+39 011 433 8496,http://www.royalteam-immobiliare.it/,4.8,44.0
Homezon.it - Agenzia Immobiliare Network marketing,"Via Fréjus, 106, 10100 Torino TO, Italia",+39 328 249 2545,https://www.homezon.it/,4.9,175.0
Agento Gruppo Immobiliare - Ag.2,"Via Nicola Fabrizi, 95/D, 10145 Torino TO, Italia",+39 011 1904 2088,http://www.gruppoagento.com/,5.0,61.0
Agenzia Immobiliare InvestIMMOBILI - Torino,"Via Nicola Fabrizi, 90 d, 10145 Torino TO, Italia",+39 339 359 6263,https://sites.google.com/view/investimmobili/home,4.8,21.0
Invest Immobiliare Group,"Corso Re Umberto, 55, 10128 Torino TO, Italia",+39 011 569 1700,https://invest-immobiliare.it/,4.6,114.0
A.I.T. Agenzie Immobiliari Torino,"Corso Vinzaglio, 9, 10121 Torino TO, Italia",+39 345 218 4838,https://www.agenzieimmobiliaritorino.eu/,5.0,65.0
Immobiliare Sabatino,"Corso Trapani, 148A, 10141 Torino TO, Italia",+39 011 385 1313,https://www.immobiliaresabatino.it/,4.5,62.0
Immo City - Agenzia Immobiliare,"Piazza Bruno Trentin, 2/1, 10093 Collegno TO, Italia",+39 011 799793,http://immocity.it/,4.8,77.0
Immobilis Parella,"C.so Francia, 266, 10146 Torino TO, Italia",+39 011 773 2700,https://immobilis.it/agenzia/immobilis-parella/,4.7,71.0
Gruppo Immobiliare - Consulenti Immobiliari Associati,"C.so Francia, 335, 10142 Torino TO, Italia",+39 333 118 3836,http://www.gruppoimmobiliareassociati.com/,5.0,202.0
Guarino immobiliare,"Corso Bernardino Telesio, 68/B, 10146 Torino TO, Italia",+39 338 484 2404,https://www.guarinoimmobiliare.it/,4.7,93.0
IMMOBILIS MASSAUA,"Via Francesco De Sanctis, 71, 10141 Torino TO, Italia",+39 392 605 4720,https://immobilis.it/agenzia/immobilis-massaua/,4.4,101.0
Gabetti Aeronautica Torino,"Via Adamello, 89, 10142 Torino TO, Italia",+39 375 649 0249,https://www.gabetti.it/agenzia/torino-aeronautica-pronda,4.8,132.0
Agenzia Immobiliare Tempocasa Torino - Parella/Monte Grappa,"Corso Monte Grappa, 57/E, 10146 Torino TO, Italia",+39 011 1958 5349,https://tempocasa.it/it/agenzie-immobiliari/torino/torino/887-torino-parellamonte-grappa,4.9,943.0
Housing Immobiliare,"C.so Francia, 32, 10143 Torino TO, Italia",+39 011 481 4017,http://www.housingimmobiliare.it/,5.0,28.0
Real estate agency Torino Parella Tempocasa,"C.so Francia, 311, 10141 Torino TO, Italia",+39 348 173 7114,https://tempocasa.it/it/agenzie-immobiliari/torino/torino/573-torino-pozzo-strada,4.8,366.0
Panorama Casa,"Via Nicola Fabrizi, 9 Bis e, 10143 Torino TO, Italia",+39 011 771 7047,https://www.panoramacasaimmobiliare.it/,5.0,224.0
EB Gruppo Immobiliare,"Via Pietro Cossa, 293/3 int. M, 10151 Torino TO, Italia",+39 011 1946 8515,,4.8,21.0
