name,address,maps_phone,url,rating,reviews_count,language,comment,business_status,types,zip_code
🥇 Agencia inmobiliaria Mallorca ,"Carrer del Ter, 12, 2º Piso, 3º Puerta, Levante, 07009 Palma, Illes Balears, España",+34 637 79 27 62,http://www.rhrealestatemallorca.com/,4.9,55.0,es,Google reviews: 4.9* / 55,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7009.0
Inmobiliaria Inmogestión Balear,"57, Carretera de Valldemossa, Nord, 07010 Palma, Illes Balears, España",+34 971 66 65 27,https://www.inmogestionbalear.com/,4.8,318.0,es,Google reviews: 4.8* / 318,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0
Amelia Inmobiliaria,"Career Nuredduna, 10, 3° D, Llevant, 07006 Palma, Illes Balears, España",+34 871 59 18 64,https://ameliainmobiliaria.com/,4.9,123.0,es,Google reviews: 4.9* / 123,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0
Mamá Inmobiliaria,"Carrer de Bartomeu Sureda i Miserol, 7, Local 9, Poniente, 07013 Sa Vileta-Son Rapinya, Illes Balears, España",+34 871 85 75 64,http://www.mamainmobiliaria.com/,4.9,160.0,es,Google reviews: 4.9* / 160,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7013.0
Atrio inmobiliaria Mallorca,"Plaça de Sant Antoni, 11, Centre, 07002 Palma, Illes Balears, España",+34 618 92 20 47,http://www.atrioinmobiliaria.com/,5.0,36.0,es,Google reviews: 5* / 36,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7002.0
Palmacasa Inmobiliaria,"Carrer d'En Vilanova, 4, Centre, 07002 Palma, Illes Balears, España",+34 971 71 47 88,http://www.palmacasa.es/,4.9,343.0,es,Google reviews: 4.9* / 343,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0
Talaiot Asesores Inmobiliarios,"Passatge Particular de Santa Catalina de Sena, nº 1, Centre, 07002 Palma, Illes Balears, España",+34 971 75 48 78,http://inmobiliariatalaiot.es/,4.9,492.0,es,Google reviews: 4.9* / 492,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0
Sky Solutions Group Mallorca,"Pg. del Born, 15, 2 B-C, Distrito Centro, 07012 Palma, Illes Balears, España",+34 971 15 03 22,https://skysolutionsgroup.es/mallorca/,4.7,47.0,es,Google reviews: 4.7* / 47,OPERATIONAL,"('real_estate_agency', 'finance', 'lawyer', 'consultant', 'point_of_interest', 'establishment')",7012.0
Inmobiliaria RED Premium Real Estate  ( 07012 ),"Carrer de la Protectora, 10, LOCAL 11, Distrito Centro, 07012 Palma, Illes Balears, España",+34 971 88 80 18,http://www.redpremium.es/,4.4,200.0,es,Google reviews: 4.4* / 200,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0
Smârthöme Mallorca ,"Carrer de Can Puigdorfila, 14, Centre, 07001 Palma, Illes Balears, España",+34 971 09 28 97,http://www.smarthomemallorca.com/,5.0,19.0,es,Google reviews: 5* / 19,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7001.0
Inmobiliaria en Palma de Mallorca ,"Calle Isla de Malta, 13, Platja de Palma, 07007 Palma, Illes Balears, España",+34 657 47 27 83,http://www.regainternational.com/,5.0,42.0,es,Google reviews: 5* / 42,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7007.0
RE/MAX Immocorner ,"Pg. de Mallorca, 14, Centre, 07012 Palma, Illes Balears, España",+34 971 12 29 91,http://www.immo-corner.com/,5.0,31.0,es,Google reviews: 5* / 31,OPERATIONAL,"('real_estate_agency', 'apartment_building', 'finance', 'point_of_interest', 'establishment')",7012.0
InMallorca Inmobiliaria ( 07002 ),"Carrer de Josep Anselm Clavé, 2, Centre, 07002 Palma, Illes Balears, España",+34 682 80 09 07,https://www.inmallorcainmobiliaria.com/,5.0,9.0,es,Google reviews: 5* / 9,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0
InmoBienvenue,"Plaça de Santa Eulàlia, 7, Planta 2 Despacho nº 3, Centre, 07001 Palma, Illes Balears, España",+34 666 00 36 65,https://www.inmo-bienvenue.com/,4.5,15.0,es,Google reviews: 4.5* / 15,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7001.0
Inmobiliaria Inmovisa en Palma,"Carrer del Baró de Pinopar, 14, bajos, Centre, 07012 Palma, Illes Balears, España",+34 971 72 59 69,https://inmovisa.com/,4.7,119.0,en,Google reviews: 4.7* / 119,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7012.0
Inmobiliaria en Palma · Balear Living Real Estate,"Gran Via Asima, 2, Nord, 07009 Palma, Illes Balears, España",+34 971 12 84 59,https://realestatebalear.com/,5.0,63.0,es,Google reviews: 5* / 63,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7009.0
Estate Agency Balearic Properties ,"Carrer d'Alcúdia, 3, 07460 Pollença, Illes Balears, España",+34 971 53 29 84,http://www.balearic-properties.com/,4.3,59.0,es,Google reviews: 4.3* / 59,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7460.0
BAUZÁ INMOBILIARIA,"Carrer de la Palma, 5B, Centre, 07003 Palma, Illes Balears, España",+34 627 04 72 17,https://bauzainmobiliaria.com/,5.0,109.0,es,Google reviews: 5* / 109,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0
Mallorca Select,"Carrer dels Paraires, 26, I, Centre, 07002 Palma, Illes Balears, España",+34 634 30 37 79,http://mallorca-select.com/,5.0,43.0,en,Google reviews: 5* / 43,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0
John Taylor Palma de Mallorca,"Carrer Constitució, 8, Centre, 07001 Palma, Illes Balears, España",+34 971 59 88 00,https://www.john-taylor.es/,4.6,13.0,es,Google reviews: 4.6* / 13,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7001.0
NOUDOS Inmobiliaria,"Carrer Gral. Ricardo Ortega, 6, Llevant, 07006 Palma, Illes Balears, España",+34 971 63 56 91,http://noudos.com/,4.8,30.0,es,Google reviews: 4.8* / 30,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0
Engel & Völkers Palma Centro,"Carrer Constitució, 7, Centre, 07001 Palma, Illes Balears, España",+34 971 21 41 40,https://www.engelvoelkers.com/es/en/shops/palma-centre,4.2,41.0,es,Google reviews: 4.2* / 41,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7001.0
Fincas Fiol,"Carrer de Francesc Suau, 20, Bajos, Nord, 07010 Palma, Illes Balears, España",+34 971 75 52 20,http://www.fincasfiol.com/,4.7,380.0,es,Google reviews: 4.7* / 380,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7010.0
Inmovelia,,+34 611 08 52 07,https://inmovelia.com/,4.9,57.0,es,Google reviews: 4.9* / 57,OPERATIONAL,"('real_estate_agency', 'establishment')",
Palma Realtor,"Carrer de Sant Martí, 1, Centre, 07012 Palma, Illes Balears, España",+34 681 15 45 15,http://www.palmarealtor.com/,5.0,51.0,es,Google reviews: 5* / 51,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0
Baleares Immobiliaria,,+34 620 70 88 95,http://www.baleares.immo/,5.0,15.0,es,Google reviews: 5* / 15,OPERATIONAL,"('real_estate_agency', 'establishment')",
Spain Sotheby's International Realty  ( 07001 ),"Carrer de Can Puigdorfila, 2, Bajo pt 02, Distrito Centro, 07001 Palma, Illes Balears, España",+34 871 18 00 48,https://www.spain-sothebysrealty.com/,5.0,16.0,en,Google reviews: 5* / 16,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7001.0
Palmer inmobiliaria - Palma,"Carrer del Baró de Santa Maria del Sepulcre, 6, Centre, 07012 Palma, Illes Balears, España",+34 971 24 65 40,http://www.palmerinmobiliaria.com/,4.9,61.0,es,Google reviews: 4.9* / 61,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0
RE/MAX Esmeralda ,"Av. d'Antoni Maura, 18, Centre, 07012 Palma, Illes Balears, España",+34 605 83 34 50,http://www.esmeralda.remax.es/,4.8,24.0,es,Google reviews: 4.8* / 24,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0
Inmobiliaria Oliver,"Carrer de la Cerdanya, 5, Entresuelo 1, Distrito Centro, 07012 Palma, Illes Balears, España",+34 971 19 50 62,https://www.inmobiliariaoliver.com/,4.6,10.0,es,Google reviews: 4.6* / 10,OPERATIONAL,"('real_estate_agency', 'finance', 'point_of_interest', 'establishment')",7012.0
Fincas Piña Massip,"Passatge Particular de Santa Catalina de Sena, 4 -2, Entresuelo D, Distrito Centro, 07002 Palma, Illes Balears, España",+34 971 72 00 05,http://fincaspiñamassip.com/,4.4,103.0,es,Google reviews: 4.4* / 103,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7002.0
Balearhouse,"Pg. de Mallorca, 22, Centre, 07012 Palma, Illes Balears, España",+34 971 12 92 92,https://www.balearhouse.com/?utm_source=gmb&utm_medium=organic&utm_campaign=link-web,4.6,28.0,es,Google reviews: 4.6* / 28,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7012.0
GestPropiedad Avenidas,"Avinguda de Gabriel Alomar, 35, Llevant, 07006 Palma, Illes Balears, España",+34 689 85 27 03,https://www.gestpropiedad.com/avenidas,5.0,192.0,es,Google reviews: 5* / 192,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0
REMAX Vinci Group Inmobiliaria Mallorca,"Avinguda de Gabriel Alomar, 3, Bajo Izquierda, Llevant, 07006 Palma, Illes Balears, España",+34 971 20 84 19,https://www.vincigroup.remax.es/,4.6,29.0,es,Google reviews: 4.6* / 29,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0
Invest Mallorca,"Carrer del Baró de Santa Maria del Sepulcre, 6, Centre, 07012 Palma, Illes Balears, España",+34 971 72 60 29,https://investmallorca.com/contacto/,4.3,29.0,es,Google reviews: 4.3* / 29,OPERATIONAL,"('real_estate_agency', 'finance', 'consultant', 'point_of_interest', 'establishment')",7012.0
Soul Estate Agency,"Carrer de Mateu Enric Lladó, 5, 3ºA, Distrito Centro, 07002 Palma, Illes Balears, España",+34 633 10 46 36,https://www.soulestateagency.com/,5.0,7.0,es,Google reviews: 5* / 7,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0
HOMA Inmobiliaria Mallorca,"Carrer Manuel Guasp, 17, local A, Llevant, 07006 Palma, Illes Balears, España",+34 644 42 92 59,https://www.homainmobiliaria.com/,4.6,19.0,es,Google reviews: 4.6* / 19,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0
Mallorca House,"Carrer Manuel Guasp, 10, Bajos, Llevant, 07006 Palma, Illes Balears, España",+34 971 46 32 00,http://www.mallorcahouse.com/,4.4,8.0,es,Google reviews: 4.4* / 8,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7006.0
Inmobiliaria Estarellas Broker,"Carrer d'Enric Alzamora, 1, Centre, 07002 Palma, Illes Balears, España",+34 971 72 27 37,http://www.estarellasbroker.com/,4.7,49.0,es,Google reviews: 4.7* / 49,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7002.0
Living Blue Mallorca - Palma,"C. del Conquistador, 4, Centre, 07001 Palma, Illes Balears, España",+34 971 62 53 75,https://www.livingblue-mallorca.com/,5.0,21.0,es,Google reviews: 5* / 21,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7001.0
AVS Inmobiliaria,"Plaça de l'Esglesia, 11, 07350 Binissalem, Illes Balears, España",+34 696 79 20 91,https://www.avs.immo/,4.2,71.0,es,Google reviews: 4.2* / 71,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7350.0
REMAX EXPERIENCE Inmobiliaria especializada en obra nueva,"Carrer de Gilabert de Centelles, 8, Esc. derecha, Llevant, 07005 Palma, Illes Balears, España",+34 871 85 30 53,https://www.remaxexperience.es/,4.6,71.0,es,Google reviews: 4.6* / 71,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7005.0
Balear Invest - Real Estate,"Avinguda de l'Argentina, 21, Ponent, 07013 Palma, Illes Balears, España",,http://www.balearinvest.com/,3.8,104.0,es,Google reviews: 3.8* / 104,OPERATIONAL,"('real_estate_agency', 'consultant', 'point_of_interest', 'establishment')",7013.0
Inmo 83,"Carrer d'Eusebi Estada, 29, Nord, 07004 Palma, Illes Balears, España",+34 971 07 10 81,https://www.inmo83.com/,4.8,461.0,es,Google reviews: 4.8* / 461,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7004.0
PALMA ORIGEN BY INMOIB,"Carrer de Pere Dezcallar i Net, 11, local 9, Distrito Centro, 07003 Palma, Illes Balears, España",+34 644 35 36 26,http://www.inmoib.com/,4.9,37.0,es,Google reviews: 4.9* / 37,OPERATIONAL,"('real_estate_agency', 'point_of_interest', 'establishment')",7003.0
