name,address,international_phone_number,url,rating,reviews_count,language
MHOGAR REAL ESTATE BOUTIQUE,"Avinguda de la Marina, 72, 03720 Benisa, Alicante, Spain",+34 662 61 67 42,http://mhogar.es/,5.0,23.0,es
Benimo-Villas,"Avinguda de la Marina, 44, 03720 Benisa, Alicante, Spain",+34 965 74 78 74,https://www.benimo-villas.com/,4.9,82.0,es
Real Estate Guru,"Av. del Mediterrani, 37, 03720 Benissa, Alicante, Spain",+34 622 48 92 47,https://www.realestateguru.es/,5.0,1.0,en
Inmoservice Benissa,"C/ Reverendo Padre Melchor, 6, bajo, 03720 Benissa, Alicante, Spain",+34 608 31 82 40,https://inmoservicebenissa.com/,4.2,53.0,es
Aldertons of Spain,"Av. d'Europa, 8, 03720 Benissa, Alicante, Spain",+34 965 51 68 79,https://www.aldertonsofspain.com/,4.6,61.0,en
Inmo AREA Costa Blanca,"Avinguda de la Marina, 302, 03720 Benisa, Alicante, Spain",+34 966 11 24 28,http://www.areacostablanca.com/,4.5,66.0,es
l'agence immobilière à Benissa,"C. Sant Sebastià, 26, 03720 Benissa, Alicante, Spain",+34 851 81 70 10,https://l-agence-immobiliere-benissa.com/,5.0,3.0,fr
Matzon Properties,,+34 693 76 66 81,https://www.matzonproperties.com/,5.0,2.0,es
Prime Property,,+34 645 88 82 57,https://www.primeproperty.es/,5.0,1.0,en
iberEstates,"Avinguda de la Marina, 5-7, 03720 Benisa, Alicante, Spain",+34 666 44 63 89,http://www.iberestates.com/,5.0,20.0,es
Inmobiliaria Interblanca,"Avinguda de la Marina, 289, 03720 Benisa, Alicante, Spain",+34 966 49 73 56,https://inmobiliaria.interblancagroup.com/,4.8,5.0,es
Villa Spain of Moraira,"Carrer Aragó, 5, 03720 Benissa, Alicante, Spain",+34 669 09 46 11,https://www.villaspainofmoraira.com/,5.0,22.0,en
Cabrera fine properties,"Partida Benimarco, 1, 03720 Benimarco, Alicante, Spain",+34 617 88 88 38,http://cabrerafineproperties.com/,3.9,7.0,es
Benissa Properties,"Av. Garcías, 8, 03720 Benisa, Alicante, Spain",+34 965 08 08 89,http://benissaproperties.com/,,,es
Spanish Property Sales,"Carrer Benimagrell, 2, 03724 Teulada, Alicante, Spain",+34 666 27 14 61,https://www.spanish-property-sales.net/,4.9,43.0,en
Inmo Sol Mobeca,"P.º Dolores Piera, 5, 03720 Benisa, Alicante, Spain",+34 965 74 55 53,http://www.inmo-sol-mobeca.com/,2.8,5.0,es
Telio Homes,"C/ Sant Nicolau, 10, 03720 Benissa, Alicante, Spain",+34 634 34 29 19,https://www.teliohomes.com/en/,5.0,15.0,en
World Estates Company,"Carrer Nou, 5, 03720 Benissa, Alicante, Spain",,https://www.worldestatescompany.com/contacto/,,,en
Prime Property,,+34 645 88 82 57,https://www.primeproperty.es/,,,en
Grupo VAPF,"Av. del País Valencià, 22, 03720 Benissa, Alicante, Spain",+34 965 73 40 17,https://vapf.eu/vapf,4.6,170.0,es
Comprar casa en la playa,"Av. del País Valencià, 22, 03720 Benissa, Alicante, Spain",+34 965 73 40 17,,5.0,1.0,es
La Cima S.L.,"Carrer d'Orxelles, 30, 03720 Benissa, Alicante, Spain",+34 965 73 09 38,,3.0,2.0,es
IR Properties,"Carrer de Benidoleig, 14, 03720 Benissa, Alicante, Spain",+34 696 00 62 55,https://irproperties.es/,,,es
Comercial Juan Porsellanes,"Av. del País Valencià, 4, 03720 Benissa, Alicante, Spain",+34 965 73 02 00,,1.0,1.0,es
HouseVision,"C. Sant Sebastià, 8, 03720 Benissa, Alicante, Spain",+34 868 32 12 34,https://www.spanjeadvocaat.es/,3.5,2.0,nl
Property in the Sun,,+34 645 88 82 57,https://www.newpropertyinthesun.com/,,,en
Coliseo,"Carrer Pla de les Viñes, 6, 03720 Benissa, Alicante, Spain",+34 663 32 83 03,https://www.villasholidayscostablanca.com/,3.7,3.0,es
AREA Costa Blanca,"Av. del Port, 1, 03710 Calpe, Alicante, Spain",+34 966 11 24 28,http://areacostablanca.com/,4.3,6.0,es
In Motion,"Plaça Rei Jaume I, 8, 03720 Benissa, Alicante, Spain",,,,,es
Joaquín Nadal Muñoz,"Av. del País Valencià, 210, bajo, 03720 Benissa, Alicante, Spain",+34 965 73 36 52,,3.0,1.0,es
Casamar,"Carrer de Lluís Vives, 4, 03720 Benissa, Alicante, Spain",+34 649 71 55 23,,,,es
Premium Villas Costa Blanca,"C. la Quilla, 11, 03590 Altea, Alicante, Spain",+34 965 84 84 54,https://www.premium-villas-costa-blanca.com/,4.8,100.0,es
Laura Villas,,+34 627 93 19 65,http://www.lauravillas.com/,5.0,23.0,es
Camí del Quisi Rentals SL,"Partida la Coma, 5A, 03720 Benisa, Alicante, Spain",+34 616 96 17 62,,,,es
Mamet,"Calle Benimallunt, 74, 03724 Benissa, Alicante, Spain",+34 663 32 83 03,https://www.villasholidayscostablanca.com/,,,es
ServToix,,+34 665 57 35 60,http://servtoix.es/,,,es
Roselló Llorens S.L.,"C. de Maria Ibars, 4, 03720 Benissa, Alicante, Spain",+34 965 73 13 84,,,,es
Promociones Monte,"Av. del País Valencià, 6, 03720 Benissa, Alicante, Spain",+34 965 73 02 00,,,,es
Altamarina Homes,"Av. del País Valencià, 9, 03720 Benissa, Alicante, Spain",+34 699 31 47 99,,,,es
Holiday rental Reyniers,"Av. de l'Alcúdia, 14, 03720 Benissa, Alicante, Spain",+34 630 88 38 86,http://www.lacaza.nl/,3.5,11.0,nl
La Fumaeta,"Partida Llenes, 20, 03720 Benisa, Alicante, Spain",+34 663 32 83 03,https://www.villasholidayscostablanca.com/,,,es
Engel & Völkers Moraira,"Aveniguda de la Paz, 23, 03724 Moraira, Alicante, Spain",+34 965 50 81 81,https://www.engelvoelkers.com/es/es/shops/moraira,4.4,18.0,es
efeNOU · Infografía 3D (Infoarquitectura Alicante - Valencia),"Carrer de Benidoleig, 10, Local B, 03720 Benisa, Alicante, Spain",+34 625 19 23 62,,4.8,4.0,es
Dragt Villas S L,"Partida Pou d'Avall, 0, 03720 Benisa, Alicante, Spain",+34 965 73 22 96,,,,es
