name,address,international_phone_number,url,rating,reviews_count,language,comment
Eurekasa Inmobiliaria,"Calle Madrid, 11, Local, 09002 Burgos, España",+34 947 27 07 38,http://www.eurekasainmobiliaria.com/,4.6,168,es,4.6 / 168
🟣 CASOPLAN Inmobiliaria Burgos Vendemos inmuebles con Cariño Alquiler Seguro,"C. Ana Lopidana, 5, 09005 Burgos, España",+34 947 85 35 32,http://casoplan.com/,5.0,160,es,5 / 160
Venta y Alquiler Garantizado Inmobiliaria.,"C. Vitoria, 39, 09004 Burgos, España",+34 947 07 47 75,,4.7,110,es,4.7 / 110
Prigo | Gestión de Patrimonios Inmobiliarios,"C. de Santander, 6, Bajo, 09004 Burgos, España",+34 947 26 98 75,http://www.prigo.es/,4.7,242,es,4.7 / 242
Liverso Inmobiliaria Burgos,"Calle Guardia Civil, 6, 09004 Burgos, España",+34 947 07 10 26,https://www.liverso.es/,4.1,69,es,4.1 / 69
Inmobiliaria Castillo,"Av. del Arlanzón, 6, Bajo, 09004 Burgos, España",+34 947 27 96 96,https://inmobiliaria-castillo.com/,4.2,65,es,4.2 / 65
inmoprotec® Burgos,"Av. Reyes Católicos, 18, 09005 Burgos, España",+34 947 34 68 57,https://inmoprotec.com/,4.9,64,es,4.9 / 64
Gestión Inmobiliaria Melón,"C. Alejandro Yagüe, 11, 09007 Burgos, España",+34 947 24 40 56,http://www.jmelon.com/,3.9,66,es,3.9 / 66
Inmobiliaria Gran Manzana,"C. San Bruno, 13, enfrente, 09007 Burgos, España",+34 679 30 32 91,,4.9,36,es,4.9 / 36
Gestión Inmobiliaria Melón,"C. San Juan, 37, 09004 Burgos, España",+34 947 25 71 00,http://www.jmelon.com/,4.1,68,es,4.1 / 68
Casablanca Inmobiliaria,"Calle Guardia Civil, 2, 09005 Burgos, España",+34 947 25 72 40,http://www.casablancasl.com/,3.6,131,es,3.6 / 131
Hgh Inmuebles,"Calle Guardia Civil, 1, Entreplanta, 09004 Burgos, España",+34 682 66 64 17,http://www.hghinmuebles.es/,4.9,64,es,4.9 / 64
Distrito 10,"Av. del Arlanzón, 37, 09004 Burgos, España",+34 947 24 32 24,http://distrito10.com/,4.8,38,es,4.8 / 38
INMOBILIARIA RODRIGO,"antiguo Campofrio, C. Canónigo Isidoro Díaz Murugarren, 10, 09007 Burgos, España",+34 618 75 38 39,http://inmobiliariarodrigo.com/,4.5,81,es,4.5 / 81
Casa Por Casa,"Av. del Cid Campeador, 10, 09005 Burgos, España",+34 947 02 31 02,https://www.instagram.com/casa_por_casa/?hl=es,4.6,88,es,4.6 / 88
Atrio Gestión Inmobiliaria,"Av. de la Paz, 9, Bajo, 09004 Burgos, España",+34 947 23 23 09,http://www.atrioinmobiliaria.com/,3.5,113,es,3.5 / 113
ARIJA Gestión Inmobiliaria,"C. San Bruno, 9, 09007 Burgos, España",+34 947 21 09 47,https://www.arijainmobiliaria.com/,3.9,41,es,3.9 / 41
MIGUELSIP SOLUCIONES INMOBILIARIAS PERSONALIZADAS,"C. San Bruno, 4, BAJO (POSTERIOR, 09007 Burgos, España",+34 947 07 54 78,,4.5,44,es,4.5 / 44
Nueva Finca SL,"Calle Guardia Civil, 1, 09004 Burgos, España",+34 947 41 40 15,http://www.nuevafinca.com/,3.9,73,es,3.9 / 73
Plaza Inmobiliaria - Venta y alquiler de pisos Burgos,"C. San Lesmes, 2, 09004 Burgos, España",+34 947 52 06 80,http://www.inmobiliariaplaza.es/,3.9,52,es,3.9 / 52
Inmobiliaria Gonorsa,"Av. Reyes Católicos, 45, Bajo, 09005 Burgos, España",+34 947 21 21 21,http://www.gonorsa.com/,4.4,75,es,4.4 / 75
Arco Inmobiliaria,"C. San Lesmes, 4, 09004 Burgos, España",+34 676 47 97 00,http://www.inmobiliaria-arco.com/,4.1,51,es,4.1 / 51
Inmobiliaria Renedo,"Av. del Cid Campeador, 9, 09003 Burgos, España",+34 947 27 39 57,,4.4,40,es,4.4 / 40
