name,address,international_phone_number,url,rating,reviews_count,language,comment
Mountain View Real Estate MURE BURGOS,"Pl. de España, 6, 09005 Burgos, Spain",+34 947 10 10 10,http://www.mure.es/,4.2,6.0,en,4.2 / 6
Costalago,"Pl. de Alonso Martínez, 7, 09003 Burgos, Spain",+34 623 73 88 86,https://inmobiliariacostalago.es/,5.0,39.0,es,5 / 39
🟣 CASOPLAN Inmobiliaria Burgos Vendemos inmuebles con Cariño Alquiler Seguro,"C. Ana Lopidana, 5, 09005 Burgos, Spain",+34 947 85 35 32,http://casoplan.com/,5.0,160.0,es,5 / 160
Eurekasa Inmobiliaria,"Calle Madrid, 11, Local, 09002 Burgos, Spain",+34 947 27 07 38,http://www.eurekasainmobiliaria.com/,4.6,169.0,es,4.6 / 169
Venta y Alquiler Garantizado Inmobiliaria.,"C. Vitoria, 39, 09004 Burgos, Spain",+34 947 07 47 75,,4.7,110.0,es,4.7 / 110
Prigo | Gestión de Patrimonios Inmobiliarios,"C. de Santander, 6, Bajo, 09004 Burgos, Spain",+34 947 26 98 75,http://www.prigo.es/,4.7,242.0,es,4.7 / 242
Liverso Inmobiliaria Burgos,"Calle Guardia Civil, 6, 09004 Burgos, Spain",+34 947 07 10 26,https://www.liverso.es/,4.1,69.0,es,4.1 / 69
Inmobiliaria Castillo,"Av. del Arlanzón, 6, Bajo, 09004 Burgos, Spain",+34 947 27 96 96,https://inmobiliaria-castillo.com/,4.2,65.0,es,4.2 / 65
Hgh Inmuebles,"Calle Guardia Civil, 1, Entreplanta, 09004 Burgos, Spain",+34 682 66 64 17,http://www.hghinmuebles.es/,4.9,64.0,es,4.9 / 64
Distrito 10,"Av. del Arlanzón, 37, 09004 Burgos, Spain",+34 947 24 32 24,http://distrito10.com/,4.8,38.0,es,4.8 / 38
Casa Por Casa,"Av. del Cid Campeador, 10, 09005 Burgos, Spain",+34 947 02 31 02,https://www.instagram.com/casa_por_casa/?hl=es,4.6,88.0,es,4.6 / 88
Casablanca Inmobiliaria,"Calle Guardia Civil, 2, 09005 Burgos, Spain",+34 947 25 72 40,http://www.casablancasl.com/,3.6,131.0,es,3.6 / 131
