name,address,international_phone_number,url,rating,reviews_count
StartGroup Calahonda,"CC El Zoco, local 33 Calahonda, Mijas Costa, 29649 Calahonda, Málaga, España",+34 952 90 48 90,http://www.startgroup.com/,4.9,264.0
HOLA! By Calahonda Estates,"Av. de España, 1, 29649 Mijas, Málaga, España",+34 952 93 18 51,https://calahonda-estates.com/,4.4,61.0
Inmobiliaria Engel & Völkers Mijas,"Costa Málaga ES, Av. de España, 70, 29649 Calahonda, Málaga, España",+34 951 66 60 06,https://www.engelvoelkers.com/es/es/shops/mijas,4.9,117.0
LaCalaHouse | Inmobiliaria en la Costa del Sol,"C. Beamar de Calahonda, 5, 29649 Mijas, Málaga, España",+34 629 70 81 82,https://calahouse.com/,4.7,39.0
Elesur Inmobiliaria,"P.º de la Playa, 3, 18730 Calahonda, Granada, España",+34 958 87 12 99,https://www.elesurinmobiliaria.com/,5.0,1.0
MARBELLA HEART,"C. Jaén, 29649 Calahonda, Málaga, España",+34 644 56 28 40,http://marbellaheart.com/,4.8,23.0
Elite Properties Spain | Mijas Costa Real Estate,"Av. de España, 7, 29649 Calahonda, Málaga, España",+34 952 90 49 77,http://www.elitepropertiesspain.com/,4.5,13.0
Real Estate Specialists | Calahonda | Direct Estates,"Centro comercial el Zoco 84, 29649 Mijas, Málaga, España",+34 952 93 91 16,http://www.directestates.es/,3.8,11.0
KEYS property group,"Centro Comercial El Zoco, Local 14 Calahonda Mijas Costa, 29649 Calahonda, Málaga, España",+34 951 66 22 65,https://keyspropertygroup.com/,4.9,42.0
Sol Finders,"C. de Los Adarves, 29649 Calahonda, Málaga, España",+34 637 30 09 80,http://www.solfinders.com/,4.9,14.0
Calahonda Carchuna Inmobiliaria,"Calle El Zarzalillo, 2, bloque 3, local 2, 18730 Calahonda, Granada, España",+34 958 62 39 74,http://inmocalahondacarchuna.com/,4.8,11.0
Target Property Spain S.L.,"Calle Mérida de Jarales, Local 9, 29649 Calahonda, Málaga, España",+34 952 00 02 44,https://targetpropertyspain.com/,4.9,103.0
donpiso Mijas,"Calle Mérida de Jarales, 24, 29649 Calahonda, Málaga, España",+34 951 71 48 31,,5.0,6.0
SISADE Real Estate,"Urb. Calypso, Calle Olivo S/N C.C. Valdepinos, Local 11A Ctr, N-340, km 195, 29649 Calahonda, Málaga, España",+34 633 40 05 26,http://www.sisade.es/,4.9,64.0
I.E. Calahonda S.A.G.,"Urbanizacion Riviera del Sol, 3-C, 29649 Mijas Costa, Malaga, Málaga, España",+34 952 93 11 88,,4.3,7.0
Inmoplaya,"Av. de España, 29649 Calahonda, Málaga, España",+34 602 43 68 09,https://www.inmoplaya.es/,5.0,3.0
Hi Homes,"Calle Badajoz de Jarales, Local 26.C.C Jarales de, 29649 Calahonda, Málaga, España",+34 951 08 42 64,http://www.hihomes.es/,4.8,84.0
Amonio Real Estate,"Av de España & Urb. Sitio de Calahonda, 22, 29649 Mijas, Málaga, España",+34 622 84 30 74,http://amonio-group.com/,5.0,1.0
Andra Servicios Inmobiliarios S.L.,,+34 695 31 23 77,http://www.andrainmobiliaria.com/,5.0,8.0
KABUKI REAL ESTATE,"Av. de España, 22, 29649 Calahonda, Málaga, España",+34 670 98 89 33,https://kabukirealestate.com/,5.0,9.0
BlancaReal,"C. Monte Calahonda, 10, 29649 Calahonda, Málaga, España",+34 952 59 91 59,https://www.blancareal.com/,4.6,59.0
NewHome Calahonda,"Av. de España, 22, Local 6, 29649 Calahonda, Málaga, España",+34 647 84 94 47,http://www.newhomecalahonda.com/,5.0,3.0
Norths International Property,"C.C. El Campanario, Local 1, 29649 Calahonda, Málaga, España",+34 951 53 28 29,http://www.norths.es/,4.9,35.0
CostaSpace,"Centro Comercial El Zoco, Local 127 Top Floor, Urb Calahonda, Calle de Los Adarves, 29649 Mijas, Málaga, España",+34 951 25 58 78,http://www.costaspace.com/,5.0,16.0
HusmanHagberg Costa del Sol,"Costa Málaga ES, Urb. Doña Lola, 26, 29649 Calahonda, Málaga, España",+46 70 444 34 46,http://husmanhagberg.com/,5.0,24.0
Inmobiliaria Horus,"Cl. Alhamar, 5, 6A, 29649 Mijas, Málaga, España",+34 722 76 17 58,https://www.inmobiliariahorus.es/,5.0,45.0
