name,address,international_phone_number,url,rating,reviews_count
EBENEZER INMOBILIARIA CARTAGENA,"C. Carmen Conde, 40, local 1, 30204 Cartagena, Murcia, España",+34 698 91 30 55,http://www.ebenezerinmobiliaria.es/,4.9,221.0
Inmobiliaria RK Gesprocasa,"Calle Jabonerías, 61, 30201 Cartagena, Murcia, España",+34 968 52 21 24,https://gesprocasa.es/?utm_source=GoogleBusiness&utm_medium=organic&utm_campaign=gbp-web,5.0,542.0
Inmobiliaria Cartagena Homes,"C. Mayor, 27, 4F, 30201 Cartagena, Murcia, España",+34 868 24 35 29,https://www.cartagenahomes.es/,4.9,175.0
Mare Rosso Inmobiliaria,"C. Cartagena De Indias, 12, 30203 Cartagena, Murcia, España",+34 868 09 54 57,http://www.marerosso.com/,4.9,309.0
Gestmuro Inmobiliaria,"Pl. Castellini, 12, 30201 Cartagena, Murcia, España",+34 637 86 77 89,https://www.gestmuro.com/,4.7,215.0
Más Fácil Inmobiliarias,"C. Trece de Septiembre, 9, 30310 Cartagena, Murcia, España",+34 868 06 36 26,http://www.masfacil.net/,4.8,167.0
Inmobiliaria Luna,"Av. Juan Carlos I, 59, 30310 Cartagena, Murcia, España",+34 667 58 76 84,https://inmobiliarialuna.es/,4.7,83.0
Inversa Inmobiliaria,"C. Sta. Florentina, 24, 30201 Cartagena, Murcia, España",+34 968 12 51 01,http://www.inversacartagena.com/,4.8,199.0
Inmo Second Hand,"Av. de Colon, 124, 30205 Cartagena, Murcia, España",+34 649 73 02 93,http://www.inmosecondhand.com/,4.9,95.0
Grupo Conesa Inmobiliaria,"C. Francisco de Borja, 7, Escalera 2,planta 1, Puerta 2C, 30205 Cartagena, Murcia, España",,https://www.vibendo.es/,4.7,87.0
Inmobiliaria Marín,"C. del Parque, 21, 30201 Cartagena, Murcia, España",+34 968 52 64 16,http://inmomarin.es/,4.6,119.0
Inmobiliaria Xmetros,"C Santiago Ramón Y Cajal, 18, 30204 Cartagena, Murcia, España",+34 868 49 10 64,https://xmetros.es/,5.0,106.0
Inmobiliaria Grupo Aviles,"Calle Ángel Bruna, 11, 30201 Cartagena, Murcia, España",+34 968 50 71 68,https://avilesinmobiliaria.com/,4.6,109.0
Egecon inmobiliaria,"C. Carlos III, 8, bajo, 30201 Cartagena, Murcia, España",,http://www.egeconinmuebles.com/,4.6,131.0
Villa Sol Inmobiliaria,"Av. Nueva Cartagena, 28, 30310 Cartagena, Murcia, España",+34 968 52 92 87,http://www.villasol.es/,4.5,174.0
Inmobiliaria Nueva Eracart,"C Santiago Ramón Y Cajal, 13, 30202 Cartagena, Murcia, España",+34 611 62 00 80,http://www.inmobiliarianuevaera.com/,4.7,80.0
Inmoquality,"C. Juan Fernandez, 20, Bajo, 30204 Cartagena, Murcia, España",+34 968 08 98 18,http://www.inmoquality.com/,4.8,123.0
Ingecom Inmobiliaria,"C. Alfonso XIII, 46, 30310 Cartagena, Murcia, España",+34 968 51 72 67,http://www.inmoingecom.com/,4.7,62.0
INMOhogares,"Calle Ángel Bruna, 11, 30203 Cartagena, Murcia, España",+34 678 00 00 09,https://inmohogares.com/,4.8,175.0
InmoCasa10,"C Santiago Ramón Y Cajal, 92, 30204 Cartagena, Murcia, España",+34 681 67 61 88,https://www.inmocasa10.com/,4.7,189.0
Valora Gestión Inmobiliaria,"C. Alfonso X el Sabio, 6, 30204 Cartagena, Murcia, España",+34 968 06 93 82,http://www.inmobiliariavalora.com/,4.8,85.0
"Ayala y asociados, Servicios Inmobiliarios","Edificio Gran Hotel, C. Jara, 31, 1º C, Despacho 2, 30201 Cartagena, Murcia, España",+34 968 52 66 75,https://ayalayasociados.com/,4.9,208.0
Urbanilia,"C. la Paz, 2, 30204 Cartagena, Murcia, España",+34 868 96 62 81,https://urbanilia.es/inicio,4.3,180.0
Rocena Inmobiliaria,"Alameda de San Antón, 7, 30204 Cartagena, Murcia, España",+34 695 49 32 52,http://www.rocenainmobiliaria.com/,4.6,42.0
MAC INMOBILIARIA,"C. Salitre, 26, 1º B, 30201 Cartagena, Murcia, España",+34 647 15 69 60,http://macinmobiliaria.es/,4.8,84.0
Agencia Inmobiliaria en Cartagena - SERCOM Cartagena,"C. Roma, 1, 30203 Cartagena, Murcia, España",+34 968 08 20 22,https://www.sercomcartagena.com/,4.8,25.0
El Nido Inmobiliaria,"C. San Francisco, 3, 2º A, 30202 Cartagena, Murcia, España",+34 603 01 53 10,http://www.elnidoinmobiliaria.com/,5.0,75.0
M.A.R. INMOBILIARIA,"C. Alfonso XIII, 29, 30310 Cartagena, Murcia, España",+34 968 08 82 21,http://www.marinmobiliarias.com/,3.8,42.0
AHORA - GESTORES INMOBILIARIOS,"C. Almte. Baldasano, 13, Bajo, 30204 Cartagena, Murcia, España",+34 868 06 60 20,http://ahorainmobiliaria.com/,4.1,102.0
Inmocartago,"Plaza de España, 4, 30201 Cartagena, Murcia, España",+34 968 52 73 73,http://www.inmocartago.com/,4.0,73.0
13 Estudio Servicios Inmobiliarios,"C. Carr. de la Palma, 13, 30310 Cartagena, Murcia, España",+34 868 96 54 37,http://www.13estudio.es/,4.6,44.0
GLOBAL MÖLLER,"Av. Reina Victoria Eugenia, 14, 30204 Cartagena, Murcia, España",+34 868 62 01 89,http://www.globalmoller.es/,4.7,103.0
CISA CARTAGENA,"C. Juan Fernandez, 4, ENTRESUELO, A, 30201 Cartagena, Murcia, España",+34 968 50 36 36,http://www.cisafinance.es/,4.4,77.0
Mercader Torralba Inmobiliaria,,+34 608 34 13 79,http://www.mercadertorralba.com/,4.7,12.0
LEGAL ESTATE INMOBILIARIA,"C. Capitanes Ripoll, 14, 30203 Cartagena, Murcia, España",+34 686 15 70 69,https://www.idealista.com/pro/legal-estate/,3.7,94.0
Inmobiliaria Ritten,"C. Carmen Conde, 41, 30204 Cartagena, Murcia, España",+34 868 06 50 55,http://www.inmobiliariaritten.com/,4.4,27.0
Inmonova,"C. Valle Inclán, 2, Bajo, 30204 Cartagena, Murcia, España",+34 968 08 79 96,https://inmonovacartagena.com/,3.9,63.0
VELA HOUSE,"C. Floridablanca, 15, LOCAL 4, 30310 Cartagena, Murcia, España",+34 635 25 19 87,https://www.inmovelahouse.com/,5.0,42.0
Mm2 Grupo,"C. Capitanes Ripoll, 4, 30203 Cartagena, Murcia, España",+34 621 21 27 13,http://www.mm2grupo.com/,4.8,45.0
Boluda inmobiliaria,"Pl. San Agustín, 30201 Cartagena, Murcia, España",+34 601 98 37 32,https://boluda-inmobiliaria.pro.inmogesco.com/,5.0,37.0
Siempre Casas,"C. Carlos V, 2, Bajo, 30205 Cartagena, Murcia, España",+34 968 56 24 99,https://www.siemprecasas.com/,4.4,84.0
Vicente Sánchez iad Cartagena,,+34 659 29 59 76,https://www.iadespana.es/agente-inmobiliario/vicente.sanchez,4.9,10.0
Multigestión Inmobiliaria,"Junto a Practiser, C. Juan Fernandez, 53, 30204 Cartagena, Murcia, España",+34 610 39 45 99,http://www.multigestioninmobiliaria.net/,3.6,23.0
SiMiHogar,"C. Rodrigo de Caro, 30319 Cartagena, Murcia, España",+34 868 12 20 10,https://www.web.simihogar.com/,4.9,43.0
Santa Florentina 21,"C. Sta. Florentina, 21, 30201 Cartagena, Murcia, España",+34 607 48 15 53,http://www.gruposantaflorentina.com/,4.3,141.0
2 Mares,"P.º Alfonso XIII, 30, 30201 Cartagena, Murcia, España",+34 968 08 66 30,http://www.2mares.es/,4.5,44.0
Fercana,"Pl. Juan XXIII, nº 9, 30201 Cartagena, Murcia, España",+34 968 52 46 35,https://www.fercana.com/,4.5,34.0
The Key,"C. Jiménez de la Espada, 30205 Cartagena, Murcia, España",+34 968 91 45 79,http://thekeyinmobiliaria.es/,4.9,32.0
Patricia Pérez | Servicios Inmobiliarios,,+34 619 12 30 77,https://patriciaperezinmobiliaria.com/,5.0,18.0
Cuore Cartagena,"Pl. de la Hispanidad, 1, 30310 Cartagena, Murcia, España",+34 614 16 94 25,,5.0,2.0
INMOMUR Cartagena Oeste,"RM-332, 30393 Cartagena, Murcia, España",+34 659 50 63 24,http://www.inmomur.casa/,4.7,12.0
VMC Inmobiliaria,"C. Juan Fernandez, 2, 4B, 30201 Cartagena, Murcia, España",+34 604 12 81 74,http://www.vendemicasacartagena.es/,5.0,15.0
Aproen Carthago,"C. Alfonso XIII, 30310 Cartagena, Murcia, España",+34 646 80 06 72,https://aproencarthago.com/,3.9,39.0
Treasure Real Estate,,+34 623 60 04 30,https://www.treasurere.es/,5.0,24.0
YEDRA HOME,"C. Poeta Miguel Hernández, 30204 Cartagena, Murcia, España",+34 659 31 32 78,http://yedrahome.es/,5.0,17.0
INMOPROA,"Av. de Venecia, 20, 30319 Cartagena, Murcia, España",+34 868 04 94 23,http://www.inmoproa.es/,3.9,38.0
Yamaca Inmobiliaria,"C. Poeta Miguel Hernández, 11, 30204 Cartagena, Murcia, España",+34 968 51 74 68,,2.9,31.0
JMK INMOBILIARIA,"Ctra. Media Sala, 30310 Cartagena, Murcia, España",+34 684 36 05 79,,5.0,2.0
Cuatro Keys,"Pl. Castellini, 11, 30201 Cartagena, Murcia, España",+34 616 13 92 68,https://www.cuatrokeys.com/,4.6,13.0
Equipo KasSa Nova Inmobiliaria Remax,"Plaza del Par, 30201 Cartagena, Murcia, España",+34 639 93 81 27,https://www.equipokassanova.es/ecard,5.0,1.0
402 inmobiliaria - arquitectura,"C. Almte. Baldasano, 24, 30204 Cartagena, Murcia, España",+34 968 53 00 71,http://www.402inmobiliaria.es/,5.0,24.0
Gallego Real Estate Group,"C. Juan Fernandez, 16, 30204 Cartagena, Murcia, España",+34 696 47 81 18,http://www.gallegorealestategroup.com/,3.5,11.0
Propietarios,"C. Carlos III, 28, 30201 Cartagena, Murcia, España",+34 968 08 90 79,http://www.ipropietarios.com/,4.3,11.0
Inmobiliaria Casas,"Av. de Colon, 124, 30205 Cartagena, Murcia, España",+34 603 34 83 68,https://www.inmosecondhand.com/,5.0,4.0
Solvia Inmobiliaria,"C. Almte. Baldasano, 8, 30205 Cartagena, Murcia, España",+34 627 68 72 64,http://www.solvia.es/,2.1,59.0
LLAVE 3 INMOBILIARIA,"C. Tierno Galván, 6, 30201 Cartagena, Murcia, España",+34 968 08 66 66,,5.0,4.0
Inmobiliaria Murcia Cartagena Redpiso,"P.º Alfonso XIII, 21, 30203 Cartagena, Murcia, España",+34 654 95 36 56,https://www.redpiso.es/oficina/inmobiliaria-cartagena,3.0,2.0
Urbincasa - Oficina central,"C. Juan Fernandez, 61, 30204 Cartagena, Murcia, España",+34 968 51 03 80,https://www.urbincasa.es/,3.9,29.0
Inmoparque,"C. del Parque, 33, 30201 Cartagena, Murcia, España",+34 968 12 11 63,http://www.inmoparquecartagena.com/,4.3,7.0
Comprar Casas Cartagena,"C. Trece de Septiembre, 9, 30310 Cartagena, Murcia, España",+34 868 06 36 26,http://www.comprarcasascartagena.com/,5.0,4.0
"Dimension 5 | Inmobiliaria Cartagena, Compra/Venta viviendas, Alquiler inmuebles, Asesoramiento energético","C. Manuel Wssell de Guimbarda, 34, 30203 Cartagena, Murcia, España",+34 629 98 54 69,https://dimension5.es/,3.9,11.0
Carthagohome,"C. Guayaquil, 13, 30394 Cartagena, Murcia, España",+34 696 32 64 88,http://carthagohome.com/,4.9,50.0
Central Inmobiliaria,"Pl. Serreta, 6, 30201 Cartagena, Murcia, España",,,5.0,1.0
