name,address,international_phone_number,url,rating,reviews_count
Inmobiliaria Royal Costa en Denia,"C/ de Diana, 27, 03700 Dénia, Alicante, España",+34 966 42 48 33,http://www.royalcosta.com/,4.6,86.0
Mar Dénia Inmobiliaria,"Pg. del Saladar, 58, 1 d, 03700 Denia, Alicante, España",+34 649 15 67 97,,4.6,25.0
Lluna Dénia Servicios Inmobiliarios,"C/ Major, 58, 03700 Dénia, Alicante, España",+34 687 45 05 58,http://www.llunadenia.com/,4.7,58.0
Pedro Pastor Inmobiliaria,"Camí de les Bovetes al Mar, 1, local 1, 03700 Denia, Alicante, España",+34 965 78 35 80,http://www.pedropastor.es/,4.9,375.0
catorce inmobiliaria,"C/ de Diana, 50, 1º Pta. 4, 03700 Dénia, Alicante, España",+34 629 32 21 80,https://www.catorceinmo.com/,4.9,206.0
ARREGUI VILLAS - Agencia Inmobiliaria en Dénia,"Av. de Joan Fuster, 22B, 03700 Dénia, Alicante, España",+34 664 49 46 75,http://www.arreguivillas.com/,5.0,54.0
Pla Inmobiliaria,"C/ de la Mar, 59, 03700 Dénia, Alicante, España",+34 667 22 64 87,http://www.plainmobiliaria.com/,4.9,110.0
Randof Real Estate Inmobiliaria Denia,"C/ de Diana, 12, 03700 Dénia, Alicante, España",+34 965 03 69 19,https://www.randofrealestate.com/,4.7,51.0
SYBARIS HOMES Inmobiliaria en Denia,"Carrer de L'Agret, 18, 03700 Dénia, Alicante, España",+34 965 78 10 67,http://sybarishomes.com/,4.9,89.0
Inmobiliaria Carmen Vara,"Carrer Carlos Sentí, 1, 03700 Dénia, Alicante, España",+34 965 78 05 74,https://www.carmenvaragestioninmobiliaria.com/,4.7,65.0
Inmobiliaria Lex,"C/ del Marqués de Campo, 38, 03700 Dénia, Alicante, España",+34 965 78 03 69,https://www.inmobiliaria-lex.com/,4.6,144.0
