name,address,international_phone_number,url,rating,reviews_count,language
Inmobiliaria Grupo Barragán,"C. Primero de Mayo, 18, 35600 Puerto del Rosario, Las Palmas, España",+34 692 66 22 65,https://www.grupobarragan.es/,4.4,63.0,es
Gestiona tu Hogar,,+34 642 66 48 93,,4.9,17.0,es
Golden House Real Estate Fuerteventura S.L.,"C. Secundino Alonso, 75, 1° planta, oficina nrº 6, 35600 Puerto del Rosario, Las Palmas, España",+34 641 82 14 26,http://www.goldenhousefuerteventura.es/,4.9,58.0,it
Rinaldi Inmobiliaria Fuerteventura,"C. Marisco, 78, 35600 Puerto del Rosario, Las Palmas, España",,https://rinaldiinmobiliaria.com/,5.0,98.0,es
Yoalquilo Fuerteventura Inmobiliaria,"C. Ayose, 1, 2º C, 35600 Puerto del Rosario, Las Palmas, España",+34 828 13 00 12,http://www.yoalquilo-online.com/,4.5,141.0,es
Forum Inmobiliaria Fuerteventura First Real Estate Agent,"C. Canalejas, 24, Local 2, 35600 Puerto del Rosario, Las Palmas, España",+34 627 51 52 62,http://www.fuerteventura-realestate.com/,4.8,100.0,de
VIVENCANARIAS Inmobiliaria Fuerteventura,"C. Canalejas, 22, bajo derecha, 35600 Puerto del Rosario, Las Palmas, España",+34 622 90 40 11,https://www.vivencanarias.com/,4.9,45.0,es
JFN Servicios Inmobiliarios,"C. Canalejas, 13, Bajo 10, 35600 Puerto del Rosario, Las Palmas, España",+34 828 04 59 21,http://www.jfnserviciosinmobiliarios.es/,4.9,54.0,en
Fuerteventura Homes | Inmobiliaria en Puerto del Rosario,"C. Cisneros, 99, B, 35600 Puerto del Rosario, Las Palmas, España",+34 928 53 31 51,https://fuerteventurahomes.com/,4.2,45.0,es
Iwi Home Inmobiliaria,"Calle Almte. Lallemand, Nº33, 35600 Puerto del Rosario, Las Palmas, España",,,4.8,29.0,es
HomeCanarias,"C. Prof. Juan Tadeo Cabrera, 17, 35600 Puerto del Rosario, Las Palmas, España",+34 928 85 56 83,https://www.homecanarias.com/,4.7,41.0,it
Ocean Pearl,,+34 655 62 53 34,https://oceanpearl.es/,5.0,13.0,es
Inmobiliaria Carmen Villazan S.L.,"Avda. Alcalde Juan Ramón Soto Morales nº9, 35610 Caleta de Fuste, Antigua, Las Palmas, España",+34 928 16 01 75,http://www.carmenvillazan.com/,4.6,145.0,es
Destiny Home Real Estate Canary Island,"C. Duero, nº9, local 2, 35600 Puerto del Rosario, Las Palmas, España",,http://www.destinyhome.es/,5.0,46.0,es
Inmobiliaria Costa Canaria Real Estate,"C. San Buenaventura, 9, 35625 Morro Jable, Las Palmas, España",+34 679 42 75 05,http://www.inmocostacanaria.com/,4.9,72.0,es
Tecnocasa agencia inmobiliaria,"C. Secundino Alonso, 75, loc 3, 35600 Puerto del Rosario, Las Palmas, España",+34 654 63 45 85,https://puertodelrosario1.tecnocasa.es/,4.9,53.0,es
Fuerteventura International,"C. Prof. Juan Tadeo Cabrera, 6, 35600 Puerto del Rosario, Las Palmas, España",+34 685 14 18 01,http://fuerteventurainternational.com/,5.0,5.0,it
Destiny Home Real Estate Canary Islands,"Av. Juan Carlos I, 3, Local 4, 35660 Fuerteventura, Las Palmas, España",+34 928 53 77 08,https://www.destinyhome.es/,4.7,172.0,es
Kasa Activa,"C. Salamanca, 1, 35600 Puerto del Rosario, Las Palmas, España",+34 643 47 54 99,http://www.kasaactiva.com/,5.0,9.0,es
Atlántico Promociones,"C. Virgen del Rosario, 5, 1ºA, 35600 Puerto del Rosario, Las Palmas, España",+34 695 01 90 57,http://www.atlanticopromociones.com/,5.0,18.0,es
Fuerte Real Inmo,"C. Matías López, 40b, 35620 Gran Tarajal, Las Palmas, España",+34 928 87 03 68,http://www.fuertereal.com/,4.5,11.0,nl
"Inmobiliaria Ajana Home, S.L.","C. Alcalde Juan Évora Suárez, 19-7, 35610 Castillo Caleta de Fuste, Las Palmas, España",+34 928 16 03 00,http://www.ajanahome.com/,4.9,150.0,es
Babiniliving S.L.,,+34 624 59 36 73,,5.0,5.0,es
Inmobiliaria A&M Canary Realtors,"FV-2, 35627 Tarajalejo, Las Palmas, España",+34 828 78 99 49,https://www.canaryrealtors.com/,4.5,13.0,es
Gopar Fuerteventura S L,"C. Pérez Galdós, 20, 35620 Gran Tarajal, Las Palmas, España",+34 928 16 22 13,,5.0,1.0,es
longboardsl investiment,,+34 648 07 68 49,,,,es
"Caleta Property Real Estate Services, S. L. (CALETA PROPERTY GROUP)","Calle Alcalde Francisco Berriel Jordán 3 1º, 35610 Caleta de Fuste. Antigua. Fuerteventura, Las Palmas, España",+34 629 07 25 01,http://www.caletaproperty.com/,4.6,86.0,es
Ático Sun&Beach Fuerteventura,,+34 629 79 12 35,,,,es
PJ CONSULTORES,"C. Matías López, 10, 35620 Gran Tarajal, Las Palmas, España",+34 928 29 26 75,,5.0,9.0,es
Top Clean,"C. Menorca, 35620 Gran Tarajal, Las Palmas, España",,,5.0,2.0,es
Canary Excellence Real Estate Group - Agencia de Inmobiliaria,,+34 629 20 43 55,https://www.canaryexcellence.com/,4.8,19.0,es
Inmobiliaria Mensay XXI SLU,"C. Secundino Alonso, 75, BJ 6, 35600 Puerto del Rosario, Las Palmas, España",,http://www.inmobiliariamensay.es/contacto/,4.5,11.0,es
GoldAcre Estates S.L,"Calle Guirre 1, C.C Oasis Tamarindo, Local 17, 35660 Corralejo, Las Palmas, España",+34 928 53 50 44,https://goldacreestates.com/,4.7,295.0,en
Inmobiliaria Enjoy Your Dreams SL alquileres vacacionales,"FV-2, 35627 Tarajalejo, Las Palmas, España",,http://www.enjoyyourdreams.agency/,5.0,1.0,es
Canary Inmobiliaria,"Calle Ntra. Sra. del Carmen, 8, 35625 Morro Jable, Las Palmas, España",+34 928 34 07 86,http://canaryinmobiliaria.com/,4.7,28.0,en
Immobilien Fuerteventura,"Calle la Parábola, 4, Local 2, 35627 Costa Calma, Las Palmas, España",+34 674 13 83 94,http://www.immo-fuerteventura.com/,4.5,39.0,es
