name,address,international_phone_number,url,rating,reviews_count
La Parada Inmobiliaria Granada,"C. Sagrada Familia, Chana, 18015 Granada, España",+34 958 10 07 62,http://www.laparadainmobiliaria.es/,4.9,153.0
De Los Rios Inmobiliaria,"Cta. de Alhacaba, Albaicín, 18010 Granada, España",+34 643 30 84 78,https://delosriosinmobiliaria.com/,4.9,304.0
Granada Oeste Inmobiliaria,"Pcta. de Marte, 3, Chana, 18015 Granada, España",+34 611 43 19 99,https://inmobiliariagranadaoeste.es/,4.2,33.0
GRUPO REDALL - Agencia inmobiliaria Granada,"Pl. de Gran Capitán, 1, Ronda, 18002 Granada, España",+34 958 19 39 65,http://www.gruporedall.com/,4.8,80.0
Álvarez Salmerón Inmobiliaria en Granada,"C. Mulhacén, 15, Ronda, 18005 Granada, España",+34 651 33 76 35,http://www.alvarezsalmeron.com/,4.9,146.0
García Delgado,"C. Virgen del Monte, 7, Chana, 18015 Granada, España",+34 958 20 00 72,https://www.inmobiliariagarciadelgado.com/,4.5,224.0
inmoalarkon,"C. Pedro Antonio de Alarcón, 84, Ronda, 18002 Granada, España",+34 958 37 91 05,http://www.inmoalarkon.es/,4.9,161.0
Grupo Torres Inmobiliaria - Constitución,"Av. de la Constitución, 19, Beiro, 18014 Granada, España",+34 958 20 85 07,https://grupotorres.com/,4.8,604.0
RK Granada,"C. Recogidas, 19, Centro, 18005 Granada, España",+34 627 00 65 40,https://www.rkgranada.com/,4.9,569.0
Inmobiliaria Viviendas y Locales Granada,"Ancha de Gracia, 5, Ronda, 18002 Granada, España",+34 958 25 67 25,http://www.viviendasylocalesgranada.com/,4.9,189.0
Inmobiliaria en Granada | Granatte,"Edificio Real Center, C. San Antón, 72, 1ª Planta, Ronda, 18005 Granada, España",+34 958 12 34 82,https://www.inmogranatte.com/,4.9,130.0
Keller Williams Kinver Granada,"Cam. de Rda., 110, Ronda, 18004 Granada, España",+34 687 68 82 82,https://www.kwkinver.com/,4.7,270.0
Real Home Granada Inmobiliaria,"Cam. de Rda., 132, Ronda, 18003 Granada, España",+34 958 68 87 73,http://www.realhomegranada.com/,4.8,75.0
