,name,address,international_phone_number,url,rating,reviews_count
0,MISTERCASA Inmobiliaria Jerez,"C. Lealas, 13, Bajo, 11404 Jerez de la Frontera, Cádiz, Spain",+34 647 71 18 84,http://www.mistercasa.es/,4.9,1100
1,Solerahogar Inmobiliaria,"Avda. De La Soleá Nº 2, La Serrana I, Local 1, 11404 Jerez de la Frontera, Cádiz, Spain",+34 956 30 47 61,https://www.solerahogar.es/,4.9,330
2,CASA JEREZ INMOBILIARIA,"Avenida de Méjico, 9, Plaza de los naranjos, 1, 11405 Jerez de la Frontera, Cádiz, Spain",+34 856 04 51 84,http://lacasajerez.com/,4.9,480
3,Adarve Aparicio Inmobiliaria,"Avda. Puertas del Sur Edificio, Pl. Prta Bahía, 11408 Jerez de la Frontera, Cádiz, Spain",+34 956 14 05 14,http://www.adarveaparicio.com/,4.8,242
4,InmoSherry,"Centro Comercial Los Cisnes Calle Larga, nº 23 y 25, 11402 Jerez de la Frontera, Cádiz, Spain",+34 956 10 40 41,http://www.inmosherry.com/,4.9,348
5,FONKAL INMOBILIARIA,"Pl. San Andrés, 4, 11402 Jerez de la Frontera, Cádiz, Spain",+34 956 33 00 50,http://www.fonkal.es/,4.7,115
6,QUO Homes Inmobiliaria,"Av. Descartes, 2, 11405 Jerez de la Frontera, Cádiz, Spain",+34 956 90 03 63,https://quohomes.com/,4.9,309
7,Finansol,"Av. Jose Manuel Caballero Bonald, s/n, 11405 Jerez de la Frontera, Cádiz, Spain",,http://www.finansol.es/,4.8,254
8,i -K A S A S Jerez Gestión Inmobiliaria,"Frente a Hipercor, Av. Tío Pepe, 2, Edifico Apex, planta 5.5, 11407 Jerez de la Frontera, Cádiz, Spain",+34 956 08 08 10,http://ikasas.es/,4.8,110
9,JEREZSUR INMOBILIARIA,"C. Medina, 77, Local 6, 11402 Jerez de la Frontera, Cádiz, Spain",+34 956 33 11 06,https://www.jerezsur.com/,4.3,66
10,Huertas Inmobiliaria,"C. Eguilaz, 11, primera planta, 11403 Jerez de la Frontera, Cádiz, Spain",+34 956 34 87 42,https://www.huertasinmobiliaria.com/,4.6,53
11,Tradicasa Look & Find,"Av. Rey Juan Carlos I, Local 3, 11406 Jerez de la Frontera, Cádiz, Spain",+34 667 23 50 26,http://www.tradicasa.es/,4.7,122
12,Antonio Bernal Inmobiliaria,"C. Lago de Enol, 1, local 2, 11406 Jerez de la Frontera, Cádiz, Spain",+34 856 13 93 99,http://www.inmobiliariantoniobernal.com/,5.0,79
13,CITY 10 Property Group,"C. Sevilla, 47, bajo, 11402 Jerez de la Frontera, Cádiz, Spain",+34 956 35 00 03,https://www.city10.net/,4.4,139
14,INMOBILIARIA GRUPO PONCE,"Av. Puertas del Sur, Frente a Mercadona, Pl. Prta Bahía, Bloque 4, Local 5, 11408 Jerez de la Frontera, Cádiz, Spain",+34 856 58 68 00,http://inmobiliariaponce.com/,4.7,112
15,Jerez norte Inmobiliaria,"Parque del, Pl. el Rocío, Local 16, 11405 Jerez de la Frontera, Cádiz, Spain",+34 658 94 67 56,http://www.inmobiliariajereznorte.com/,4.4,71
16,Inmobiliaria Zambrano,"C. Isabelita Ruiz, 11, 11405 Jerez de la Frontera, Cádiz, Spain",+34 956 30 78 35,http://www.inmobiliariazambrano.com/,4.6,71
17,Inmobiliaria José Maria Pantoja.,"Avda. Lola Flores 18 Edificio expositor Local 10, 11405 Jerez de la Frontera, Cádiz, Spain",+34 856 08 17 50,http://www.josemariapantoja.com/,4.6,138
18,Inmobiliaria viviendin,"Residecial, Av. de Arcos, Bloque 4, local b, 11405 Jerez de la Frontera, Cádiz, Spain",+34 956 15 99 44,http://www.viviendin.es/,4.5,91
19,Tecnocasa Universidad Jerez,"Av. de la Universidad, 8, local 2, 11405 Jerez de la Frontera, Cádiz, Spain",+34 856 17 93 87,https://jerezdelafrontera6.tecnocasa.es/,4.9,105
