name,address,international_phone_number,url,rating,reviews_count,language
Las Palmas Property,"Calle Dr. Grau Bassas, 6, 35007 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 608 16 98 45,http://www.laspalmasproperty.com/,4.9,64.0,en
Engel & Völkers Real Estate Gran Canaria,"C. Venegas, 45, 35003 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 06 16 10,https://www.engelvoelkers.com/es/es/shops/gran-canaria,4.9,98.0,es
GILMAR Consulting Inmobiliario - Inmobiliaria Las Palmas,"Av. José Mesa y López, 4, 35007 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 98 66 66,https://www.gilmar.es/islas-canarias/?utm_source=gmb&utm_medium=cta&utm_campaign=inmobiliaria_las_palmas_de_gran_canaria,4.9,250.0,es
Inmobiliaria Green Palm Real Estate,"P.º de Tomás Morales, 17, 35004 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 828 69 04 59,http://greenpalmrealestate.com/,4.0,25.0,es
Gran Canaria Real Estate,"Av. de Gran Canaria, 5, 35100 San Bartolomé de Tirajana, Las Palmas, Spain",+34 654 30 23 14,https://www.ihispain.com/,4.9,59.0,en
REWORK Inmobiliaria,"C. Francisco Gourié, 18, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 20 22 44,http://www.reworkinmobiliaria.com/,5.0,44.0,en
RE/MAX INSIGNIA,"G.C Las Palmas ES, C. Luis Doreste Silva, 17, local A, 35004 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 83 79 20,http://www.insignia.remax.es/,4.9,516.0,es
Cardenas Real Estate - Eiendomsmegler - Immobilien - Inmobiliaria,"C. la Lajilla, 5, Bajo, 35120 Arguineguín, Las Palmas, Spain",+34 928 15 06 50,https://www.cardenas-grancanaria.com/,4.9,441.0,es
Home Team Gran Canaria Real Estate Services,"35120, C. Damasco, 4, 35120 Arguineguín, Las Palmas, Spain",+34 637 77 73 50,http://www.hometeam.es/,4.8,36.0,en
Almar Real Estate Agency,"Calle Las Dalias, C.C, Local 133, 35100 Maspalomas, Las Palmas, Spain",+34 928 11 33 58,https://www.almarrealestateagency.com/,4.8,46.0,es
La Boutique · Canary Real Estate,"C. Gral. Bravo, 26, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 828 01 08 93,https://www.laboutiquecanary.com/,5.0,3.0,es
Marco Sparicio - Consulente Immobiliare Canarie,"C. Agustín Millares, 18, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 602 65 96 27,https://www.marcosparicio.com/,5.0,19.0,es
Krips Real Estate,"Av. de Italia, 4, 35100 Danubio, Las Palmas, Spain",+34 649 09 09 09,https://immo.krips.com/,4.7,46.0,en
Different Inmobiliaria,"Av. Primero de Mayo, 1, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 611 62 69 97,,4.7,17.0,es
Alejandro Castro Servicios Inmobiliarios,"C. Arena, 15, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 633 04 89 80,,5.0,26.0,es
Vegueta Homes,"C. Hernán Pérez de Grado, 24, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 600 89 26 86,http://www.veguetahomes.com/,5.0,1.0,en
Invexplanet,"C. Arena, 1, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 58 34 18,https://www.invexplanet.com/,4.3,18.0,es
Real Estate Agence By Johanna,,+34 622 05 86 87,http://realestateagence.com/,5.0,2.0,es
Yami Real Estate,"C. Gral. Bravo, 7, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 620 37 61 25,,1.0,1.0,es
Nordicway Real Estate Maspalomas,"Av. de Tejeda, 5, C.C RONDA, LOCAL A-23, 35100 Maspalomas, Las Palmas, Spain",+34 622 62 32 05,https://www.nordicway.es/,4.9,255.0,es
Canary Sale House,"C. Minerva, 29, 35014 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 638 86 89 77,https://canarysalehouse.es/,5.0,1.0,es
BBuyHome Asesores Inmobiliarios,"C. Francisco Gourié, 18, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 828 64 06 52,https://www.bbuyhome.com/,5.0,4.0,es
Gran Canaria Sun Properties,"C. Secundino Delgado, nº 7, Local, 35100 Maspalomas, Las Palmas, Spain",+34 828 64 05 26,http://www.propertiessun.com/,5.0,154.0,es
Realtor Canary Islands,"C. Carvajal, 17, 35004 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 692 88 69 87,https://relator-canary-islands.ueniweb.com/,5.0,1.0,es
AREA - ASSOCIATION OF REAL ESTATE AGENCIES (SOUTH GRAN CANARIA),"C/ el Escorial, 3, 35100 Maspalomas, Las Palmas, Spain",+34 649 92 59 52,http://areagc.com/,5.0,1.0,en
928 Realty,"aptos Flamboyan, C. las Margaritas, 10, 35100 San Bartolomé de Tirajana, Las Palmas, Spain",+34 675 86 21 29,https://www.928realty.com/,4.7,35.0,es
Dream Homes Gran Canaria,"Av. de Tirajana, 21, local 14, 35100 Maspalomas, Las Palmas, Spain",+34 928 22 00 22,https://www.century21.es/agencias/dreamhomes/,4.8,118.0,en
Promociones Teresme,"C. Juan de Quesada, 27, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 33 90 36,https://grupo-matyos.com/,5.0,4.0,es
Lightbooking,"C. Armas, 5, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 09 14 91,https://lightbooking.net/es/,3.1,23.0,en
AD Inmobiliaria,"Calle Dr. Juan de Padilla, 12, 1, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 628 17 30 91,http://www.adinmogestion.com/,4.0,4.0,es
Las Casas de José,"C. Reyes Católicos, 47, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 659 30 99 40,,5.0,1.0,es
santa anna inversiones,,+34 643 47 13 03,https://www.santaannainversiones.com/,,,es
Sven Wetterau | Real Estate Matchmaker | MIYABI Real Estate,"C. Armas, 5, 35003 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 12 13 77,https://grupomiyabi.com/about/,5.0,9.0,en
Reagence real estate agence,"centro comercial cita, Av. de Francia, 35100 Maspalomas, Las Palmas, Spain",+34 622 05 86 87,https://www.reagence.es/,,,es
Gran Canaria Home,"Bronze Playa, Av. de Italia, 18, 35100 Gran Canaria, Las Palmas, Spain",+34 928 76 08 17,http://www.grancanariahome.com/,4.2,53.0,en
IMS GROUP Vacacional,"C. San Bernardo, 8, piso 2, 35002, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 611 69 48 77,,4.4,21.0,es
Dunas Hotels And Resorts Oficinas Centrales,"Pje. Rafael Nebot Cabrera, 0, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 14 22 82,,3.0,2.0,es
Travieso 5,"C. Travieso, 5, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",,https://www.travieso5.com/,4.5,2.0,en
lba,,,http://www.labocana.com/,,,es
Inmobiliaria Sunrise,"C. Plácido Domingo, 12, Local 21, 35100 Maspalomas, Las Palmas, Spain",+34 928 76 95 74,http://www.maspalomassunrise.com/,4.8,199.0,es
InmoRQ,"Calle Dr. Nuez Aguilar, 17, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 654 93 04 56,,,,es
Equo Investment S L,"C. Padre José de Sosa, 1, 4º, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",+34 928 39 44 10,,1.0,1.0,es
