name,address,international_phone_number,url,rating,reviews_count
"Inmobiliaria Hogares en Leganés, La Fortuna","C. de San Felipe, 5, 28917 Leganés, Madrid, España",+34 648 49 86 06,https://www.hogaresgroup.es/localidad-compra/leganes/,5.0,12.0
INMOFOR,"C. de Fátima, 12, 28917 Leganés, Madrid, España",+34 916 10 74 20,http://www.inmofor.com/,4.5,29.0
Tecnocasa agencia inmobiliaria,"C. de Santo Domingo, 20, local, 28917 Leganés, Madrid, España",+34 910 40 63 86,https://leganes10.tecnocasa.es/,4.8,259.0
Hogar Ideal Inmobiliaria,"C. de Butarque, 5, 28911 Leganés, Madrid, España",+34 919 32 52 49,http://www.hogarideal.es/,4.7,92.0
Inmobiliaria Helena de Troya,,+34 623 02 87 15,https://www.inmohelenadetroya.com/,5.0,18.0
"N13 Inmobiliaria en Leganes | Esfuerzo, Calidad y Confianza","Av. de Fuenlabrada, 5, 28912 Leganés, Madrid, España",+34 916 94 21 02,https://www.n13inmobiliaria.es/,4.7,178.0
Inmobiliaria San Nicasio Redpiso,"C. Rio Duero, 16, 28913 Leganés, Madrid, España",+34 913 61 76 24,https://www.redpiso.es/oficina/inmobiliaria-leganes-san-nicasio/venta,4.8,112.0
Hogares Solagua,"Av. Juan XXIII, 6, 28918 Leganés, Madrid, España",+34 911 48 07 95,https://www.solagua.hogaresgroup.es/,4.9,48.0
Hogares Inmobiliaria - San Nicasio,"C. Río Urbión, 2, 28913 Leganés, Madrid, España",+34 608 58 19 68,https://www.sannicasio.hogaresgroup.es/,4.3,153.0
Inmobiliaria Leganés - Bancasa,"C. de la Fuente, 2, 28911 Leganés, Madrid, España",+34 915 06 29 26,http://www.bancasa.es/,4.6,147.0
Tecnocasa agencia inmobiliaria,"C. Rio Duero, 15, 28913 Leganés, Madrid, España",+34 916 80 80 91,https://leganes2.tecnocasa.es/,4.8,288.0
ASESORIA LEGAL INMOBILIARIA,"C. de San José, 28917 La Fortuna, Madrid, España",,,,
SIC Inmobiliaria de Leganés,"C. de Madrid, 17, 28912 Leganés, Madrid, España",+34 916 80 91 78,http://www.sicinmuebles.com/,5.0,33.0
UNIPISO,"C. de la Fuente, 1, 28911 Leganés, Madrid, España",+34 914 98 72 26,http://unipiso.es/,4.4,102.0
W FERRERO SL,"C. Río Manzanares, 23, 28913 Leganés, Madrid, España",+34 916 94 00 05,http://www.wferrero.com/,4.4,58.0
"Inmobiliaria Hogares en Leganés, Monegros","C. de los Monegros, 11, 28915 Leganés, Madrid, España",+34 648 49 86 06,https://www.leganesmonegros.hogaresgroup.es/,4.0,131.0
Viviendas 365 S.R.L.,"Avenida de, Av. Rey Juan Carlos I, 57, 28916 Leganés, Madrid, España",+34 910 32 75 66,http://www.viviendas365.com/,4.4,139.0
Agencia Inmobiliaria Casa Central,,+34 640 98 25 18,https://casacentral.es/,4.7,12.0
Agil Inmobiliaria,"C. Palomares, 1, 28911 Leganés, Madrid, España",+34 622 52 43 68,http://www.inmobiliariaagil.es/,4.5,57.0
Carmen 20 C.P.,"C. del Carmen, 20, 28917 La Fortuna, Madrid, España",+34 914 95 04 51,,3.0,1.0
"SOLUIN, Solución Integral Inmobiliaria",,+34 620 92 88 34,http://www.soluin.es/,4.7,11.0
INMOBILIARIA VENTA Y COMPRA DE CASAS EN LOS PUEBLOS DE ESPAÑA TU CASA EN EL PUEBLO,,+34 689 34 45 44,https://tucasaenelpueblo.com/,5.0,11.0
inmoversion Inmobiliaria Madrid,,+34 600 99 65 50,http://www.inmoversion.es/,4.8,103.0
Inmobiliaria La Casa Agency en Madrid - Vista Alegre,"C. de Matilde Hernández, 98, Carabanchel, 28025 Madrid, España",+34 910 60 81 87,https://www.lacasa.net/inmobiliarias/102-inmored-vista-alegre-s-l,4.9,317.0
Virginia Vaquerizas Veintidós inmobiliaria,,+34 638 92 89 10,https://veintidosinmobiliaria.es/,5.0,1.0
Futurhome,"C. de el Sol, 12, 28912 Leganés, Madrid, España",+34 916 94 10 94,http://www.futurhome.es/,3.6,48.0
"La Casa Agency | Vistabonita Real Estate, S.L.","Av. de Ntra. Sra. de Fátima, 13, Carabanchel, 28047 Madrid, España",+34 910 60 97 76,https://www.lacasa.net/inmobiliarias/127-vistabonita-real-estate-s-l,5.0,573.0
Tecnocasa agencia inmobiliaria,"Av. Rey Juan Carlos I, 114, l9-10, 28916 Leganés, Madrid, España",+34 912 95 68 88,https://leganes5.tecnocasa.es/,4.7,191.0
"Agencia Inmobiliaria en La Latina, Madrid | La Casa Agency","C. de Toledo, 101, Centro, 28005 Madrid, España",+34 910 22 07 99,https://www.lacasa.net/inmobiliarias/21-inmored-continental-s-l,4.9,1151.0
Agencia Inmobiliaria - NOVAHOME - Embajadores La Latina,"C. de Embajadores, 2, Centro, 28012 Madrid, España",+34 917 95 98 61,http://www.novahomesl.com/,4.7,229.0
Inmobiliaria Look & Find Pacífico,"C. del Dr. Esquerdo, 172, Retiro, 28007 Madrid, España",+34 912 21 41 00,https://www.lookandfind.es/pacifico,4.8,212.0
"Agencia Inmobiliaria en Antón Martín-Huertas-Cortes, Madrid | La Casa Agency","C. de Atocha, 53, Centro, 28012 Madrid, España",+34 602 22 00 33,https://www.lacasa.net/inmobiliarias/120-inmored-las-cortes-s-l,4.9,619.0
Mentor,"C. de Braganza, 4, 28917 Leganés, Madrid, España",+34 886 34 84 22,http://mentoronline.es/,3.0,1.0
C.R. HOMES INMOBILIARIA GETAFE,"Av. España, 13, 28903 Getafe, Madrid, España",+34 910 32 91 37,http://www.crhomes.es/,4.2,120.0
Inmobiliaria Vivienda Madrid - Oficina de Getafe - Juan de la Cierva.,"Av. España, 47, 28903 Getafe, Madrid, España",+34 910 00 61 08,https://www.viviendamadrid.com/oficina/getafe-juan-de-la-cierva,4.9,87.0
LF Getafe Inmobiliaria.,"C. Madrid, 96, 28902 Getafe, Madrid, España",+34 916 81 34 98,,4.7,200.0
Soluziona Inmobiliaria en Getafe,"C. de la Magdalena, 30, 28901 Getafe, Madrid, España",+34 917 37 70 03,https://www.soluzionainmobiliaria.es/,5.0,228.0
Phyo Agencia Inmobiliaria,"Av. de los Ángeles, 10, 28903 Getafe, Madrid, España",+34 912 81 78 26,http://www.phyoai.com/,4.9,75.0
Oh!key Getafe Servicios Inmobiliarios,"Av. General Palacio, 5, 28901 Getafe, Madrid, España",+34 916 81 56 23,http://www.ohkeypropiedad.es/,4.9,178.0
Luna Inmobiliaria,"C. Luna, 4, 28901 Getafe, Madrid, España",+34 916 82 60 00,http://www.lunainmo.es/,4.7,227.0
InHouse Servicios Inmobiliarios,"Av. General Palacio, 14, 28902 Getafe, Madrid, España",+34 911 27 96 24,http://www.inhousemadrid.es/,4.9,156.0
GREY HOME SERVICIOS INMOBILIARIOS,"Calle Felipe Estevez, 16, 28901 Getafe, Madrid, España",+34 640 32 23 61,http://www.greyhomeserviciosinmobiliarios.es/,5.0,276.0
Iberpisos Inmobiliaria Getafe,"C. Madrid, 97, 28902 Getafe, Madrid, España",+34 919 40 50 08,http://www.iberpisos.net/,4.5,40.0
Inmobiliaria Getafe - Juan de la Cierva Redpiso,"Av. Juan de la Cierva, 35, 28901 Getafe, Madrid, España",+34 916 82 90 93,http://www.redpiso.es/oficina/estudio_getafe,4.8,143.0
HERGON Consulting Inmobiliario,"C. Gálvez, Nº 2, 28902 Getafe, Madrid, España",+34 910 27 24 30,http://www.hergongetafe.com/,5.0,295.0
Inmobiliaria Joyca,"C. Ricardo de la Vega, 8, 28901 Getafe, Madrid, España",+34 600 57 14 94,https://inmobiliariajoyca.es/,4.9,55.0
DB Servicios Inmobiliarios Getafe,"C. Madrid, 76, 28902 Getafe, Madrid, España",+34 605 71 95 56,https://www.dbserviciosinmobiliarios.es/,4.8,47.0
Inmobiliaria en Getafe | Tizona Grupo Inmobiliario,"C. San José de Calasanz, 43, Local, 28902 Getafe, Madrid, España",+34 910 27 43 77,https://grupotizona.es/?utm_source=google&utm_medium=maps&utm_campaign=seolocal&utm_content=callesanjosedecalasanzgetafe,4.1,107.0
Yourhabitat,"Av. Mariano Moreno el Musico, 6, 28907 Getafe, Madrid, España",+34 910 74 13 41,http://www.yourhabitat.es/,4.8,110.0
Cien por cien Home Red Inmobiliaria Getafe,"Av. Juan de la Cierva, 30, 28902 Getafe, Madrid, España",+34 916 96 79 59,http://www.cienporcienhome.com/,4.2,55.0
Tecnocasa agencia inmobiliaria,"C. Valencia, 14, 28903 Getafe, Madrid, España",+34 916 83 04 34,https://getafe1.tecnocasa.es/,4.9,424.0
Inmobiliaria Getafe Centro Redpiso,"C. Madrid, 115, 28902 Getafe, Madrid, España",+34 910 14 48 33,https://www.redpiso.es/oficina/inmobiliaria-getafe-centro/venta,4.2,77.0
Casanova Home Getafe,"C. Terradas, 1, 28904 Getafe, Madrid, España",+34 690 78 56 55,https://www.casanovahome.es/,4.9,39.0
Adaix Getafe,"Av. Juan de la Cierva, 55, 28902 Getafe, Madrid, España",+34 601 45 68 26,https://getafe.adaix.com/,5.0,30.0
Inmobiliaria Getafe Norte Los Molinos Redpiso,"Av. del Ingenioso HiIdalgo, 3, 28906 Getafe, Madrid, España",+34 910 44 10 48,https://www.redpiso.es/oficina/inmobiliaria-getafe-norte-los-molinos/venta,4.8,333.0
J. MARTIN SERVICIOS INMOBILIARIOS Y FINANCIEROS,"C. Polvoranca, 9-B, 28901 Getafe, Madrid, España",+34 910 26 87 31,http://www.inmobiliariajmartin.com/,4.8,51.0
Vgm Asesores Inmobiliarios S.L.,"C. Madrid, 52, 28901 Getafe, Madrid, España",+34 916 95 06 28,http://www.vgminmobiliaria.es/,4.9,89.0
Inmobiliaria Getafe El Bercial y Kelvinator Redpiso,"Av. La Paz, (Esq, C. Alcalde Jesús Prieto, 28907 Getafe, Madrid, España",+34 910 27 14 90,https://www.redpiso.es/oficina/inmobiliaria-getafe-el-bercial-y-kelvinator/venta,4.8,54.0
Omega Homes Real Estate,"C. Madrid, 65, 2º CENTRO, 28902 Getafe, Madrid, España",+34 620 82 74 72,https://www.omegahomesrealestate.es/,4.8,77.0
Inmobiliaria Getafe Alhóndiga Redpiso,"C. Faisan, 1, 28904 Getafe, Madrid, España",+34 919 91 05 09,https://www.redpiso.es/oficina/inmobiliaria-getafe/venta,4.8,70.0
CENTURY 21 Now IV - Getafe,"Pl. de las Carretas, 4, 28901 Getafe, Madrid, España",+34 911 08 11 52,https://www.century21.es/agencias/now4/,4.8,162.0
Toledo21 - SomosTuInmobiliaria - Getafe,"C. Toledo, 21, 28901 Getafe, Madrid, España",+34 916 95 84 22,,4.1,83.0
Inmobiliaria Getafe San Isidro Redpiso,"C. Toledo, 9, 28901 Getafe, Madrid, España",+34 919 20 76 44,https://www.redpiso.es/oficina/inmobiliaria-getafe-san-isidro/venta,4.7,67.0
COMO VENDER MI PISO INMOBILIARIA SL,"C. Pilar Soler, 11, Local 4, 28907 Getafe, Madrid, España",+34 910 84 81 15,https://www.mipisoinmobiliaria.es/,4.7,45.0
Inmo Madrid González,"C. Valencia, 28903 Getafe, Madrid, España",+34 641 45 29 61,https://inmomadridgonzalez.wordpress.com/,5.0,7.0
TECNOCASA GETAFE NORTE,"Av. Rigoberta Menchú, 13, 28903 Getafe, Madrid, España",+34 911 52 96 40,https://getafe3.tecnocasa.es/,4.4,89.0
Tecnocasa agencia inmobiliaria,"Av. Aragón, 25, 28903 Getafe, Madrid, España",+34 914 56 82 74,https://getafe7.tecnocasa.es/,4.8,159.0
Inmobiliaria Manzano,"C. San Eugenio, 7, 28901 Getafe, Madrid, España",+34 916 81 49 37,http://pisos.com/,4.7,12.0
Pluralis Inmobiliaria,"C. Escuelas Pias, 1, 28901 Getafe, Madrid, España",+34 685 93 86 09,https://www.pluralisinmobiliaria.es/,2.8,13.0
Grupo Casa 10,"Av. de las Ciudades, 52, 28903 Getafe, Madrid, España",+34 625 36 85 20,http://www.grupocasa10.es/,4.9,18.0
Tecnocasa agencia inmobiliaria,"C. Madrid, 113, 28902 Getafe, Madrid, España",+34 916 83 81 46,https://getafe9.tecnocasa.es/,4.8,108.0
Tecnocasa agencia inmobiliaria,"Av. de las Ciudades, 16, 28903 Getafe, Madrid, España",+34 916 01 69 12,https://getafe2.tecnocasa.es/,4.1,62.0
Habiges,"C. Valencia, 8, 28903 Getafe, Madrid, España",+34 916 83 37 38,,3.5,8.0
Solvia Inmobiliaria,"Av. Juan de la Cierva, 27, 28901 Getafe, Madrid, España",+34 919 22 56 68,http://www.solvia.es/,3.6,95.0
Inmobiliaria Getafe Sector 3 Redpiso,"Av. Juan Carlos I, 1, Local 37, 28905 Getafe, Madrid, España",+34 910 29 39 82,https://www.redpiso.es/oficina/inmobiliaria-getafe-sector-3/venta,4.3,81.0
SAMBAL INMOBILIARIA,"C. Barco, 4, 28906 Getafe, Madrid, España",+34 669 73 33 03,http://sambalinmobiliaria.com/,4.8,23.0
Tecnocasa agencia inmobiliaria,"C. Venezuela, 2, local 3, 28907 Getafe, Madrid, España",+34 910 44 29 20,https://getafe11.tecnocasa.es/,5.0,95.0
Tecnocasa agencia inmobiliaria,"C. Jardines, 13, local bajo, 28901 Getafe, Madrid, España",+34 916 81 34 63,https://getafe8.tecnocasa.es/,4.4,85.0
Tecnocasa agencia inmobiliaria,"C. Toledo, 36, local b-4, 28901 Getafe, Madrid, España",+34 912 12 35 95,https://getafe10.tecnocasa.es/,4.2,49.0
Diorohome Intermediación Inmobiliaria,"C. Polvoranca, 28901 Getafe, Madrid, España",+34 623 12 24 46,,4.0,4.0
Inmobiliaria MGI,"Av. de los Ángeles, 57, 28903 Getafe, Madrid, España",+34 604 88 65 35,,1.0,1.0
zaragozaymero,"C. Castellón de la Plana, 21, 28903 Getafe, Madrid, España",+34 652 89 22 02,,,
Europromocion De Viviendas,"C. Maruja Torres, 5, 28903 Getafe, Madrid, España",+34 916 83 77 70,,5.0,1.0
