name,address,international_phone_number,url,rating,reviews_count
Arias Martín Inmobiliaria en Salamanca,"C. Condes de Crespo Rascón, 2, 37002 Salamanca, España",+34 923 04 31 00,http://www.inmoariasmartin.com/,5.0,113
Inmobiliaria Salamanca,"C. Alfonso de Castro, 13, 37005 Salamanca, España",+34 923 60 00 01,http://www.inmobiliariassalamanca.es/,4.8,313
Inmobiliaria Hernández Bueno en Salamanca,"C. del Prior, 16, 37002 Salamanca, España",+34 923 21 42 24,http://www.inmobiliariahernandezbueno.com/,4.9,224
Inmobiliaria Garla,"C. Toro, 78 - Entreplanta, Oficina 4, 37002 Salamanca, España",+34 923 01 71 55,http://www.inmogarla.com/,4.9,100
Ingesurb Inmobiliaria,"C. Condes de Crespo Rascón, 38, 37002 Salamanca, España",+34 923 61 64 64,http://www.ingesurb.es/,4.9,137
Solucion Inmobiliaria,"P.º del Dr. Torres Villarroel, 13, 37006 Salamanca, España",+34 923 12 54 89,http://www.solucioninmobiliaria.es/,4.2,431
Inmobiliaria Gesticasa,"C. Isidro Segovia, 2, 37007 Salamanca, España",+34 923 26 50 90,http://www.inmobiliariagesticasa.com/,4.7,99
Inmobiliaria Don Piso Salamanca,"P.º de la Estación, 22, 37004 Salamanca, España",+34 923 61 86 18,http://www.donpiso.com/,4.9,212
Una y Mil Servicios Inmobiliarios,"Calle de los Ovalle, calle, 17, 37004 Salamanca, España",+34 923 14 71 97,http://www.inmobiliariaunaymil.com/,4.9,74
DJ Santos Inmobiliaria,"C. María Auxiliadora, 54, 37004 Salamanca, España",+34 923 28 36 00,http://www.djsantos.es/,4.6,342
Victoria Gómez Servicios Inmobiliarios,,+34 688 78 36 63,http://www.victoria-gomez.es/,4.9,75
Look & Find-Salamanca-,"P.º de la Estación, 35, 37004 Salamanca, España",+34 923 12 36 90,http://salamanca.lookandfind.es/,4.7,144
INMONOVA Salamanca,"Av. de Alfonso VI, 15, 37005 Salamanca, España",+34 923 60 34 74,http://www.grupoinmonova.com/,4.5,284
Vía de la Plata Inmobiliaria,"Paseo de la Estación, 68, Bajo 2, 37004 Salamanca, España",+34 923 61 06 67,https://viadelaplatainmobiliaria.com/,4.7,142
El Búho Inmobiliaria Salamanca,"Calle Bermejeros, 25, 37001 Salamanca, España",+34 923 28 13 23,http://www.inmobiliaria-elbuho.com/,4.3,219
Inmobiliaria Future,"Cta. del Carmen, 21, bajo derecha, 37002 Salamanca, España",+34 923 17 72 07,http://www.inmobiliariafuture.es/,4.6,83
Cylar Gestión Inmobiliaria,"C. Toro, 23, Oficina 2º A, 37002 Salamanca, España",+34 923 32 65 73,http://www.cylarinmobiliaria.com/,4.9,58
Inmobiliaria Santamaría,"C. José Jáuregui, 15, 37002 Salamanca, España",+34 923 28 20 04,http://www.inmobiliariasantamaria.es/,4.4,90
El Taller Inmobiliario,"C. Valencia, 48, 37005 Salamanca, España",+34 648 95 19 26,https://eltallerinmobiliario.es/,4.8,102
Soho Inmobiliaria,"Pl. Libertad, 15, 37002 Salamanca, España",+34 611 64 61 12,http://www.sohoinmobiliaria.com/,4.6,61
De Castro Gil Inmobiliaria,"Gran Vía, 57, 37001 Salamanca, España",+34 923 26 68 34,http://inmobiliariasdesalamanca.es/,4.0,177
Inmobiliaria Solución Urbana,"Av. de Villamayor, 34, 37007 Salamanca, España",+34 615 91 61 98,https://inmobiliariasolucionurbana.com/,4.5,53
NOVOCASA SALAMANCA,"Calle Rodríguez Fabrés, 23 - ofi 2, 37005 Salamanca, España",+34 655 92 03 31,https://www.idealista.com/pro/novocasa-salmanca/,4.9,43
Urbis Gestión Inmobiliaria en Salamanca,"Gran Vía, 56, 37001 Salamanca, España",+34 923 04 91 05,http://www.urbisfactory.es/,4.3,273
Coco Lastra Asesora Inmobiliaria S.L.,"C. San Pablo, 5, 37001 Salamanca, España",+34 923 15 67 87,http://cocolastra.es/,4.8,33
Campillo Inmobiliaria,"C. Sánchez Llevot, 1, OFI 16 ENTREPLANTA, 37005 Salamanca, España",+34 622 18 07 45,http://www.campillo4.com/,4.7,37
𝗜𝗡𝗧𝗥𝗔 𝙇𝙀𝙂𝘼𝙇 𝙄𝙣𝙢𝙤𝙗𝙞𝙡𝙞𝙖𝙧𝙞𝙖,"Av. de Filiberto Villalobos, 55, 37007 Salamanca, España",+34 923 62 16 02,https://www.intralegalinmobiliaria.es/,4.4,44
InmoClip,"Calle Bermejeros, 34, 37001 Salamanca, España",+34 675 54 15 81,https://inmoclip.com/,4.8,54
Casa Club Consultores Inmobiliarios,"P.º de Carmelitas, 39, 37002 Salamanca, España",+34 680 29 87 91,https://www.casaclubinmobiliaria.com/,4.8,44
Yugueros Inmobiliaria by eXp,"P.º de Canalejas, 6, 1ºiz of 2, 37001 Salamanca, España",+34 638 91 79 66,https://joseantonioyugueros.exp-spain.com/,5.0,13
Fincas Juan Inmobiliaria,"Gran Vía, 1, Bajo, 37001 Salamanca, España",+34 923 26 45 49,https://www.fincasjuan.com/,4.9,33
