,name,address,international_phone_number,url,rating,reviews_count
0,Ciudad Inmobiliaria Sanlúcar de Barrameda,"Av. Quinto Centenario, 113, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 691 89 02 38,http://www.ciudadinmobiliaria.es/,4.9,419
1,Inmobiliaria Multialgaida - Sanlúcar de Barrameda,"C. Pregonero Tomás Díaz Prieto, 6, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 856 52 35 83,http://www.multialgaida.com/,4.9,199
2,INMOBILIARIA GL,"C. Ancha, 67, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 677 85 23 89,http://www.glinmobiliaria.es/,5.0,113
3,Inmobiliaria Sanlúcar de Barrameda Redpiso,"C. Infanta Beatriz, 9, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 619 48 88 47,https://www.redpiso.es/oficina/inmobiliaria-cadiz-sanlucar-de-barrameda/venta,4.6,247
4,Real Estate Faro,"Edf. Marina, C. Hermano Fermín, 5 - Local Nº 7, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 956 36 43 09,http://www.faroreal.com/,4.4,146
5,PORTA Inmobiliaria,"C. Pregonero Tomás Díaz Prieto, 1, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 956 11 60 10,http://www.inmobiliariaporta.com/,4.8,96
6,Gestión 10 Inmobiliaria en Sanlúcar de Barrameda,"Avenida V centenario Edf Godoy Local 2, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 956 38 55 82,https://inmogestion10.com/,4.7,70
7,INMOBILIARIA BARRAMEDA,"C. Barrameda, 27, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 856 56 93 36,https://www.inmobiliariabarrameda.es/,4.6,48
8,MH agencia Inmobiliaria,"Edificio V Centenario calle Hermano Fermín, C. Manuel de Diego Lora, esquina, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 956 38 51 01,http://www.mhsanlucarinmobiliaria.es/,4.7,167
9,INMOBILIARIA TALITOS,"C. Nao Concepción, 4, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 637 82 16 57,http://www.inmobiliariatalitos.es/,4.8,27
10,Inmobiliaria en Sanlúcar | Carmen Barriga,"C. Calz. de la Pescadería, 1A, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 856 56 03 00,http://www.inmobiliariacarmenbarriga.com/index.php,4.5,22
11,Renovatia Real Estate,"C. San Juan, 72, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 956 10 97 45,,4.7,51
12,Mota Morgado inmobiliaria,"C. Pregonero Tomás Díaz Prieto, 9, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 956 92 60 32,http://www.motamorgado.es/,4.4,80
13,INMOBYLIARE,"C. Bolsa, 35, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 956 36 80 84,http://www.inmobyliare.com/,4.3,24
14,Viviendas Costa de la Luz,"Pl. de San Roque, 4, 11540 Sanlúcar de Barrameda, Cádiz, Spain",,https://www.viviendascostadelaluz.com/,4.7,44
15,Turdetania Inmobiliaria en Sanlúcar de Barrameda,"C. Carril San Diego, 9, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 956 10 03 66,http://www.turdetaniainmobiliaria.com/,4.1,17
16,Habitanet,"C. Mar, 19, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 645 62 42 72,https://www.habitanet.es/,5.0,11
17,RM Asesores Inmobiliarios,"C. Castelar, 2, local 6, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 856 94 25 59,http://www.inmobiliariarm.com/,5.0,32
18,Agencia Inmobiliaria Marezur,"C. Santo Domingo, 100, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 644 54 44 46,https://www.marezur.es/,4.3,23
19,Tecnocasa agencia inmobiliaria,"C. Infanta Beatriz, 22, local, 11540 Sanlúcar de Barrameda, Cádiz, Spain",+34 611 79 34 19,https://sanlucardebarrameda2.tecnocasa.es/,5.0,33
