name,address,international_phone_number,url,rating,reviews_count
Inmobiliaria Engel & Völkers Costa Adeje,"Terrazas del Duque, Av. de Bruselas, 18, Local 11, 38679 Costa Adeje, Santa Cruz de Tenerife, España",+34 922 71 95 73,https://www.engelvoelkers.com/es/en/shops/costa-adeje,4.7,138
Elba Invest Inmobiliaria,"Pl. de la Cruz del Llano, 59, 38670 Adeje, Santa Cruz de Tenerife, España",+34 609 26 41 94,http://www.elbainvest.com/,4.9,176
Nous Property Agencia Inmobiliaria y Consultoria S.L.,"Aqua Mall, Av. de Moscú, n° 29, local 28 C.C, 38679 Costa Adeje, Santa Cruz de Tenerife, España",+34 922 71 65 31,http://www.nousproperty.com/,4.7,28
VipKel inmobiliaria,"Av. de Moscú, 29, C.C Aquamall, local 7A, 38679 Costa Adeje, Santa Cruz de Tenerife, España",+34 881 08 12 86,https://inmovipkel.com/,5.0,23
Top Immo Teneriffa | Immobilien Teneriffa,"C. Roques del Salmor, 38679 Costa Adeje, Santa Cruz de Tenerife, España",+34 683 55 33 96,https://topimmoteneriffa.com/de/?utm_source=google&utm_medium=gmb&utm_campaign=ti,4.9,63
Tu Nido Tenerife - Real Estate Agency,"C. el Sauce, 9, local 3, 38670 Costa Adeje, Santa Cruz de Tenerife, España",+34 922 71 38 83,https://www.tunidotenerife.com/,5.0,28
Vera Realty Tenerife,"C. Tinerfe el Grande, 13, Local 2, 38670 Adeje, Santa Cruz de Tenerife, España",+34 656 58 42 15,http://verarealtytenerife.es/,4.8,60
DOM Tenerife,"Av. Kurt Konrad Mayer, 63, 38670 Costa Adeje, Santa Cruz de Tenerife, España",+34 922 08 91 99,http://www.domtenerife.es/,4.6,212
Inmoisland Adeje Rental and Sales,"Av. de Ayyo, 73, bajo 9, 38670 Adeje, Santa Cruz de Tenerife, España",+34 634 08 21 27,http://www.inmoisland.com/,4.8,23
Hiper Inmobiliaria,"C.C. Hiper Trébol, Local 1, 38670 Adeje, Santa Cruz de Tenerife, España",+34 922 78 02 50,http://www.hiperinmobiliaria.com/,4.1,41
Tecnocasa agencia inmobiliaria,"Av. de la Constitución, Local 2, 38670 Adeje, Santa Cruz de Tenerife, España",+34 922 78 15 93,https://adeje1.tecnocasa.es/,4.9,95
Asten Realty®,"Av. de Bruselas, 18, 38670 Adeje, Santa Cruz de Tenerife, España",+34 922 78 91 96,http://www.astenrealty.com/,4.7,150
Bahia Tenerife Inmobiliaria,"de Ten, Av. de Colón, 5, Centro Comercial AguaMarina Local 14, 38660 Costa Adeje, Santa Cruz de Tenerife, España",+34 664 86 84 68,https://www.bahiatenerife.com/,5.0,29
Agencia Inmobiliaria en Adeje - TROPICAL COUNTRY HOUSE,"C. Tagara, Número 4, Local 8, 38670 Adeje, Santa Cruz de Tenerife, España",,http://www.tropicalcountryhouse.com/,4.3,15
Sotiven,"C. Grande, 12, 38670 Adeje, Santa Cruz de Tenerife, España",+34 922 71 08 80,http://www.sotiven.com/,4.6,92
GS Services,"CC Ferrari Business Center, C. El Brezo, 5, Local 6, 38679 Costa Adeje, Santa Cruz de Tenerife, España",+34 641 96 33 72,https://gsservices.es/,4.7,32
La Finca Properties - Tu Inmobiliaria en Adeje,"Av. de la Constitución, 1, local 2, 38670 Adeje, Santa Cruz de Tenerife, España",+34 922 78 04 28,https://www.idealista.com/pro/la-finca-properties/venta-viviendas/,4.0,31
Cala Homes | Tenerife Real Estate,"Ferrari Design Center, C. Charfa, 24, Local 3, 38679 Costa Adeje, Santa Cruz de Tenerife, España",+34 628 72 19 94,https://www.calahomes.es/,5.0,16
Immo Tenerife Propiedades,"C. Galicia, 34, 38660 Costa Adeje, Santa Cruz de Tenerife, España",+34 629 51 81 25,http://immotenerifeproperties.com/,5.0,32
4Life Properties Tenerife,"Yucca Park Aparthotel, 38660 Adeje, Santa Cruz de Tenerife, España",+34 604 18 86 01,http://www.4lifeproperties.com/,4.9,56
Seniorbel inmobiliaria,"C. los Alfarroberos, 2, Local Nº 16, 38670 Adeje, Santa Cruz de Tenerife, España",+34 922 77 51 60,https://www.seniorbel.com/,5.0,4
LA CENTRAL ADEJE,"C. Tegueste, 2, local 5, 38670 Adeje, Santa Cruz de Tenerife, España",+34 922 77 56 97,http://la-central-adeje.com/,4.5,11
Castle properties,"C. el Beril, Local 1, 38679 Costa Adeje, Santa Cruz de Tenerife, España",+34 922 71 84 25,http://www.castleproperties.es/,4.8,14
Second Home Tenerife (La Caleta),"Avenida de Las Gaviotas, C.C Hotel Jardín Caleta, local 1, 38679 La Caleta, Santa Cruz de Tenerife, España",+34 648 25 08 83,http://www.secondhometenerife.com/,4.8,36
MV Immobilier,"Centro Comercial Plaza del Duque, C. Londres, 20, local B27-B28, 38660 Costa Adeje, Santa Cruz de Tenerife, España",+34 634 37 87 32,https://mvimmobilier.com/,5.0,92
