name,address,international_phone_number,url,rating,reviews_count
Servicios Inmobiliarios Gil Morla,"C. Canalejas, 26, 29700 Vélez-Málaga, Málaga, España",+34 952 55 89 16,http://www.gilmorla.com/,4.6,291.0
IMF GESTIÓN DE INMUEBLES,"C. de Arroyo Hondo, 43, C, 29700 Vélez-Málaga, Málaga, España",+34 952 55 83 98,https://www.imfinmuebles.com/,4.9,240.0
CASAREAL INMOBILIARIA,"Casareal Inmobiliaria Avda. Carlos III, Ed, C. Alfonso XII, 7, 29700 Vélez-Málaga, Málaga, España",+34 952 50 24 90,http://casarealinmobiliaria.es/,4.6,67.0
Inmobiliaria Delgado Torres,"Calle Adeodato Altamirano, 19, BAJO LOCAL, 29700 Vélez-Málaga, Málaga, España",+34 641 46 29 91,https://www.inmobiliariadelgadotorres.es/,5.0,165.0
CHECA HOMES,"C. Cam. de Málaga, 29, 29700 Vélez-Málaga, Málaga, España",+34 952 50 24 66,https://checahomes.es/,4.9,172.0
Carina Barraza Consultora Inmobiliaria,,+34 681 15 48 15,http://www.carinabarraza.com/,4.9,66.0
"Ruiz & Singl inmobiliaria, S.L.","C. Alfredo Krauss, 32, Local 1, 29700 Vélez-Málaga, Málaga, España",+34 951 07 41 30,http://www.rsinmo.es/,4.9,38.0
Inmobiliaria M&G,"Pl. de San Roque, 14, 29700 Vélez-Málaga, Málaga, España",+34 653 90 86 88,http://www.inmobiliariamyg.es/,4.7,30.0
Casa Axarquía Gestión Inmobiliaria,"C. Canalejas, 7, 29700 Vélez-Málaga, Málaga, España",+34 665 44 80 18,https://www.casaaxarquia.es/,4.8,50.0
Daniel delgado Inmobiliaria,,+34 630 38 38 92,,4.9,30.0
Mambo inmobiliaria,"Pl. Carmelitas, 5, 4ºA, 29700 Vélez-Málaga, Málaga, España",+34 644 60 19 99,https://mamboinmobiliaria.com/,5.0,36.0
Tecnocasa agencia inmobiliaria,"C. Cam. Viejo de Malaga, 14, f, 29700 Vélez-Málaga, Málaga, España",+34 951 62 59 37,https://www.velez-malaga1.tecnocasa.es/velezmalaga/zona-hispanidad-vivar-y-tellez/,4.8,85.0
Inmobiliaria Carlos Checa Ventas y Alquileres - 1,"C. Azucarera, 10, 29740 Vélez-Málaga, Málaga, España",+34 606 50 57 88,http://www.carloschecaventasyalquileres.es/,4.7,127.0
Alba Inmobiliaria,"C. Cristo, 61, 29700 Vélez-Málaga, Málaga, España",+34 619 21 09 59,https://www.alba-inmobiliaria.com/,4.0,8.0
Residencial Los Olivos (Oficina de Ventas),"Av. de las Naciones, 16, 29700 Vélez-Málaga, Málaga, España",+34 662 08 81 31,http://www.velezlosolivos.com/,4.1,17.0
Tecnocasa agencia inmobiliaria,"C. Canalejas, 6, local, 29700 Vélez-Málaga, Málaga, España",+34 951 43 16 83,https://velezmalaga1.tecnocasa.es/,4.5,71.0
Grupo Ríos,"Camino Viejo De Málaga, Conjunto Don Lucio, Nº37, 29700 Vélez-Málaga, Málaga, España",+34 951 54 66 39,,5.0,7.0
Inmobiliaria Olmos,"C. Magallanes, 1, 29700 Vélez-Málaga, Málaga, España",+34 675 85 68 50,https://www.olmosinmobiliaria.es/,3.8,8.0
Carlos Cascales Gestión Inmobiliaria,"Calle Juan Pablo II, 29700 Vélez-Málaga, Málaga, España",+34 665 61 79 16,https://carloscascales.com/,5.0,17.0
TU HOGAR INMUEBLES,"Calle del Rio, 3, 29700 Vélez-Málaga, Málaga, España",+34 674 36 09 89,http://tuhogarinmuebles.es/,3.9,7.0
JMP servicios inmobiliarios,"nº, C. Cam. de Málaga, 25, 29700 Vélez-Málaga, Málaga, España",+34 952 55 80 70,http://www.jmartinportillo.com/,3.6,7.0
Tu Futuro Asesoria Inmobiliaria,,+34 677 13 26 25,https://www.asesoriatufuturo.es/,5.0,17.0
Inmobiliaria Interesa,"C. Canalejas, 42, 29700 Vélez-Málaga, Málaga, España",+34 686 93 85 97,,4.0,5.0
Bonilla Homes,"Av. la Hispanidad, 14, Local A, 29700 Vélez-Málaga, Málaga, España",+34 656 48 76 01,https://www.bonillahomes.es/,5.0,9.0
Inter-Piso Gestión Inmobiliaria S.L.,"C. Hermanos Pinzón, 29700 Vélez-Málaga, Málaga, España",+34 603 20 98 32,http://www.inter-piso.com/,5.0,1.0
"Servicios Inmobiliarios Vaquero, S.L.","C. Cam. de Remanente, 18, 1ºC, 29700 Vélez-Málaga, Málaga, España",+34 952 50 39 74,http://inmobiliariavaquero.com/,2.7,3.0
Inmobiliaria Urgeventa,,+34 605 28 70 75,,5.0,1.0
Fincas Expósito,,+34 627 19 23 44,http://fincasexposito.es/,4.2,33.0
ANCOR Gestión Inmobiliaria,"C. Juan Lisbona Zapata, 29700 Vélez-Málaga, Málaga, España",+34 644 98 74 00,https://www.ancorhomes.com/,,
Trisquel Inmuebles,"C. Reñidero, 24, 29700 Vélez-Málaga, Málaga, España",+34 606 38 66 31,,2.0,4.0
Marinsa Promociones Inmobiliarias,"C. de Arroyo Hondo, 18, Vélez-Málaga, Málaga, España",+34 952 54 18 00,https://marinsapromociones.com/,2.3,3.0
Inmobiliaria JMDG,"C. Pancho López, 6, 29700 Vélez-Málaga, Málaga, España",+34 651 03 51 31,,5.0,4.0
Inmobiliaria de La Axarquía,"Av. Vivar Téllez, 81, 29700 Vélez-Málaga, Málaga, España",+34 605 28 70 75,,5.0,2.0
Andalusie Nemovitosti,"C. Alcalde Manuel Reyna, 6, 29700 Vélez-Málaga, Málaga, España",+34 680 65 67 14,,3.0,6.0
Inmobiliaria Alcoba Otón,"C. Cristo, 1, 29700 Vélez-Málaga, Málaga, España",+34 600 55 90 44,,,
Promociones El Higueral SA,"C. 3 de Abril, 23, 29700 Vélez-Málaga, Málaga, España",+34 952 50 14 75,,1.0,1.0
CHECA HOMES,"C. Saladero Viejo, 3, bajo B, 29740 Torre del Mar, Málaga, España",+34 952 96 56 08,https://checahomes.es/,4.8,414.0
Fincas rústicas Andalucía,"Av. Vivar Téllez, 81, 29700 Vélez-Málaga, Málaga, España",+34 605 28 70 75,,4.8,4.0
Inmobiliaria Aridel Home,"C. Pancho López, 6, 29700 Vélez-Málaga, Málaga, España",+34 651 03 51 31,https://www.aridelhome.com/,,
Andalucia4you I Estate Agency I Makelaars,"Av. de Andalucía, 125, 29751 Caleta de Vélez, Málaga, España",+34 952 72 08 32,https://www.andalucia4you.net/,4.7,14.0
Inmobiliaria Gómez Rojas en Torre del Mar,,+34 624 08 66 26,https://www.gomezrojas.com/,5.0,6.0
M5 Inmobiliaria | Inmobiliaria en Torre del Mar,"C. Azucena, Local 4, 29740 Torre del Mar, Málaga, España",+34 951 32 30 90,http://www.m5inmobiliaria.es/,4.9,177.0
Inmobiliaria Urgeventa,"C. Reñidero, 5, 4º I, 29700 Vélez-Málaga, Málaga, España",+34 605 28 70 75,,,
Olivos Andalucía,"29700 Vélez-Málaga, Málaga, España",+34 605 28 70 75,,5.0,1.0
J.Todoso,"C. Igualada, Vélez-Málaga, Málaga, España",,,3.0,1.0
Romar Home - Inmobiliaria Torre del Mar,"Av. de Andalucía, 46, 29740 Torre del Mar, Málaga, España",+34 649 02 03 37,https://www.romarhome.com/,4.9,318.0
Venta O Alquiler,"C. Prta Nueva, Vélez-Málaga, Málaga, España",+34 615 29 94 75,,,
Inmobiliaria imProteus,"C. del Cristo, 20, 29719 Benamocarra, Málaga, España",+34 951 20 46 37,http://inmobiliariaimproteus.com/,,
Initia Network Investment,"C. Cam. Viejo de Malaga, N 28, 29700 Vélez-Málaga, Málaga, España",+34 645 61 88 17,http://www.iniestate.com/,5.0,5.0
BIBARIA HOME,"C. Cristo, 34, 29700 Vélez-Málaga, Málaga, España",+34 619 57 04 38,,,
JMDG Consulting Inmobiliario,,+34 651 03 51 31,,,
Imanol Cabello Gestión Inmobiliaria,"C. Infantes, 58, 29740 Torre del Mar, Málaga, España",+34 626 55 13 56,,4.5,17.0
Hurtado y Méridas,"C. Cristo, 71, 29700 Vélez-Málaga, Málaga, España",+34 952 50 07 64,,,
Unicasa,"C. Canalejas, 26, 29700 Vélez-Málaga, Málaga, España",+34 952 50 54 13,https://www.unicasahome.es/,,
