name,address,international_phone_number,url,rating,reviews_count
DISTRITO 85 INMOBILIARIA,"Rúa López de Neira, 22, 36202 Vigo, Pontevedra, España",+34 986 22 89 18,http://www.distrito85.es/,4.9,273.0
Inmobiliaria en Vigo Guitián,"Rúa Portela, 17, Bajo, Lavadores, 36206 Vigo, Pontevedra, España",+34 670 52 86 71,http://www.inmobiliariaguitian.com/,4.6,76.0
Maica Inmobiliaria,"Av. de Castelao, 25, bajo, Coia, 36209 Vigo, Pontevedra, España",+34 986 24 32 62,http://www.inmomaica.com/,4.7,306.0
Inmobiliaria Cardicasa SL,"Rúa de Urzáiz, 77, Santiago de Vigo, 36204 Vigo, Pontevedra, España",+34 986 43 77 62,http://www.cardicasa.com/,4.7,335.0
INMOBILIARIA TRAMYGES,"Praza Porta do Sol, 7, 3º - Ofic. 3 y 4, 36202 Vigo, Pontevedra, España",+34 604 00 35 22,https://www.tramyges.com/,4.9,187.0
Inmobiliaria Best House,"Avenida da Hispanidade, 109, bajo izda, Freijeiro, 36203 Vigo, Pontevedra, España",+34 986 11 75 38,http://www.best-house.com/vigoindependencia,4.6,328.0
Ledicia Real Estate,"Av. de García Barbón, 101, Bajo, Santiago de Vigo, 36201 Vigo, Pontevedra, España",+34 722 53 98 00,https://www.lediciarealestate.com/Inicio.html,4.7,165.0
Gestión Inmobiliaria Navas S.L.,"R. da República Arxentina, 17, Santiago de Vigo, 36201 Vigo, Pontevedra, España",+34 610 40 35 35,,4.6,45.0
Inmobiliaria Doval Compracasa Vigo,"Rúa de Urzáiz, 77, Local Comercial, Santiago de Vigo, 36204 Vigo, Pontevedra, España",+34 986 19 23 39,http://www.inmodoval.es/,4.8,227.0
Heredero Inmobiliaria,"Rúa Velázquez Moreno, 9, piso 1 oficina 20, 36201 Vigo, Pontevedra, España",+34 653 85 84 38,http://www.herederoinmobiliaria.com/,4.7,46.0
Fincas Vigo,"Av. Alcalde Gregorio Espino, 9, bajo, Lavadores, 36205 Vigo, Pontevedra, España",+34 610 26 46 40,http://www.fincasvigo.com/,5.0,110.0
Inmobiliaria Padrenda,"Rúa Serafín Avendaño, 10, Santiago de Vigo, 36201 Vigo, Pontevedra, España",+34 637 82 03 63,https://www.inmobiliariapadrenda.com/,4.9,42.0
Inmobiliaria Novavivenda,"Av. Gran Vía, 17, 5 Esquerda, Santiago de Vigo, 36204 Vigo, Pontevedra, España",+34 986 11 93 65,https://www.novavivenda.es/,5.0,69.0
INMOBILIARIA BARPIL,"Rúa Zaragoza, 55, 53, Freijeiro, 36211 Vigo, Pontevedra, España",+34 622 27 95 49,https://inmobiliaria-barpil1.odoo.com/,4.4,42.0
Nexo Vigo Inmobiliaria,"R. do Uruguai, 12, Bajo, Santiago de Vigo, 36201 Vigo, Pontevedra, España",+34 610 62 00 02,http://www.nexovigo.com/,4.7,84.0
lallave.biz,"Av. Sanjurjo Badía, 103, entreplanta izquierda, Teis, 36207 Vigo, Pontevedra, España",+34 986 12 67 01,http://www.lallave.biz/,4.1,45.0
"De Lis Llano Servicios Inmobiliarios, S.L.","Rúa Eugenio Arbones, 4, bajo 12, Coia, 36210 Vigo, Pontevedra, España",+34 661 61 63 03,https://delis.es/,5.0,84.0
ENGEL & VÖLKERS Inmobiliaria Vigo,"Rúa do Doutor Cadaval, 5, Santiago de Vigo, 36202 Vigo, Pontevedra, España",+34 886 49 49 49,https://www.engelvoelkers.com/es/es/shops/vigo,4.8,84.0
Alfa Inmo3,"Av E, Av. de Emilio Martínez Garrido, 3, Lavadores, 36205 Vigo, Pontevedra, España",+34 986 26 18 68,http://www.alfainmo3.com/,4.1,34.0
