name,address,international_phone_number,url,rating,reviews_count,language
Paradise Real Estate,"Playa Arenal, Avda. De La Libertad Bl. 5, Local 47C, 03730 Xàbia, Alicante, Spain",+34 966 47 25 95,https://www.paradiserealestate.co.uk/?utm_source=google&utm_medium=local&utm_campaign=Google%20Maps&utm_content=boton_web,4.7,66.0,en
Blue Square International Property Javea,"Av. de la Llibertat, 12, 03730 Xàbia, Alicante, Spain",+34 966 46 00 60,https://www.blue-square.es/?utm_source=google&utm_medium=Google+Business+Profile+Javea,4.5,69.0,en
Costa Houses Luxury Villas,"Av. del Pla, 126 1° 26 · CCA, 03730 Xàbia, Alicante, Spain",+34 966 36 45 79,https://www.costa-houses.com/,4.9,136.0,en
Eurojavea Real Estate,"Plaza Presidente, Pl. Adolfo Suarez, 9, 03730 Xàbia, Alicante, Spain",+34 650 68 60 79,https://www.eurojavea.com/,4.8,172.0,en
Villalux,"Villalux Avenida Nao del Pla 135, Buzon, 46, 03730 Jávea, Alicante, Spain",+34 965 79 40 59,http://www.villalux.com/,4.9,77.0,en
Vicens Ash Properties,"Carretera, Pla 137 bajo, 03730 Cap de la Nau, Alicante, Spain",+34 966 46 16 43,https://www.vicensash.com/,4.8,93.0,es
New Life Property,"Av. de Lepanto, 7, 03730 Jávea, Alicante, Spain",+34 865 61 50 10,http://www.newlifepropertyspain.com/,4.6,31.0,es
InmoVillasJavea Sales and Rentals,"Avinguda Augusta, 22, Bajo 7, 03738 Badia de Xàbia, Alicante, Spain",+34 966 46 00 33,https://www.inmovillasjavea.com/,4.8,60.0,en
Crown Properties,"Javea Park, Avinguda de Paris, 2, Bloque 1-1a, 03730 Xàbia, Alicante, Spain",+34 691 22 50 70,http://www.crown-property.com/,4.8,85.0,en
MG Villas,"Av. de la Llibertad, 11, Local 11, 03730 Jávea, Alicante, Spain",+34 965 77 06 99,https://www.mgvillas.com/?utm_source=GMB&utm_medium=google-my-business&utm_campaign=Google+My+Business,4.8,104.0,en
