name,address,international_phone_number,url,rating,reviews_count,language,comment
AMProperty- Inmobiliaria en Zaragoza,"P.º de la Independencia, 23, Casco Antiguo, 50001 Zaragoza, España",+34 976 87 67 75,http://www.amproperty.es/,4.9,231.0,es,4.9 / 231
GP INMOBILIARIA,"C. de S. Miguel, 2, 3A-1, Casco Antiguo, 50001 Zaragoza, España",+34 976 23 08 10,http://www.gpinmobiliaria.es/,4.9,80.0,es,4.9 / 80
Innova LM Inmobiliarios,"C. de Don Jaime I, 32 Duplicado, Casco Antiguo, 50001 Zaragoza, España",+34 976 20 06 48,http://www.innovalm.es/,4.6,895.0,es,4.6 / 895
Landa Propiedades -Centro-,"Calle de Mefisto, 9, local, Casco Antiguo, 50001 Zaragoza, España",+34 976 30 14 80,http://landapropiedades.com/,4.7,659.0,es,4.7 / 659
Zaragoza Inmobiliaria,"P.º de la Independencia, 4, 2º Izda, Casco Antiguo, 50004 Zaragoza, España",+34 628 33 45 29,https://www.zaragozainmobiliaria.es/,5.0,131.0,es,5 / 131
Best House Zaragoza,"C. de Isaac Peral, 22, Casco Antiguo, 50001 Zaragoza, España",+34 976 22 01 20,https://www.besthousezaragoza.com/,4.6,220.0,es,4.6 / 220
Sixty Home | Inmobiliaria en Zaragoza,"C. de Cádiz, 3, entresuelo derecha, Casco Antiguo, 50004 Zaragoza, España",+34 876 65 12 15,https://sixtyhome.com/,4.9,185.0,es,4.9 / 185
Gestión Inmobiliaria Zaragoza,"Av. de San José, 100, local, 50008 Zaragoza, España",+34 976 59 71 16,http://www.gizaragoza.es/,4.9,1067.0,es,4.9 / 1067
Morgado Inmobiliaria,"C. de José María Lacarra de Miguel, 40, 50004 Zaragoza, España",+34 646 82 88 78,https://morgadoinmobiliaria.com/,5.0,448.0,es,5 / 448
MasQueHogares.com,"C. de Don Juan de Aragón, 14, Casco Antiguo, 50001 Zaragoza, España",+34 876 16 88 96,http://www.masquehogares.com/,5.0,269.0,es,5 / 269
Inmobiliaria Zaragoza - IndiQa Centro,"C. del Coso, 98, Casco Antiguo, 50001 Zaragoza, España",+34 976 92 07 66,https://indiqa.es/,4.7,107.0,es,4.7 / 107
Sorona Inmobiliaria,"P.º de la Independencia, 21, Casco Antiguo, 50001 Zaragoza, España",+34 644 83 65 50,http://soronainmobiliaria.com/,5.0,10.0,es,5 / 10
Paravivir Inmobiliaria,"C. de Casto Méndez Núñez, 23, Casco Antiguo, 50003 Zaragoza, España",+34 876 04 39 51,https://paravivir.es/,4.7,214.0,es,4.7 / 214
InmoPlan_City,"C. de Jerónimo Blancas, 4-6, 6, Casco Antiguo, 50004 Zaragoza, España",+34 640 60 15 19,https://www.inmoplancity.es/,5.0,178.0,es,5 / 178
Soluciones Inmobiliarias Aragón,"C. de León XIII, 7, local, 50008 Zaragoza, España",+34 976 97 95 27,http://www.solucionesinmobiliariasaragon.com/,4.5,170.0,es,4.5 / 170
PUBLIPISOS Inmobiliarias Zaragoza,"P.º de la Independencia, nº 24, local 90, Casco Antiguo, 50004 Zaragoza, España",+34 876 64 65 01,https://publipisoszaragoza.com/,4.4,70.0,es,4.4 / 70
Inmozentro Zaragoza,"C. de Jerónimo Blancas, 4-6, PPAL C, Casco Antiguo, 50001 Zaragoza, España",+34 641 35 03 07,http://inmozentro.com/,4.6,93.0,es,4.6 / 93
TJ INMOBILIARIA,"P.º Gran Vía, 5, Entr. Derecha, 50006 Zaragoza, España",+34 660 65 82 44,https://www.tjinmobiliaria.es/,4.8,66.0,es,4.8 / 66
EXPOPISO Inmobiliaria Zaragoza,"C/ del Monasterio de Siresa, 17, 50002 Zaragoza, España",+34 976 13 33 79,https://expopiso.es/,4.9,400.0,en,4.9 / 400
PV Inmobiliaria Zaragoza,"C. de Roger de Tur, 2, local izdo, 50002 Zaragoza, España",+34 976 87 55 79,https://pvinmobiliariazaragoza.es/,4.6,114.0,es,4.6 / 114
Agencia Inmobiliaria Zaragoza,"C. de San Lorenzo, 22, Casco Antiguo, 50001 Zaragoza, España",+34 675 25 56 62,,4.9,14.0,es,4.9 / 14
Nómada Agencia Inmobiliaria,"P.º de Cuéllar, 35, San José, 50007 Zaragoza, España",+34 640 06 38 44,,4.8,37.0,es,4.8 / 37
Takk! Asesores Inmobiliarios,"Av. Fco. de Goya, 60, 50005 Zaragoza, España",+34 682 56 70 97,https://takkhomes.com/,4.9,162.0,es,4.9 / 162
SITE Soluciones Inmobiliarias en Zaragoza Actur,"World Trade Center, C. de María Zambrano, 31, planta 15, 50018 Zaragoza, España",+34 637 79 50 60,http://www.sitezaragoza.com/,5.0,283.0,es,5 / 283
Brisasol Inmobiliaria Zaragoza,"Plaza Aragón (esq, C. de Juan Bruil, 1, Casco Antiguo, 50001 Zaragoza, España",+34 976 23 27 16,http://www.brisasol.com/,4.8,188.0,es,4.8 / 188
LAURA MARTINEZ- Inmobiliaria Zaragoza,,+34 608 96 99 20,,5.0,13.0,es,5 / 13
Mur Asesoría Inmobiliaria,"P.º de la Independencia, 8 duplicado, 2°, Casco Antiguo, 50001 Zaragoza, España",+34 609 39 14 96,https://originalgastro.com/,5.0,13.0,es,5 / 13
Gabás Inmobiliaria,"C/ de Felipe Sanclemente, 3, Esc 1, 1º planta, Of 7, Casco Antiguo, 50001 Zaragoza, España",+34 635 62 62 60,http://www.gabasinmobiliaria.com/,4.6,37.0,es,4.6 / 37
Inmoboss - Inmobiliarias Zaragoza te ayudamos a vender y comprar tu vivienda.,"7º 1 A, C. de Cádiz, Casco Antiguo, 50004 Zaragoza, España",+34 976 79 46 94,https://inmoboss.net/,4.5,70.0,es,4.5 / 70
Ana da Frutos Inmobiliaria Zaragoza,"Gran Vía Santiago Ramón y Cajal, 24, 50005 Zaragoza, España",+34 680 85 72 72,http://www.anadafrutos.com/,5.0,41.0,es,5 / 41
Inmobiliaria Retocasa,"Av. de César Augusto, 42, Casco Antiguo, 50004 Zaragoza, España",+34 674 32 09 47,http://www.retocasa.es/,4.8,43.0,es,4.8 / 43
Inmobiliaria Las Torres (Avda. Tenor Fleta),"Av. del Tenor Fleta, 18, 20, 50007 Zaragoza, España",+34 976 25 85 77,http://www.inmobiliarialastorres.com/,4.7,380.0,es,4.7 / 380
INMOBILIARI 22,"P.º de la Independencia, 22, Casco Antiguo, 50004 Zaragoza, España",+34 976 79 60 29,http://www.inmobiliari22.es/,4.5,45.0,es,4.5 / 45
Agencia Inmobiliaria Zaragoza,,,https://www.inmohomy.com/,5.0,3.0,es,5 / 3
Alierta Inmuebles y Gestión S.L.,"Calle de Almagro, 4, 50004 Zaragoza, España",+34 976 22 48 75,https://aliertainmuebles.com/,4.6,165.0,es,4.6 / 165
Aldebre Inmobiliaria,"C. de Muel, 4, 50014 Zaragoza, España",+34 976 47 94 09,http://www.aldebre.com/,4.9,643.0,es,4.9 / 643
BigHousePisos,"C. de María Lostal, 22, 50008 Zaragoza, España",+34 683 61 78 88,https://bighousepisos.com/,5.0,114.0,es,5 / 114
Inmobiliaria Espazio ZG,"C. del Coso, 56, 2º Izda, Casco Antiguo, 50001 Zaragoza, España",+34 601 34 66 17,http://www.espaziozg.com/,4.6,64.0,en,4.6 / 64
Anda Inmobiliaria,"C. de Pedro María Ric, 30, 50008 Zaragoza, España",+34 976 07 99 05,https://www.andainmobiliaria.com/,4.2,53.0,es,4.2 / 53
BIARRITZ-inmo Zaragoza,"P.º de la Independencia, 8 dpdo, 2°, Casco Antiguo, 50004 Zaragoza, España",+34 655 02 55 33,http://www.biarritz-inmo.com/,4.8,88.0,es,4.8 / 88
