name,address,international_phone_number,url,rating,reviews_count
Inmobiliaria en Algeciras | La Casa Agency Algeciras,"C. Cánovas del Castillo, 5, 11201 Algeciras, Cádiz, España",+34 956 66 11 38,http://www.lacasa.net/,4.3,91.0
Vancasas Exclusive Real Estate | Inmobiliaria en Algeciras,"Antigua Avenida Del Hospital, Av. Joan Manuel Serrat, 1, local 17, 11207 Algeciras, Cádiz, España",+34 609 62 98 54,https://www.vancasasinmobiliaria.com/,4.6,62.0
Inmobiliaria El Estrecho,"Edificio Blas Infante, C. Fuerte Santiago, oficina 1A, 11201 Algeciras, Cádiz, España",+34 644 84 40 02,http://www.inmobiliariaelestrecho.com/,4.8,362.0
Surhome Servicios Inmobiliarios,"Av. Fuerzas Armadas, 11, local, 11202 Algeciras, Cádiz, España",+34 956 11 48 75,http://www.surhome.es/,4.9,239.0
Ikesa Inmobiliaria - Algeciras,"Av. Virgen del Carmen, 59, Planta Primera, Oficina 4, 11201 Algeciras, Cádiz, España",+34 956 11 13 07,http://www.ikesa.es/,4.9,39.0
INMOBILIARIA DOBLE M,"C. Gregorio Marañón, 6, 11202 Algeciras, Cádiz, España",+34 657 81 21 98,http://www.inmobiliariadoblem.com/,4.5,164.0
FASE INMOBILIARIA,"Edificio, Pl. Alta, 7, 2 Planta, Oficina 5, 11201 Algeciras, Cádiz, España",+34 856 22 25 25,http://faseinmobiliaria.com/,4.8,187.0
Plenocasa Algeciras,"Av. de la Guardia Civil, nº6, 11204 Algeciras, Cádiz, España",+34 689 03 83 25,https://inmoselect.com/andalucia/algeciras/#desc4,4.9,138.0
Gesting Servicios Inmobiliarios,"C. Alfonso XI, 4, 11201 Algeciras, Cádiz, España",+34 606 63 68 78,http://www.inmobiliariagesting.com/,4.7,83.0
sueños inmobiliaria,"C/ Fuerte Santiago - Edificio Centro, Blas Infante, 2ª - oficina 11, 11201 Algeciras, Cádiz, España",+34 601 72 70 92,http://www.suenosinmobiliaria.com/,3.6,217.0
Tecnocasa San Jose Artesano,"Av. España, 13, bajo, 11205 Algeciras, Cádiz, España",+34 603 02 06 65,https://algeciras3.tecnocasa.es/,4.8,142.0
Apica Home Algeciras agencia inmobiliaria,"C. Sindicalista Luis Cobos, 9, 11203 Algeciras, Cádiz, España",+34 956 63 29 57,https://inmuebles.apica.es/es/venta/en-cadiz-algeciras,4.6,16.0
Tecnocasa agencia inmobiliaria,"C. Ruiz Zorrilla, 14 pb, local 5, 11203 Algeciras, Cádiz, España",+34 673 20 99 37,https://algeciras4.tecnocasa.es/,4.8,234.0
Ubi Domus,"Urb. Jardines del Rosario, Av. España, Bloque 8b P 6 local 15, 11204 Algeciras, Cádiz, España",+34 601 07 08 09,http://ubidomus.es/,4.9,34.0
Inmobiliaria GF,"C. Sevilla, 31, 11201 Algeciras, Cádiz, España",+34 644 36 83 15,https://www.inmobiliariagf.com/,4.6,10.0
Inmobiliaria Dream - Algeciras,"C. Alcalde Felipe A.Radillo, 2, 11201 Algeciras, Cádiz, España",+34 641 39 83 73,,5.0,2.0
Vistas al Sur,"C. Juan Pérez Arriete, S/N, Edif. Nexus , oficina B3.3, 11204 Algeciras, Cádiz, España",+34 601 28 41 87,http://www.vistasalsur.es/,4.8,86.0
Agencia Inmobiliaria RAMA,"frente al monumento Homenaje a la Madre, Calle José Antonio Primo Rivera, 9, planta 4, 11201 Algeciras, Cádiz, España",+34 856 65 55 26,http://www.airama.es/,4.2,10.0
Living home Servicios inmobiliarios,"C. Alfonso XI, 4F, Local, 11201 Algeciras, Cádiz, España",+34 622 83 19 21,,5.0,10.0
Tecnocasa agencia inmobiliaria,"Av. Virgen del Carmen, 75, local 2, 11202 Algeciras, Cádiz, España",+34 654 64 26 06,https://algeciras5.tecnocasa.es/,4.9,103.0
Inmobiliaria la Bahía,"Calle José Carlos de Luna, 1, 11202 Algeciras, Cádiz, España",+34 856 65 44 47,,4.2,11.0
PISOS.MILENIUM,"C. San Bernardo, NUMERO 2, 11207 Algeciras, Cádiz, España",+34 856 39 21 88,http://www.pisosmilenium.com/,4.1,20.0
E.M.G. INMOBILIARIA,"Urb. Averroes, 11204 Algeciras, Cádiz, España",+34 692 64 67 52,,5.0,10.0
ALTER INMOBILIARIA,"Edificio Don Juan, Av. Virgen de la Palma, 1, 1ºC, 11201 Algeciras, Cádiz, España",+34 657 91 15 60,http://alterinmobiliaria.com/,4.3,12.0
INMOBILIARIA EL PATO,"Ctra. Getares, Centro SUPECO, local 5, 11207 Algeciras, Cádiz, España",+34 678 52 44 89,http://www.elpato.es/,4.2,5.0
"Premg Asesores Servicios Inmobiliarios, S.L.","C. Fuente Nueva, 2, Local 2, 11203 Algeciras, Cádiz, España",+34 956 10 29 41,,4.5,12.0
Algecasas,"C/FUERTE SANTIAGO, EDIF.CENTRO, BLAS INFANTE, LOCAL 3, 11202 Algeciras, Cádiz, España",+34 651 10 06 59,http://www.algecasas.es/,3.5,11.0
HIPOCASA,"C. Alfonso XI, 23, 11201 Algeciras, Cádiz, España",+34 956 58 98 98,http://www.hipocasa.es/,4.5,8.0
AIDA ALONSO- Soluciones Inmobiliarias.,"Av. Capitán Ontañón, 24, Local C, 11202 Algeciras, Cádiz, España",+34 617 76 94 70,https://www.facebook.com/profile.php?id=100087249987335,3.9,27.0
Hauser Soluciones de Alquiler y Venta,"C. Alfonso XI, 13, 11201 Algeciras, Cádiz, España",+34 856 39 26 99,https://www.hauseronline.es/,3.7,71.0
Lakinta,"C. Regino Martínez, 3, 11201 Algeciras, Cádiz, España",+34 654 10 33 14,https://www.inmobiliarialakinta.es/,3.5,19.0
Inmobiliaria la Bahia,"C. Barcelona, 11203 Algeciras, Cádiz, España",+34 674 74 96 21,https://www.inmobiliarialabahia.com/,,
Inmobiliaria Alcaidesa,,+34 623 04 40 36,http://www.inmobiliariaalcaidesa.es/,5.0,63.0
Legal House,"C. María Auxiliadora, 17, 11203 Algeciras, Cádiz, España",+34 640 10 32 01,http://legalhouse.info/,4.0,4.0
MARDRIK INMOBILIARIA ONLINE,,+34 674 67 09 96,http://www.mardrik.es/,3.0,2.0
MICASSA GRUPO INMOBILIARIO CADIZ,"Parque Empresarial las marismas de EdificIo Azabache, L10, 11379 Palmones, Cádiz, España",+34 956 67 80 08,http://www.micassa.net/,4.7,180.0
GRUPO INMOBILIARIO MCT,"C. Emilio Castelar, 13, 11201 Algeciras, Cádiz, España",+34 856 54 78 24,https://grupo-inmobiliario-mct.webnode.es/,5.0,5.0
INMUEBLESUR,"Av. Blas Infante, local 2, 11201 Algeciras, Cádiz, España",+34 856 12 70 08,http://inmueblesur.com/,3.5,4.0
Inmoclaves Gestión Inmobiliarioa,"Calle Trafalgar, 7, local 5, 11201 Algeciras, Cádiz, España",+34 856 65 73 95,http://www.inmoclaves.com/,3.4,14.0
RT Inmobiliaria,"Urbanización, Bloque 10 Bajo 7, 11205 Algeciras, Cádiz, España",,,2.8,29.0
Atlantis Casas,,+34 674 53 26 65,https://www.atlantiscasas.com/,5.0,6.0
Donpiso Campo de Gibraltar Raul Constanzo.,,+34 678 51 05 03,https://www.donpiso.com/agente-raulconstanzotoresano/1142,5.0,8.0
Inmobiliaria Algegomez,"C. P.º de la Conferencia, 11207 Algeciras, Cádiz, España",+34 653 37 55 77,,5.0,1.0
Comurbán,"C. Ventura Morón, 2, A BAJO, 11201 Algeciras, Cádiz, España",+34 956 65 06 12,http://www.comurban.com/,3.9,62.0
Donpiso Campo de Gibraltar Raul. Constanzo.,"Pl. Alta, 1, 11201 Algeciras, Cádiz, España",+34 678 51 05 03,https://www.donpiso.com/agente-raulconstanzotoresano/1142,5.0,5.0
Grupo Inmobiliario Fuentes,"C. Sevilla, 19-29, 11201 Algeciras, Cádiz, España",+34 956 65 52 00,https://inmo-fuentes.com/,,
Hk Gestión Inmobiliaria,"Calle José Carlos de Luna, 1, 11202 Algeciras, Cádiz, España",+34 617 68 10 44,https://hk-gestion-inmobiliaria.pro.inmogesco.com/,3.7,3.0
Finanziell,"C. Regino Martínez, 6, 11201 Algeciras, Cádiz, España",+34 665 44 41 44,,4.9,19.0
INMO PISOS,"Ctra. Rinconcillo, 3- D, 11205 Algeciras, Cádiz, España",+34 665 85 32 88,,5.0,2.0
Más Vivienda,"C. Cabotaje, 16, 11379 Los Barrios, Cádiz, España",+34 956 04 41 91,https://algecirasmasvivien.wixsite.com/mas-vivienda,4.5,11.0
SAYCO Inmobiliaria,"Entre, C. Cristóbal Colón, 30, 11201 Algeciras, Cádiz, España",+34 956 95 46 19,,2.9,14.0
Medina´s Home,"C. Regino Martínez, 12-14 Pasaje, Local, 5, 11201 Algeciras, Cádiz, España",+34 605 88 53 87,https://medinashome.com/,,
GRUPO TIERRA,"C. Sevilla, 26, Local bajo, 11201 Algeciras, Cádiz, España",+34 956 63 42 12,,4.0,1.0
DezcHomes Inmobiliaria,,+34 657 90 73 06,,,
Patricia Barrios Inmobiliaria,"Av. Virgen del Carmen, 31, 1º IZQUIERDA, 11201 Algeciras, Cádiz, España",+34 698 58 67 38,,5.0,1.0
Torresinmobiliaria,"C. Cristóbal Colón, 11201 Algeciras, Cádiz, España",+34 601 44 84 99,,4.5,8.0
Gad Grupo Andaluz De Gestión Integral Inmobiliaria,"Lugar Urbanización Villa Palma, 13, 11203 Algeciras, Cádiz, España",+34 956 10 22 50,,5.0,2.0
Nuestropiso,,+34 625 10 21 42,,5.0,1.0
Gestión Inmobiliaria Haüsen,"Av. Virgen del Carmen, 46, 11204 Algeciras, Cádiz, España",+34 658 01 80 61,https://www.inmobiliariahausen.com/buscador/,2.3,3.0
Ininco S.L.,"Calle Pablo Mayayo, 55, (edificio Getares, Bq 3 bajo oficina 4, 11201 Algeciras, Cádiz, España",+34 956 66 66 48,http://inincosl.com/,1.0,2.0
