name,address,international_phone_number,url,rating,reviews_count
Agencia J Morató - Inmobiliaria Calpe,"Av. Gabriel Miró, 38A, 03710 Calpe, Alicante, España",+34 965 83 90 83,https://www.agenciamorato.com/,4.9,167
Inmobres,"Inmobres - Bono Property Services SL, Carrer la Santamaría, 11, Local 13, 03710 Calpe, Alicante, España",+34 656 63 31 90,https://www.inmobres.com/,4.9,175
Estate Agents Calpe Casa Agencia Inmobiliaria,"Carrer Dr. Fleming, 13, 03710 Calp, Alicante, España",+34 965 83 00 16,http://www.calpecasa.com/,5.0,44
Calpe Home Group,"Edificio Mar y Paz, Carrer la Pinta, 1, 03710 Calp, Alicante, España",+34 665 79 63 45,http://www.calpehomegroup.com/,4.8,116
"Ocean Group, Gestión y Servicios Inmobiliarios en la Costa Blanca","Carrer la Santamaría, 11, Local 16, 03710 Calpe, Alicante, España",+34 601 62 22 66,https://www.theoceangroup.es/,5.0,69
MP Villas Inmobiliaria / Real Estate,"Carrer la Santamaría, 4, 03710 Calp, Alicante, España",+34 966 14 66 40,https://www.mpvillas.com/,4.9,35
Agencia Inmobiliaria en Calpe - Villa Mediterránea,"Carrer Dr. Fleming, 4, 03710 Calp, Alicante, España",+34 965 83 21 22,https://www.villamediterranea.es/,4.8,22
Alquileres Mercasa,"C. Gibraltar, 15, 03710 Calpe, Alicante, España",+34 965 83 76 82,http://www.mercasa-calpe.com/,4.8,636
Jetvillas,"Carretera Calpe - Moraira, Km 1, Ptda. Les Basetes 16-D, Partida Pinamar, 160, 03710 Calpe, Alicante, España",+34 717 77 33 77,https://jetvillas.com/,4.8,94
Agencia Arenal,"Edificio Arenal Bajo, C. la Pinta, 2, 03710 Calpe, Alicante, España",+34 965 83 74 73,http://agencia-arenal.es/,4.4,128
Inmobiliaria Homekey,"C. Isla de Formentera, 5, 03710 Calpe, Alicante, España",+34 965 83 97 95,http://www.inmobiliariahomekey.com/,4.9,13
Century 21 Evolution | Inmobiliaria Calpe,"Av. Gabriel Miró, 14, 03710 Calpe, Alicante, España",+34 966 39 79 44,https://evolution.century21.es/,4.6,85
Inmodream Servicios Inmobiliarios Calpe,"C. Grecia, 1, 03710 Calpe, Alicante, España",+34 675 90 76 83,https://www.inmodreamcalpe.com/,4.2,78
Colon Inmobiliaria,"esquina Plaza Colon, Av. Gabriel Miró, 35, 03710 Calpe, Alicante, España",+34 965 83 06 85,https://www.coloninmobiliaria.com/,4.6,29
Homes Calpe,"Av. de Masnou, 26, Local 8B, 03710 Calpe, Alicante, España",+34 627 23 99 97,https://www.homescalpe.com/,5.0,26
ABAHANA VILLAS Calpe Check-In Office,"Avda. Jaime I El Conquistador, 31, 03710 Calpe, Alicante, España",+34 965 87 45 40,https://www.abahanavillas.com/,4.4,928
GH COSTA BLANCA - Inmobiliària en Calp,"Edificio Saladar, Av. Juan Carlos I, Número 2, 03710 Calpe, Alicante, España",+34 965 83 70 43,http://www.ghcostablanca.com/,4.8,19
Villas de Vulder Inmobiliaria en Calpe,"C. Gibraltar, 8, Edif. Frentemar, 03710 Calpe, Alicante, España",+34 653 13 93 98,https://www.villasdevulder.es/,4.9,17
InmoRiquelme,"Av. Juan Carlos I, 21, 03710 Calpe, Alicante, España",+34 965 83 75 39,http://www.inmoriquelme.com/,4.0,54
Paradero de Ifach Servicios inmobiliarios.,"C. Isla de Formentera, 5, Edificio Sotavento, Local 11A, 03710 Calpe, Alicante, España",+34 965 87 44 89,http://www.paraderodeifach.com/,4.8,48
LFL Real Estate Costa Blanca,"Pl. Constitución, 4, Edf. El Parque entresuelo, 03710 Calpe, Alicante, España",+34 629 09 66 70,https://www.lfl-realestatecostablanca.com/,4.9,43
InmoPerlamar,"C. Delfín, 1, 03710 Calpe, Alicante, España",+34 965 83 34 43,http://www.inmoperlamar.net/,4.3,20
Calpea Inmobiliaria,"C. Alemania, 9, 03710 Calpe, Alicante, España",+34 965 83 00 50,http://calpea.com/,4.3,13
Engel & Völkers Calpe,"Carrer la Santamaría, 8, 03710 Calp, Alicante, España",+34 966 93 72 56,https://www.engelvoelkers.com/es/es/shops/calpe,4.4,51
inmobiliaria calpe sala,"Av. de Ifach, 3, 03710 Calp, Alicante, España",+34 965 83 69 30,https://www.calpesala.com/,5.0,1
PlusVillas,"Carrer de la Pau, 2, 03710 Calp, Alicante, España",+34 965 83 35 87,https://www.plusvillas.es/,4.6,28
INMOBOOKING,"Av. de Ifach, 20, 03710 Calp, Alicante, España",+34 607 73 63 56,http://www.inmobooking.es/,4.1,74
Apartamentos Entremares Calp,"Carrer Tramuntana, 2, 03710 Calp, Alicante, España",+34 965 83 92 13,https://apartamentosentremarescalpe.com/,4.7,250
Luxinmo Calpe,"Av. Gabriel Miró, 36, 03710 Calpe, Alicante, España",+34 966 28 08 82,https://www.luxinmo.com/zone-calpe/map,4.7,13
Inmobiliaria en Calpe - Leukante Realty S.L.,"Av. Rosa de los Vientos, 4, 03710 Calpe, Alicante, España",+34 622 22 00 72,http://www.leukanterealty.com/,3.5,31
Alquiler de Apartamentos Turísticos en Calpe - Alquileres LG,"Carrer Dr. Fleming, 10, 03710 Calp, Alicante, España",+34 965 83 40 30,https://www.alquilereslg.com/alquiler/alquiler-alquileres-d0/,4.8,187
Inmobiliaria Aniorte,"Calle Pintor Sorolla, s/n, Edificio Apolo IV, local 2, 03710 Calpe, Alicante, España",+34 965 83 26 62,http://www.aniorte.es/,5.0,7
Ecomar Inmobiliaria,"Partida Maryvilla, 1B, 03710 Calpe, Alicante, España",+34 965 83 12 15,http://www.ecomar.es/,4.0,54
Solcalpe,"Av. Gabriel Miró, 40, 03710 Calpe, Alicante, España",+34 965 83 14 91,http://www.agenciasolcalpe.com/,4.1,18
Marina Digorn Inmobiliaria,"Av. de Ifach, 4, 03710 Calp, Alicante, España",+34 619 89 16 85,https://www.marinadigorn.com/,5.0,4
Villas Calpe Mediterraneo,"Carrer Benidorm, 16A, 03710 Calp, Alicante, España",+34 630 15 81 46,http://www.villascalpe.com/,4.7,23
Mercasa Ventas,"Av. Juan Carlos I, 26, 03710 Calpe, Alicante, España",+34 965 83 35 03,http://www.mercasa-calpe.com/,4.8,29
Elena Hills Calpe,"C. la Niña, 3a, 03710 Calpe, Alicante, España",+34 966 88 89 66,http://www.elenahills.com/,4.8,11
Rodak Home Nieruchomości w Hiszpanii,"Av. Rosa de los Vientos, 4, 03710 Calpe, Alicante, España",+34 677 72 43 42,http://www.rodakhome.com/,4.9,30
OLTASUCH CONSTRUCCIONES Y GESTION INMOBILIARIA,"Carrer de la Pau, 1, 03710 Calp, Alicante, España",+34 965 83 62 78,http://www.oltasuch.com/,4.7,6
Marina Hábitat Inmobiliaria,"C. Isla de Formentera, 10, 03710 Calpe, Alicante, España",+34 965 83 12 20,https://www.marinahabitat.es/,3.8,17
Gran Sol Properties,"Carrer Corbeta, 5, 03710 Calp, Alicante, España",+34 965 83 54 68,http://www.gransolproperties.com/,5.0,12
Eurohome Inmobiliaria Calpe,"Av. Europa, 2, 03710 Calpe, Alicante, España",+34 965 87 53 20,https://www.eurohome.es/,3.8,4
Inmobiliaria.Grupo Tenza. Villas.Calpe.,"Los Almendros, 2, 03710 Calpe, Alicante, España",+34 965 83 84 19,http://www.casianotenza.com/,3.9,10
Calpe Home Service,"Partida Maryvilla, 9L, 03710 Calpe, Alicante, España",+34 670 88 11 53,http://www.calpehomeservice.com/,5.0,8
Seanest Real Estate,"Edificio Turmalina, Av. Juan Carlos I, 26 Local 1, 03710 Calpe, Alicante, España",+34 965 83 80 25,http://www.seanest.com/,4.8,8
GRUPO TURIS,"Carrer la Santamaría, 11, 03710 Calp, Alicante, España",+34 965 83 90 30,http://grupoturis.com/,5.0,7
Inmobiliaria Gaudium,"Av. del Nte., 40, 03710 Calpe, Alicante, España",+34 663 44 37 32,https://www.inmogaudium.com/,5.0,4
OTERO-HOMES. TU INMOBILIARIA EN CALPE,"Avinguda Puerto de Santa María, 25, 03710 Calp, Alicante, España",+34 633 56 46 55,http://www.otero-homes.com/,5.0,8
Gill&Pérez Inmobiliaria,"Av. Madrid, 12, 03710 Calpe, Alicante, España",+34 673 67 58 10,http://gillperezinmobiliaria.com/,4.7,3
