,name,address,international_phone_number,url,rating,reviews_count
0,Sócialcasa Inmobiliaria Vistalegre,"Av. del Aeropuerto, 7, Poniente Sur, 14004 Córdoba, Spain",+34 634 77 48 21,http://www.socialcasa.es/,5.0,285.0
1,Habitacor Servicios Inmobiliarios,"C. Sevilla, 8, Centro, 14003 Córdoba, Spain",+34 627 44 50 70,http://habitacor.com/,4.9,159.0
2,Inmobiliaria Vistabrezo,"C. Caño, 10, Centro, 14001 Córdoba, Spain",+34 957 81 18 00,http://www.vistabrezo.com/,4.6,153.0
3,Inmobiliaria Séneca,"Calle Historiador Díaz del Moral, C. Morería, 1, Local Esquina, Centro, 14008 Córdoba, Spain",+34 957 95 80 65,https://www.inmobiliariaseneca.es/,4.6,107.0
4,Parcesur Gestiones Inmobiliarias. S.L.,"C. de Damasco, 4, Poniente Sur, 14005 Córdoba, Spain",+34 621 23 89 68,https://www.parcesur.es/,4.6,210.0
5,Inmobiliaria en Córdoba Mi Manzana,"C. del Doce de Octubre, 8, 1º, Centro, 14001 Córdoba, Spain",+34 957 05 13 08,http://www.mimanzanainmobiliaria.com/,4.8,118.0
6,Inmobiliaria PorBer,"C. Acera Fuente de la Salud, 15, Nte. Sierra, 14006 Córdoba, Spain",+34 678 57 14 51,http://www.inmobiliariaporber.com/,4.7,53.0
7,Domus Córdoba Inmobiliaria,"Av. del Gran Capitán, 2, 2º Derecha, Centro, 14008 Córdoba, Spain",+34 636 18 32 40,http://www.domuscordoba.com/,4.6,72.0
8,Domus Córdoba Inmobiliaria - Viñuela,"Av. de la Viñuela, 2, Levante, 14010 Córdoba, Spain",+34 722 32 09 57,https://www.domuscordoba.com/,5.0,16.0
9,Azalea Homes Inmobiliaria,"C. Platero Pedro de Bares, 39, Levante, 14007 Córdoba, Spain",+34 957 92 72 00,http://www.azaleahomes.es/,4.9,106.0
10,Inmobiliaria Califal,"Av. Arroyo del Moro, 12, Noroeste, 14011 Córdoba, Spain",+34 957 46 62 44,http://www.inmobiliariascalifal.com/,4.7,109.0
11,La sierra inmobiliaria,,+34 607 76 46 93,,4.9,148.0
12,Inmobiliaria CAPITAN,"C. Cruz Conde, 12, 1°, Centro, 14003 Córdoba, Spain",+34 957 47 25 59,https://www.inmobiliariacapitan.es/,4.8,165.0
13,May Moure Inmobiliaria,"Pl. de San Miguel, Centro, 14002 Córdoba, Spain",+34 685 58 28 87,https://www.maymoureinmobiliariacordoba.es/,5.0,10.0
14,Bella Córdoba Real Estate,"Calle Eduardo Lucena, 5, Centro, 14008 Córdoba, Spain",+34 957 04 01 94,http://www.bellacordoba.es/,4.9,58.0
15,Inmobiliaria Noguer,"Calle Alcalde Sanz Noguer, frente al numero 10, Poniente Sur, 14005 Córdoba, Spain",+34 957 08 18 21,http://www.inmobiliarianoguer.com/,4.3,25.0
16,Inmobiliaria en Córdoba,"Av. de Jesús Rescatado, 1, Levante, 14010 Córdoba, Spain",+34 957 82 30 00,https://inmobiliariajoaquin.es/?utm_source=gmb&utm_medium=click&utm_campaign=ficha_gmb_jesus,4.6,66.0
17,Una Soluciones Inmobiliarias,"C. Concepción, 10, 1o b, Centro, 14008 Córdoba, Spain",+34 957 84 14 64,http://unasolucionesinmobiliarias.com/,4.2,11.0
18,Rayla Homes Real Estate Services S.L.,"C. Eduardo Dato, 12, bajo, Centro, 14003 Córdoba, Spain",+34 630 34 79 20,https://www.raylahomes.com/,5.0,3.0
19,Alquila y Punto. Seguro de Alquiler Córdoba,"C. del Doce de Octubre, 8, 1º, Centro, 14001 Córdoba, Spain",+34 957 05 13 08,https://www.alquilaypunto.es/,5.0,11.0
20,MAR | Real Estate,"C. Claudio Marcelo, 4, local, Centro, 14002 Córdoba, Spain",+34 957 11 11 90,http://www.marrealestatecordoba.com/,4.5,60.0
21,RTC Inmobiliaria,"C. Gabriel Ramos Bejarano, 113, nave 16B, 14014 Córdoba, Spain",+34 857 80 68 43,http://www.rtc2005.es/,3.8,16.0
22,INMOBILIARIA VIÑUELA,"Av. de Barcelona, 7, Levante, 14010 Córdoba, Spain",+34 957 25 02 26,,2.7,32.0
23,Joaquin Gestión Inmobiliaria,"Av. Virgen de las Angustias, 23, Nte. Sierra, 14006 Córdoba, Spain",,,,
24,ROLYSA › Gestión de Bienes Raíces,"C. del Doce de Octubre, 17, Local, Centro, 14001 Córdoba, Spain",+34 957 41 97 46,https://www.rolysa.com/,4.6,10.0
25,Asaicor,"C/ Teresa de Calcuta, 22, Noroeste, 14011 Córdoba, Spain",+34 607 37 76 53,https://asaicor.es/,,
28,Doble Ele Mediacion Inmobiliaria S L,"Av. de la Arruzafa, 2, Nte. Sierra, 14012 Córdoba, Spain",+34 957 49 61 85,http://www.doblele.com/,4.7,31.0
33,Inmocodix Soluciones Inmobiliarias,"C. Sevilla, 2, 3º3, Centro, 14003 Córdoba, Spain",+34 690 15 82 10,http://inmocodix.com/,4.7,124.0
34,OcasionCasa | Inmobiliaria,"Av. del Cairo, 2, Levante, 14014 Córdoba, Spain",+34 607 03 56 88,https://www.ocasioncasa.com/,4.8,118.0
36,PSH INMOBILIARIA,"14710 Córdoba, Spain",+34 644 86 87 26,,3.4,12.0
45,Lamsa Inmobiliaria,"Av. del Gran Capitán, 24, 4º planta, 1 A, Centro, 14001 Córdoba, Spain",+34 957 61 18 53,https://www.pisoscordoba.lamsainmobiliaria.es/,5.0,6.0
47,MARTIN INMOBILIARIA,"C. Juan Jiménez Cuenca, 19, 14900 Lucena, Córdoba, Spain",+34 957 96 12 69,http://www.martininmobiliaria.es/,4.7,73.0
49,Sócialcasa Inmobiliaria Ciudad Jardín,"C. Alcalde Sanz Noguer, 13, Poniente Sur, 14005 Córdoba, Spain",+34 656 31 14 70,http://www.socialcasa.es/,4.9,680.0
51,Inmobiliaria Levante | Tucasacórdoba,"Av. de Barcelona, 11, Levante, 14010 Córdoba, Spain",+34 900 929 888,https://www.tucasacordoba.com/oficina-levante/,4.7,218.0
52,Ideal Inmobiliarias | Ciudad Jardín Inmobiliaria,"C. Decano Fernández de Castillejo, 1, Poniente Sur, 14004 Córdoba, Spain",+34 687 63 42 29,https://idealinmobiliaria.es/,4.9,141.0
54,Inmobiliaria Queen Home,,+34 616 24 56 27,https://www.facebook.com/QueenHomeInmobiliaria,4.9,173.0
55,Inmobiliaria Gestiurban,,+34 744 63 13 50,https://www.inmobiliariagestiurban.com/,4.8,77.0
56,Habitaria.net Inmobiliaria en Córdoba,"C. Luis Valenzuela, 12, Levante, 14007 Córdoba, Spain",+34 957 83 59 12,http://www.habitaria.net/,5.0,46.0
57,Fénix Inmobiliaria Córdoba,"C. Caravaca de la Cruz, 15, Levante, 14007 Córdoba, Spain",+34 744 65 87 47,https://www.fenix-inmobiliaria.com/,4.9,30.0
58,Inmobiliaria Ciudad Jardín | Tucasacórdoba,"C. Alcalde Sanz Noguer, 1, Poniente Sur, 14004 Córdoba, Spain",+34 957 19 36 44,https://www.tucasacordoba.com/oficina-ciudad-jardin/,4.8,123.0
59,Redondo inmobiliaria,"C. Platero Repiso, 12, Levante, 14010 Córdoba, Spain",+34 681 22 35 43,http://www.inmoredondo.es/,5.0,30.0
60,Inmobiliaria La Hontanilla,"C. Santo Domingo Savio, 1, Centro, 14002 Córdoba, Spain",+34 601 17 28 17,http://www.inmobiliarialahontanilla.com/,4.8,74.0
61,Inmobiliaria en Córdoba | Inmobiliaria Joaquín,"finlandia M-E2, 14014 Córdoba, Spain",+34 957 08 29 76,https://inmobiliariajoaquin.es/?utm_source=gmb&utm_medium=click&utm_campaign=ficha_gmb_finlandia,4.8,102.0
62,Inmobiliaria JOTA en Jesus Rescatado Sagunto Edisol Cairo Cañero Av Barcelona Casco Historico,"Av. de Jesús Rescatado, 3, Levante, 14007 Córdoba, Spain",+34 613 03 24 60,https://www.fotocasa.es/es/inmobiliaria-inmobiliaria-jota/comprar/inmuebles/espana/todas-las-zonas/l?clientId=9202772017110,5.0,30.0
63,Inmobiliaria Zona Sur | TucasaCórdoba,"Av. de Cádiz, 59, Sur, 14009 Córdoba, Spain",+34 957 07 70 00,https://www.tucasacordoba.com/oficina-sector-sur/,4.6,83.0
64,Inmobiliaria Buscopisos,"C. Cam. de la Barca, Sureste, 14010 Córdoba, Spain",+34 647 37 43 88,http://www.buscopisos.es/,4.8,45.0
65,Inmobiliaria Sagunto,"C. Platero Repiso, 4, Levante, 14010 Córdoba, Spain",+34 722 51 81 78,https://www.fotocasa.es/es/inmobiliaria-inmobiliaria-sagunto/comprar/inmuebles/espana/todas-las-zonas/l?clientId=9202768363193,5.0,11.0
67,OcasiónCasa Calahorra | Inmobiliaria,"Av. de Cádiz, 19, Sur, 14009 Córdoba, Spain",+34 957 82 28 22,https://www.ocasioncasa.com/,4.9,87.0
68,RK Casas Para Vivir,"Av. Al-Nasir, 3, 3-1, Nte. Sierra, 14006 Córdoba, Spain",+34 957 10 06 00,http://www.casasparavivir.es/,5.0,449.0
69,Solvia Inmobiliaria Córdoba,"C. del Doce de Octubre, 17, CENTRO, Centro, 14001 Córdoba, Spain",+34 957 81 04 90,http://www.solviacordobainmo.com/,4.9,38.0
70,inmobiliaria Casabel,"Av. de Carlos III, 28, Levante, 14014 Córdoba, Spain",+34 622 25 89 79,https://www.casabel.es/,4.8,44.0
71,Jade Grupo Inmobiliario Levante,"C. Dr. Manuel Villegas, 8, Levante, 14007 Córdoba, Spain",+34 957 04 54 86,https://www.inmobiliariajade.es/,4.6,36.0
72,Ideal Inmobiliaria,"Av. del Gran Capitán, 20, 2ºB, Centro, 14001 Córdoba, Spain",+34 637 53 50 47,https://idealinmobiliaria.es/,5.0,47.0
73,INMOBILIARIA CARLOS PRIEGO,"Av. Ronda de los Tejares, 26, 3º-1, Centro, 14001 Córdoba, Spain",+34 625 96 64 75,http://www.carlospriego.es/,4.9,71.0
74,Alma Homes pisos con Alma,"Av. del Gran Capitán, 28, 3 Planta, Centro, 14001 Córdoba, Spain",+34 611 62 72 64,http://www.pisosconalma.es/,5.0,107.0
75,Inmobiliaria Fátima | Tucasacórdoba,"Av. Virgen de Fátima, 30, Levante, 14014 Córdoba, Spain",+34 957 39 33 99,https://www.tucasacordoba.com/oficina-fatima/,4.7,71.0
76,Real estate Albasur (South Sector Office),"C. Úbeda, 10, Sur, 14003 Córdoba, Spain",+34 957 04 92 44,http://www.inmobiliariaalbasur.com/,4.1,48.0
77,Servián Inmobiliaria,"Av. Ronda de los Tejares, 13, Centro, 14001 Córdoba, Spain",+34 646 45 96 80,https://www.idealista.com/pro/serviangestioninmobiliaria/venta-viviendas/,4.9,45.0
78,Corduba Inmobiliaria,"C. Platero Pedro de Bares, 47, local, Levante, 14007 Córdoba, Spain",+34 634 70 72 22,https://www.cordubainmobiliaria.es/,4.8,20.0
79,INMOSÍ Grupo Inmobiliario,"Av. de Cervantes, 6, Centro, 14008 Córdoba, Spain",+34 623 72 00 12,https://www.inmosi.com/,4.8,32.0
80,InmoCampo,"Av. de Cervantes, 6, Centro, 14008 Córdoba, Spain",+34 654 06 66 33,https://inmocampo.com/?utm_source=GMB&utm_medium=local&utm_campaign=fincas_rusticas_cordoba,4.9,123.0
81,Navisur inmobiliaria,"Av. de Carlos III, 34, Levante, 14014 Córdoba, Spain",+34 957 76 49 04,http://www.navisurinmobiliaria.es/,3.8,61.0
82,Gesfincor,"C. Platero Pedro de Bares, 45, local, Levante, 14007 Córdoba, Spain",+34 957 25 22 26,http://www.gesfincor.es/,4.9,71.0
83,INMOBILIARIA ALKAZACOR,"Pje. José Flores ""Cámara"", Poniente Sur, 14005 Córdoba, Spain",+34 685 46 92 24,http://inmob15934.client.inmofactory.com/,4.8,35.0
84,APARTAMENTALIA Grupo Inmobiliario,"C. de los Reyes Católicos, 3, PLANTA 2ª, Centro, 14001 Córdoba, Spain",+34 634 46 79 55,https://apartamentalia.com/,5.0,41.0
85,NORIEGA,"Av. del Gran Capitán, 23, 2ª, Centro, 14008 Córdoba, Spain",+34 957 49 75 42,http://www.noriegadi.com/,4.9,70.0
86,Inmobiliaria Albasur (Oficina Centro),"Pl. de las Tendillas, 1, Centro, 14001 Córdoba, Spain",+34 957 49 12 76,https://www.inmobiliariaalbasur.com/,4.1,15.0
87,BLUE INMOBILIARIA,"Av. Ronda de los Tejares, 32, Acceso 1, 5ª Planta, Oficina 152, Centro, 14001 Córdoba, Spain",+34 957 11 51 11,http://www.blueinmobiliaria.com/,4.7,54.0
88,VIVIENDAS CORDOBA inmobiliaria,"C. de Damasco, 14, Poniente Sur, 14005 Córdoba, Spain",+34 662 24 72 46,http://www.viviendascordobainmobiliaria.es/,4.6,20.0
89,Grupo Vivendo | Inmobiliaria,"Plaza de las Doblas, Centro, 14001 Córdoba, Spain",+34 957 05 58 02,,4.2,34.0
90,Inmobiliaria - ASINMCOR (asesores inmobiliarios de Córdoba),"C. Ángela Romero de Torres, 4, local, Levante, 14010 Córdoba, Spain",+34 744 64 82 97,http://www.asinmcor.com/,5.0,8.0
91,Casas de Andalucía Inmobiliaria,"C. Hermano Juan Fernández, Levante, 14014 Córdoba, Spain",+34 957 07 86 96,https://www.casasdeandaluciainmobiliaria.com/,4.1,34.0
92,Gestiones JSA,"C. de los Reyes Católicos, 2, Centro, 14001 Córdoba, Spain",+34 685 11 26 17,https://gestionesjsa.es/,4.8,28.0
93,Arabelia inmobiliaria,"C. Úbeda, 19, Sur, 14013 Córdoba, Spain",+34 957 24 98 59,http://www.arabelia.com/,4.2,40.0
94,Tecnocasa agencia inmobiliaria,"Av. Granada, 14, local, Sur, 14009 Córdoba, Spain",+34 957 83 87 64,https://cordoba9.tecnocasa.es/,4.9,75.0
95,Inmobiliaria Buscopisos,"C. Úbeda, 15, Sur, 14013 Córdoba, Spain",+34 633 91 51 14,https://www.buscopisos.es/,4.7,13.0
96,Parcesur Gestiones Inmobiliarias,"inmobiliaria parcesur, urb: altos del castillo, s/n, 14005 Córdoba, Spain",+34 621 23 89 68,https://www.parcesur.es/,4.9,48.0
97,Inmobiliaria Arroyo del Moro | Noreña | Hipercor | Tucasacórdoba,"Gta. Amadora, 2, Noroeste, 14011 Córdoba, Spain",+34 957 39 05 14,https://www.tucasacordoba.com/,4.5,8.0
98,Inmobiliaria Buscopisos,"Plaza de la Marina Española, 38, Noroeste, 14011 Córdoba, Spain",+34 669 94 30 12,http://www.buscopisos.es/,4.8,66.0
99,Inversiones Inmobiliarias Jurado Salces Sl,"C. Manuel de la Haba ""Zurito"", 7, 4-D, Poniente Sur, 14004 Córdoba, Spain",+34 665 61 83 67,http://www.inmobiliariasjurado.es/,5.0,13.0
100,Tecnocasa agencia inmobiliaria,"Glorieta Cdad. de Córdoba, 0, 1 esc 7 local, Sur, 14013 Córdoba, Spain",+34 957 96 67 68,https://cordoba16.tecnocasa.es/,5.0,21.0
101,Home For Sale,"C. Málaga, nº 4, 4º D, Centro, 14003 Córdoba, Spain",+34 957 08 59 19,,4.7,65.0
102,1 TECNOCASA CIUDAD JARDIN CORDOBA,"C. Alcalde Sanz Noguer, 38, local 4, Poniente Sur, 14005 Córdoba, Spain",+34 957 04 21 85,https://cordoba15.tecnocasa.es/,5.0,73.0
103,FyG Servicios Inmobiliarios,"C. Tomás de Aquino, 12, Poniente Sur, 14004 Córdoba, Spain",+34 957 19 46 26,https://www.fygrealestate.com/,4.7,12.0
104,Inmobiliaria Albasur (Oficina Ciudad Jardín),"C. Alcalde Sanz Noguer, 31, bajo b, Poniente Sur, 14005 Córdoba, Spain",+34 957 49 66 00,http://www.inmobiliariaalbasur.com/,3.4,21.0
105,Eva Crespo Personal Shopper Inmobiliario,,+34 615 29 93 86,https://www.nadira.es/,4.8,20.0
106,Inmobiliaria Arabelia,"Av. de Barcelona, 8, Levante, 14010 Córdoba, Spain",+34 957 25 30 43,http://www.arabelia.com/,4.0,51.0
107,Inmovida,"Av. Granada, Av. de Barcelona, local 5, Levante, 14009 Córdoba, Spain",+34 622 02 91 36,http://www.inmo-vida.es/,4.6,21.0
108,Inmobiliaria Gago,"Av. de Manolete, 15, Poniente Sur, 14005 Córdoba, Spain",+34 957 23 81 00,http://gagoinmobiliaria.com/,3.4,29.0
109,Inmo del Sur,"Numero, C. Juan Carandell, 8, 14940 Cabra, Córdoba, Spain",+34 654 54 13 63,http://www.inmodelsur.es/,4.9,140.0
111,Inmocordoba,"C. Conde de Torres Cabrera, 9, Centro, 14001 Córdoba, Spain",+34 957 49 68 68,http://www.inmocordoba.net/,5.0,3.0
112,Fermín Gallardo Inmobiliarios,"Calle Dra Matilde Montoya, 12, 14011 Córdoba, Spain",+34 650 19 60 72,http://www.fermingallardo.com/,4.9,147.0
113,Stylo10 Reformas en Córdoba e Inmobiliaria,"C. Cruz Conde, 19, 2 planta 1, Centro, 14001 Córdoba, Spain",+34 957 62 17 24,https://stylo10.com/,5.0,86.0
114,Ikesa Inmobiliaria - Córdoba,"Centro de negocios los Azahares, Av. Guerrita, s/nº, 1ª planta, Local 8, Poniente Sur, 14005 Córdoba, Spain",+34 667 69 36 42,https://www.ikesainmobiliaria.es/,4.9,14.0
115,Cano Infante Inmobiliaria | Real Estate,"Av. Arroyo del Moro, 14, LOCAL 1, Noroeste, 14011 Córdoba, Spain",+34 957 08 88 44,http://www.canoinfante.com/,5.0,69.0
116,InmoForward,"C. Blvr. Hernán Ruiz, Poniente Sur, 14005 Córdoba, Spain",+34 611 17 05 13,http://www.inmoforward.com/,5.0,25.0
117,Inmobiliaria Barin,"C. Manuel Fuentes ""Bocanegra"", 9, Poniente Sur, 14005 Córdoba, Spain",+34 957 45 07 06,https://www.inmobiliariabarin.com/,4.3,35.0
118,HOLA ! MEDINA,"C. Marqués de Boïl, 5, 2 Drcha, Centro, 14008 Córdoba, Spain",+34 857 80 75 55,https://www.holaspain.es/oficina/hola-medina,5.0,31.0
119,Inmobiliaria Forte,"Av. Granada, 8, Local, Sur, 14009 Córdoba, Spain",+34 957 39 06 48,http://www.inmobiliariaforte.es/,4.5,79.0
120,Inmobiliaria Forte,"C. de Damasco, 1, Local, Poniente Sur, 14004 Córdoba, Spain",+34 957 39 12 38,http://www.inmobiliariaforte.es/,4.8,42.0
121,Encassa Inmobiliaria,"C. Cruz Conde, 14, Centro, 14003 Córdoba, Spain",+34 957 40 48 58,http://encassa.es/,5.0,18.0
122,GSM INMOBILIARIA,"C. Marqués de Boïl, nº5, 1planta, Centro, 14008 Córdoba, Spain",+34 957 10 76 30,,5.0,26.0
123,Varona Home Inmobiliaria,"Av. de Medina Azahara, 47, Poniente Sur, 14005 Córdoba, Spain",+34 614 38 39 93,https://varona-home.pro.inmogesco.com/,4.6,28.0
124,OcasionCasa,"C. María la Talegona, 7, Poniente Nte., 14005 Córdoba, Spain",+34 957 08 14 27,http://www.ocasioncasa.com/,4.5,40.0
125,Ananda Inmobiliaria,"Pintor Torrado, 5, Nte. Sierra, 14006 Córdoba, Spain",+34 611 73 10 40,https://www.anandainmobiliaria.com/,4.9,18.0
126,Inmobiliaria Santa Rosa | Tucasacórdoba,"C. Sta. Rosa, 6, Nte. Sierra, 14006 Córdoba, Spain",+34 957 08 97 97,https://www.tucasacordoba.com/oficina-santa-rosa-2/,4.5,91.0
127,Santa Rosa Valdeolleros Agencia inmobiliaria,"C. Don Lope de los Ríos, 2, Local, Nte. Sierra, 14006 Córdoba, Spain",+34 651 99 60 95,https://inmobiliariasantarosa.es/,4.9,15.0
128,INMOBILIARIA TU PISO,"C. Centro de Salud, locales de oficina 1º1, Poniente Nte., 14005 Córdoba, Spain",+34 957 24 24 60,http://www.inmobiliariatupiso.es/,5.0,5.0
