,name,address,international_phone_number,url,rating,reviews_count
0,Inmobiliaria en Córdoba | Inmobiliaria Joaquín,"finlandia M-E2, 14014 Córdoba, España",+34 957 08 29 76,https://inmobiliariajoaquin.es/?utm_source=gmb&utm_medium=click&utm_campaign=ficha_gmb_finlandia,4.8,102.0
1,Inmobiliaria Fátima | Tucasacórdoba,"Av. Virgen de Fátima, 30, Levante, 14014 Córdoba, España",+34 957 39 33 99,https://www.tucasacordoba.com/oficina-fatima/,4.7,71.0
2,Inmobiliaria Gestiurban,,+34 744 63 13 50,https://www.inmobiliariagestiurban.com/,4.8,77.0
3,inmobiliaria Casabel,"Av. de Carlos III, 28, Levante, 14014 Córdoba, España",+34 622 25 89 79,https://www.casabel.es/,4.8,44.0
4,Parcesur Gestiones Inmobiliarias. S.L.,"C. de Damasco, 4, Poniente Sur, 14005 Córdoba, España",+34 621 23 89 68,https://www.parcesur.es/,4.6,210.0
5,Navisur inmobiliaria,"Av. de Carlos III, 34, Levante, 14014 Córdoba, España",+34 957 76 49 04,http://www.navisurinmobiliaria.es/,3.8,61.0
6,Ideal Inmobiliarias | Ciudad Jardín Inmobiliaria,"C. Decano Fernández de Castillejo, 1, Poniente Sur, 14004 Córdoba, España",+34 687 63 42 29,https://idealinmobiliaria.es/,4.9,141.0
7,Casas de Andalucía Inmobiliaria,"C. Hermano Juan Fernández, Levante, 14014 Córdoba, España",+34 957 07 86 96,https://www.casasdeandaluciainmobiliaria.com/,4.1,34.0
8,Inmobiliaria Sagunto,"C. Platero Repiso, 4, Levante, 14010 Córdoba, España",+34 722 51 81 78,https://www.fotocasa.es/es/inmobiliaria-inmobiliaria-sagunto/comprar/inmuebles/espana/todas-las-zonas/l?clientId=9202768363193,5.0,11.0
9,Redondo inmobiliaria,"C. Platero Repiso, 12, Levante, 14010 Córdoba, España",+34 681 22 35 43,http://www.inmoredondo.es/,5.0,30.0
10,Inmobiliaria Séneca,"Calle Historiador Díaz del Moral, C. Morería, 1, Local Esquina, Centro, 14008 Córdoba, España",+34 957 95 80 65,https://www.inmobiliariaseneca.es/,4.6,107.0
11,GRUPOFATIMA,"Av. Virgen de Fátima, 36, Levante, 14014 Córdoba, España",+34 662 49 03 97,http://grupofatima.es/,5.0,24.0
12,RTC Inmobiliaria,"C. Gabriel Ramos Bejarano, 113, nave 16B, 14014 Córdoba, España",+34 857 80 68 43,http://www.rtc2005.es/,3.8,16.0
13,Inmobiliaria Levante | Tucasacórdoba,"Av. de Barcelona, 11, Levante, 14010 Córdoba, España",+34 900 929 888,https://www.tucasacordoba.com/oficina-levante/,4.7,218.0
14,Inmobiliaria JOTA en Jesus Rescatado Sagunto Edisol Cairo Cañero Av Barcelona Casco Historico,"Av. de Jesús Rescatado, 3, Levante, 14007 Córdoba, España",+34 613 03 24 60,https://www.fotocasa.es/es/inmobiliaria-inmobiliaria-jota/comprar/inmuebles/espana/todas-las-zonas/l?clientId=9202772017110,5.0,30.0
15,Sócialcasa Inmobiliaria Ciudad Jardín,"C. Alcalde Sanz Noguer, 13, Poniente Sur, 14005 Córdoba, España",+34 656 31 14 70,http://www.socialcasa.es/,4.9,680.0
16,Azalea Homes Inmobiliaria,"C. Platero Pedro de Bares, 39, Levante, 14007 Córdoba, España",+34 957 92 72 00,http://www.azaleahomes.es/,4.9,106.0
17,Inmobiliaria La Hontanilla,"C. Santo Domingo Savio, 1, Centro, 14002 Córdoba, España",+34 601 17 28 17,http://www.inmobiliarialahontanilla.com/,4.8,74.0
18,Inmobiliaria Buscopisos,"C. Cam. de la Barca, Sureste, 14010 Córdoba, España",+34 647 37 43 88,http://www.buscopisos.es/,4.8,45.0
19,Inmobiliaria en Córdoba | Inmobiliaria Joaquin,"Av. de Jesús Rescatado, 1, Levante, 14010 Córdoba, España",+34 957 82 30 00,https://inmobiliariajoaquin.es/?utm_source=gmb&utm_medium=click&utm_campaign=ficha_gmb_jesus,4.6,66.0
20,OcasionCasa | Inmobiliaria,"Av. del Cairo, 2, Levante, 14014 Córdoba, España",+34 607 03 56 88,https://www.ocasioncasa.com/,4.8,118.0
21,Habitacor Servicios Inmobiliarios,"C. Sevilla, 8, Centro, 14003 Córdoba, España",+34 627 44 50 70,http://habitacor.com/,4.9,159.0
22,Inmobiliaria en Córdoba Mi Manzana,"C. del Doce de Octubre, 8, 1º, Centro, 14001 Córdoba, España",+34 957 05 13 08,http://www.mimanzanainmobiliaria.com/,4.8,118.0
23,Clabarni Gestiones Inmobiliarias,,+34 680 63 36 43,,5.0,19.0
24,Habitaria.net Inmobiliaria en Córdoba,"C. Luis Valenzuela, 12, Levante, 14007 Córdoba, España",+34 957 83 59 12,http://www.habitaria.net/,5.0,46.0
25,Inmobiliaria Albasur (Oficina Fátima),"Av. Virgen de Fátima, 23, Levante, 14014 Córdoba, España",+34 957 43 11 13,http://www.inmobiliariaalbasur.com/,4.1,15.0
26,Inmobiliaria Vistabrezo,"C. Caño, 10, Centro, 14001 Córdoba, España",+34 957 81 18 00,http://www.vistabrezo.com/,4.6,153.0
27,INMOBILIARIA CARLOS PRIEGO,"Av. Ronda de los Tejares, 26, 3º-1, Centro, 14001 Córdoba, España",+34 625 96 64 75,http://www.carlospriego.es/,4.9,71.0
28,Stylo10 Reformas en Córdoba e Inmobiliaria,"C. Cruz Conde, 19, 2 planta 1, Centro, 14001 Córdoba, España",+34 957 62 17 24,https://stylo10.com/,5.0,86.0
29,Domus Córdoba Inmobiliaria - Viñuela,"Av. de la Viñuela, 2, Levante, 14010 Córdoba, España",+34 722 32 09 57,https://www.domuscordoba.com/,5.0,16.0
30,Kieropiso Córdoba,,+34 957 03 39 85,http://www.kieropisocordoba.com/index.php,4.8,18.0
31,Inmobiliaria CAPITAN,"C. Cruz Conde, 12, 1°, Centro, 14003 Córdoba, España",+34 957 47 25 59,https://www.inmobiliariacapitan.es/,4.8,165.0
32,Encassa Inmobiliaria,"C. Cruz Conde, 14, Centro, 14003 Córdoba, España",+34 957 40 48 58,http://encassa.es/,5.0,18.0
33,Ananda Inmobiliaria,"Pintor Torrado, 5, Nte. Sierra, 14006 Córdoba, España",+34 611 73 10 40,https://www.anandainmobiliaria.com/,4.9,18.0
34,Inmobiliaria Zona Sur | TucasaCórdoba,"Av. de Cádiz, 59, Sur, 14009 Córdoba, España",+34 957 07 70 00,https://www.tucasacordoba.com/oficina-sector-sur/,4.6,83.0
35,Fénix Inmobiliaria Córdoba,"C. Caravaca de la Cruz, 15, Levante, 14007 Córdoba, España",+34 744 65 87 47,https://www.fenix-inmobiliaria.com/,4.9,30.0
36,Poslo Inversiones,"C. Gema, 10, 14014 Córdoba, España",+34 605 81 29 90,https://www.grupoposlo.com/,4.2,44.0
37,Mila Sanz Inmobiliaria,"C. Serbal, 14012 Córdoba, España",+34 615 08 82 67,http://milasanz.es/,5.0,20.0
38,Ideal Inmobiliaria,"Av. del Gran Capitán, 20, 2ºB, Centro, 14001 Córdoba, España",+34 637 53 50 47,https://idealinmobiliaria.es/,5.0,47.0
39,Inmocodix Soluciones Inmobiliarias,"C. Sevilla, 2, 3º3, Centro, 14003 Córdoba, España",+34 690 15 82 10,http://inmocodix.com/,4.7,124.0
40,Alma Homes pisos con Alma,"Av. del Gran Capitán, 28, 3 Planta, Centro, 14001 Córdoba, España",+34 611 62 72 64,http://www.pisosconalma.es/,5.0,107.0
41,Tecnocasa agencia inmobiliaria,"Av. Virgen de Fátima, 44, Levante, 14014 Córdoba, España",+34 957 94 19 79,https://cordoba6.tecnocasa.es/,4.5,74.0
42,Santa Rosa Valdeolleros Agencia inmobiliaria,"C. Don Lope de los Ríos, 2, Local, Nte. Sierra, 14006 Córdoba, España",+34 651 99 60 95,https://inmobiliariasantarosa.es/,4.9,15.0
43,Inmobiliaria Albasur (Oficina Pretorio),"Av. Llanos del Pretorio, 1, loc. 17, Noroeste, 14006 Córdoba, España",+34 957 04 98 21,https://www.inmobiliariaalbasur.com/,4.7,15.0
44,Inmobiliaria Concepción,"Av. Virgen de Fátima, 25, Levante, 14014 Córdoba, España",+34 957 43 42 60,http://www.apiconcepcion.com/,3.0,4.0
45,Corduba Inmobiliaria,"C. Platero Pedro de Bares, 47, local, Levante, 14007 Córdoba, España",+34 634 70 72 22,https://www.cordubainmobiliaria.es/,4.8,20.0
46,May Moure Inmobiliaria,"Pl. de San Miguel, Centro, 14002 Córdoba, España",+34 685 58 28 87,https://www.maymoureinmobiliariacordoba.es/,5.0,10.0
47,Domus Córdoba Inmobiliaria,"Av. del Gran Capitán, 2, 2º Derecha, Centro, 14008 Córdoba, España",+34 636 18 32 40,http://www.domuscordoba.com/,4.6,72.0
48,Inmobiliaria Santa Rosa | Tucasacórdoba,"C. Sta. Rosa, 6, Nte. Sierra, 14006 Córdoba, España",+34 957 08 97 97,https://www.tucasacordoba.com/oficina-santa-rosa-2/,4.5,91.0
49,Solvia Inmobiliaria Córdoba,"C. del Doce de Octubre, 17, CENTRO, Centro, 14001 Córdoba, España",+34 957 81 04 90,http://www.solviacordobainmo.com/,4.9,38.0
50,BLUE INMOBILIARIA,"Av. Ronda de los Tejares, 32, Acceso 1, 5ª Planta, Oficina 152, Centro, 14001 Córdoba, España",+34 957 11 51 11,http://www.blueinmobiliaria.com/,4.7,54.0
51,Inmobiliaria Califal,"Av. Arroyo del Moro, 12, Noroeste, 14011 Córdoba, España",+34 957 46 62 44,http://www.inmobiliariascalifal.com/,4.7,109.0
52,Bella Córdoba Real Estate,"Calle Eduardo Lucena, 5, Centro, 14008 Córdoba, España",+34 957 04 01 94,http://www.bellacordoba.es/,4.9,58.0
53,Eva Crespo Personal Shopper Inmobiliario,,+34 615 29 93 86,https://www.nadira.es/,4.8,20.0
54,RK Casas Para Vivir,"Av. Al-Nasir, 3, 3-1, Nte. Sierra, 14006 Córdoba, España",+34 957 10 06 00,http://www.casasparavivir.es/,5.0,449.0
55,OcasiónCasa Calahorra | Inmobiliaria,"Av. de Cádiz, 19, Sur, 14009 Córdoba, España",+34 957 82 28 22,https://www.ocasioncasa.com/,4.9,87.0
56,Inmobiliaria ZURITA INMOBILARIOS,"C. Escultor Martínez Cerrillo, 1, Nte. Sierra, 14012 Córdoba, España",+34 615 11 69 07,https://www.zuritainmobiliarios.com/,5.0,20.0
57,Inmobiliaria Arabelia,"Av. de Barcelona, 8, Levante, 14010 Córdoba, España",+34 957 25 30 43,http://www.arabelia.com/,4.0,51.0
58,Inmobiliaria PorBer,"C. Acera Fuente de la Salud, 15, Nte. Sierra, 14006 Córdoba, España",+34 678 57 14 51,http://www.inmobiliariaporber.com/,4.7,53.0
59,Home For Sale,"C. Málaga, nº 4, 4º D, Centro, 14003 Córdoba, España",+34 957 08 59 19,,4.7,65.0
60,Inmobiliaria Queen Home,,+34 616 24 56 27,https://www.facebook.com/QueenHomeInmobiliaria,4.9,173.0
61,Inmobiliaria Buscopisos,"C. Úbeda, 15, Sur, 14013 Córdoba, España",+34 633 91 51 14,https://www.buscopisos.es/,4.7,13.0
63,Arabelia inmobiliaria,"C. Úbeda, 19, Sur, 14013 Córdoba, España",+34 957 24 98 59,http://www.arabelia.com/,4.2,40.0
68,Sócialcasa Inmobiliaria Vistalegre,"Av. del Aeropuerto, 7, Poniente Sur, 14004 Córdoba, España",+34 634 77 48 21,http://www.socialcasa.es/,5.0,285.0
69,Inmobiliaria Ciudad Jardín | Tucasacórdoba,"C. Alcalde Sanz Noguer, 1, Poniente Sur, 14004 Córdoba, España",+34 957 19 36 44,https://www.tucasacordoba.com/oficina-ciudad-jardin/,4.8,123.0
73,Tecnocasa agencia inmobiliaria,"Glorieta Cdad. de Córdoba, 0, 1 esc 7 local, Sur, 14013 Córdoba, España",+34 957 96 67 68,https://cordoba16.tecnocasa.es/,5.0,21.0
79,Doble Ele Mediacion Inmobiliaria S L,"Av. de la Arruzafa, 2, Nte. Sierra, 14012 Córdoba, España",+34 957 49 61 85,http://www.doblele.com/,4.7,31.0
80,Inmobiliaria Buscopisos,"Plaza de la Marina Española, 38, Noroeste, 14011 Córdoba, España",+34 669 94 30 12,http://www.buscopisos.es/,4.8,66.0
81,INMOBILIARIA ALKAZACOR,"Pje. José Flores ""Cámara"", Poniente Sur, 14005 Córdoba, España",+34 685 46 92 24,http://inmob15934.client.inmofactory.com/,4.8,35.0
86,C,"C. Úbeda, 10, Sur, 14013 Córdoba, España",,,5.0,9.0
87,Inmobiliaria Albasur (Oficina Sector Sur),"C. Úbeda, 10, Sur, 14003 Córdoba, España",+34 957 04 92 44,http://www.inmobiliariaalbasur.com/,4.1,48.0
88,Tecnocasa agencia inmobiliaria,"Av. Granada, 14, local, Sur, 14009 Córdoba, España",+34 957 83 87 64,https://cordoba9.tecnocasa.es/,4.9,75.0
