name;address;international_phone_number;url;rating;reviews_count;Column1;_1
C;C. Úbeda, 10, Sur, 14013 Córdoba, España;;;50;90;;
Inmobiliaria MM;C. Morería, 2, Centro, 14008 Córdoba, España;;;30;20;;
Kapital.casa;Av. de América, 11, Centro, 14008 Córdoba, España;;http://kapital.casa/;48;60;;
Inmobiliaria La Hontanilla;C. Santo Domingo Savio, 1, Centro, 14002 Córdoba, España;+34 601 17 28 17;http://www.inmobiliarialahontanilla.com/;48;740;;
Innovación Inmobiliaria Multiservicios;Av. Gran Vía Parque, 41, Poniente Sur, 14005 Córdoba, España;+34 603 21 87 97;;48;200;;
Poslo Inversiones;C. Gema, 10, 14014 Córdoba, España;+34 605 81 29 90;https://www.grupoposlo.com/;42;440;;
HomeConsulting Córdoba;Calle Conde de Robledo, 4, 5º 1, Centro, 14008 Córdoba, España;+34 607 03 08 36;http://www.homeconsulting.es/;46;100;;
OcasionCasa | Inmobiliaria;Av. del Cairo, 2, Levante, 14014 Córdoba, España;+34 607 03 56 88;https://www.ocasioncasa.com/;48;1180;;
InmoForward;C. Blvr. Hernán Ruiz, Poniente Sur, 14005 Córdoba, España;+34 611 17 05 13;http://www.inmoforward.com/;50;250;;
Alma Homes pisos con Alma;Av. del Gran Capitán, 28, 3 Planta, Centro, 14001 Córdoba, España;+34 611 62 72 64;http://www.pisosconalma.es/;50;1070;;
Ananda Inmobiliaria;Pintor Torrado, 5, Nte. Sierra, 14006 Córdoba, España;+34 611 73 10 40;https://www.anandainmobiliaria.com/;49;180;;
Inmobiliaria JOTA en Jesus Rescatado Sagunto Edisol Cairo Cañero Av Barcelona Casco Historico;Av. de Jesús Rescatado, 3, Levante, 14007 Córdoba, España;+34 613 03 24 60;https://www.fotocasa.es/es/inmobiliaria-inmobiliaria-jota/comprar/inmuebles/espana/todas-las-zonas/l?clientId=9202772017110;50;300;;
Varona Home Inmobiliaria;Av. de Medina Azahara, 47, Poniente Sur, 14005 Córdoba, España;+34 614 38 39 93;https://varona-home.pro.inmogesco.com/;46;280;;
Mila Sanz Inmobiliaria;C. Serbal, 14012 Córdoba, España;+34 615 08 82 67;http://milasanz.es/;50;200;;
Inmobiliaria ZURITA INMOBILARIOS;C. Escultor Martínez Cerrillo, 1, Nte. Sierra, 14012 Córdoba, España;+34 615 11 69 07;https://www.zuritainmobiliarios.com/;50;200;;
Eva Crespo Personal Shopper Inmobiliario;;+34 615 29 93 86;https://www.nadira.es/;48;200;;
