,places
0,"{'nationalPhoneNumber': '656 31 14 70', 'internationalPhoneNumber': '+34 656 31 14 70', 'formattedAddress': 'C. Alcalde Sanz Noguer, 13, Poniente Sur, 14005 Córdoba, Spain', 'rating': 4.9, 'websiteUri': 'http://www.socialcasa.es/', 'userRatingCount': 679, 'displayName': {'text': 'Sócialcasa Inmobiliaria Ciudad Jardín', 'languageCode': 'es'}}"
1,"{'nationalPhoneNumber': '687 63 42 29', 'internationalPhoneNumber': '+34 687 63 42 29', 'formattedAddress': 'C. Decano Fernández de Castillejo, 1, Poniente Sur, 14004 Córdoba, Spain', 'rating': 4.9, 'websiteUri': 'https://idealinmobiliaria.es/', 'userRatingCount': 141, 'displayName': {'text': 'Ideal Inmobiliarias | Ciudad Jardín Inmobiliaria', 'languageCode': 'es'}}"
2,"{'nationalPhoneNumber': '957 10 06 00', 'internationalPhoneNumber': '+34 957 10 06 00', 'formattedAddress': 'Av. Al-Nasir, 3, 3-1, Nte. Sierra, 14006 Córdoba, Spain', 'rating': 5, 'websiteUri': 'http://www.casasparavivir.es/', 'userRatingCount': 448, 'displayName': {'text': 'RK Casas Para Vivir', 'languageCode': 'es'}}"
3,"{'nationalPhoneNumber': '957 05 13 08', 'internationalPhoneNumber': '+34 957 05 13 08', 'formattedAddress': 'C. del Doce de Octubre, 8, 1º, Centro, 14001 Córdoba, Spain', 'rating': 4.8, 'websiteUri': 'http://www.mimanzanainmobiliaria.com/', 'userRatingCount': 118, 'displayName': {'text': 'Inmobiliaria en Córdoba Mi Manzana', 'languageCode': 'es'}}"
4,"{'nationalPhoneNumber': '957 83 59 12', 'internationalPhoneNumber': '+34 957 83 59 12', 'formattedAddress': 'C. Luis Valenzuela, 12, Levante, 14007 Córdoba, Spain', 'rating': 5, 'websiteUri': 'http://www.habitaria.net/', 'userRatingCount': 46, 'displayName': {'text': 'Habitaria.net Inmobiliaria en Córdoba', 'languageCode': 'es'}}"
5,"{'nationalPhoneNumber': '957 95 80 65', 'internationalPhoneNumber': '+34 957 95 80 65', 'formattedAddress': 'Calle Historiador Díaz del Moral, C. Morería, 1, Local Esquina, Centro, 14008 Córdoba, Spain', 'rating': 4.6, 'websiteUri': 'https://www.inmobiliariaseneca.es/', 'userRatingCount': 107, 'displayName': {'text': 'Inmobiliaria Séneca', 'languageCode': 'es'}}"
6,"{'nationalPhoneNumber': '650 19 60 72', 'internationalPhoneNumber': '+34 650 19 60 72', 'formattedAddress': 'Calle Dra Matilde Montoya, 12, 14011 Córdoba, Spain', 'rating': 4.9, 'websiteUri': 'http://www.fermingallardo.com/', 'userRatingCount': 147, 'displayName': {'text': 'Fermín Gallardo Inmobiliarios', 'languageCode': 'es'}}"
7,"{'nationalPhoneNumber': '634 77 48 21', 'internationalPhoneNumber': '+34 634 77 48 21', 'formattedAddress': 'Av. del Aeropuerto, 7, Poniente Sur, 14004 Córdoba, Spain', 'rating': 5, 'websiteUri': 'http://www.socialcasa.es/', 'userRatingCount': 285, 'displayName': {'text': 'Sócialcasa Inmobiliaria Vistalegre', 'languageCode': 'es'}}"
8,"{'nationalPhoneNumber': '957 81 18 00', 'internationalPhoneNumber': '+34 957 81 18 00', 'formattedAddress': 'C. Caño, 10, Centro, 14001 Córdoba, Spain', 'rating': 4.6, 'websiteUri': 'http://www.vistabrezo.com/', 'userRatingCount': 153, 'displayName': {'text': 'Inmobiliaria Vistabrezo', 'languageCode': 'es'}}"
9,"{'nationalPhoneNumber': '957 47 25 59', 'internationalPhoneNumber': '+34 957 47 25 59', 'formattedAddress': 'C. Cruz Conde, 12, 1°, Centro, 14003 Córdoba, Spain', 'rating': 4.8, 'websiteUri': 'https://www.inmobiliariacapitan.es/', 'userRatingCount': 165, 'displayName': {'text': 'Inmobiliaria CAPITAN', 'languageCode': 'es'}}"
10,"{'nationalPhoneNumber': '957 62 17 24', 'internationalPhoneNumber': '+34 957 62 17 24', 'formattedAddress': 'C. Cruz Conde, 19, 2 planta 1, Centro, 14001 Córdoba, Spain', 'rating': 5, 'websiteUri': 'https://stylo10.com/', 'userRatingCount': 86, 'displayName': {'text': 'Stylo10 Reformas en Córdoba e Inmobiliaria', 'languageCode': 'es'}}"
11,"{'nationalPhoneNumber': '957 46 62 44', 'internationalPhoneNumber': '+34 957 46 62 44', 'formattedAddress': 'Av. Arroyo del Moro, 12, Noroeste, 14011 Córdoba, Spain', 'rating': 4.7, 'websiteUri': 'http://www.inmobiliariascalifal.com/', 'userRatingCount': 109, 'displayName': {'text': 'Inmobiliaria Califal', 'languageCode': 'en'}}"
12,"{'nationalPhoneNumber': '690 15 82 10', 'internationalPhoneNumber': '+34 690 15 82 10', 'formattedAddress': 'C. Sevilla, 2, 3º3, Centro, 14003 Córdoba, Spain', 'rating': 4.7, 'websiteUri': 'http://inmocodix.com/', 'userRatingCount': 124, 'displayName': {'text': 'Inmocodix Soluciones Inmobiliarias', 'languageCode': 'es'}}"
13,"{'nationalPhoneNumber': '616 24 56 27', 'internationalPhoneNumber': '+34 616 24 56 27', 'rating': 4.9, 'websiteUri': 'https://www.facebook.com/QueenHomeInmobiliaria', 'userRatingCount': 172, 'displayName': {'text': 'Inmobiliaria Queen Home', 'languageCode': 'es'}}"
14,"{'nationalPhoneNumber': '957 19 36 44', 'internationalPhoneNumber': '+34 957 19 36 44', 'formattedAddress': 'C. Alcalde Sanz Noguer, 1, Poniente Sur, 14004 Córdoba, Spain', 'rating': 4.8, 'websiteUri': 'https://www.tucasacordoba.com/oficina-ciudad-jardin/', 'userRatingCount': 123, 'displayName': {'text': 'Inmobiliaria Ciudad Jardín | Tucasacórdoba', 'languageCode': 'es'}}"
15,"{'nationalPhoneNumber': '627 44 50 70', 'internationalPhoneNumber': '+34 627 44 50 70', 'formattedAddress': 'C. Sevilla, 8, Centro, 14003 Córdoba, Spain', 'rating': 4.9, 'websiteUri': 'http://habitacor.com/', 'userRatingCount': 159, 'displayName': {'text': 'Habitacor Servicios Inmobiliarios', 'languageCode': 'es'}}"
16,"{'nationalPhoneNumber': '636 18 32 40', 'internationalPhoneNumber': '+34 636 18 32 40', 'formattedAddress': 'Av. del Gran Capitán, 2, 2º Derecha, Centro, 14008 Córdoba, Spain', 'rating': 4.6, 'websiteUri': 'http://www.domuscordoba.com/', 'userRatingCount': 72, 'displayName': {'text': 'Domus Córdoba Inmobiliaria', 'languageCode': 'es'}}"
17,"{'nationalPhoneNumber': '654 06 66 33', 'internationalPhoneNumber': '+34 654 06 66 33', 'formattedAddress': 'Av. de Cervantes, 6, Centro, 14008 Córdoba, Spain', 'rating': 4.9, 'websiteUri': 'https://inmocampo.com/?utm_source=GMB&utm_medium=local&utm_campaign=fincas_rusticas_cordoba', 'userRatingCount': 123, 'displayName': {'text': 'InmoCampo', 'languageCode': 'es'}}"
18,"{'nationalPhoneNumber': '601 17 28 17', 'internationalPhoneNumber': '+34 601 17 28 17', 'formattedAddress': 'C. Santo Domingo Savio, 1, Centro, 14002 Córdoba, Spain', 'rating': 4.8, 'websiteUri': 'http://www.inmobiliarialahontanilla.com/', 'userRatingCount': 74, 'displayName': {'text': 'Inmobiliaria La Hontanilla', 'languageCode': 'es'}}"
19,"{'nationalPhoneNumber': '611 62 72 64', 'internationalPhoneNumber': '+34 611 62 72 64', 'formattedAddress': 'Av. del Gran Capitán, 28, 3 Planta, Centro, 14001 Córdoba, Spain', 'rating': 5, 'websiteUri': 'http://www.pisosconalma.es/', 'userRatingCount': 107, 'displayName': {'text': 'Alma Homes pisos con Alma', 'languageCode': 'es'}}"
