name,address,international_phone_number,url,rating,reviews_count,language
Agencia InmoVillasJavea,"Avinguda Augusta, 22, Bajo 7, 03738 Badia de Xàbia, Alicante, España",+34 966 46 00 33,https://www.inmovillasjavea.com/,4.8,60,es
Atina inmobiliaria Javea,"Carrer Venecia, 2, 03738 Xàbia, Alicante, España",+34 966 46 11 28,http://atinainmobiliaria.com/,5.0,171,es
Euro Jávea,"Plaza Presidente, Pl. Adolfo Suarez, 9, 03730 Xàbia, Alicante, España",+34 650 68 60 79,https://www.eurojavea.com/,4.8,171,es
Javea Continental,"Av. Rey Jaime I, 11, 03730 Jávea, Alicante, España",+34 965 79 63 66,http://www.javeacontinental.com/,4.6,15,es
Vicens Ash Properties,"Carretera, Pla 137 bajo, 03730 Cap de la Nau, Alicante, España",+34 966 46 16 43,https://www.vicensash.com/,4.8,93,es
Xabiga Inmobiliaria,"C. Santísimo Cristo del Mar, 33, 03730 Jávea, Alicante, España",+34 609 66 22 02,http://www.xabiga.com/,4.2,36,es
Vive Jávea,"Av. dels Furs, 03730 Jávea, Alicante, España",+34 613 36 93 62,http://www.vivejavea.com/,5.0,89,es
Crown Properties,"Javea Park, Avinguda de Paris, 2, Bloque 1-1a, 03730 Xàbia, Alicante, España",+34 691 22 50 70,http://www.crown-property.com/,4.8,81,es
Moraguespons Mediterranean Houses,"nº, D'Ausius March, 13, 03730 Jávea, Alicante, España",+34 965 79 39 42,http://www.moraguespons.com/,4.7,44,es
Lucas Fox,"Pl. Adolfo Suarez, 23, bajo, 03730 Jávea, Alicante, España",+34 965 79 33 63,https://www.lucasfox.com/offices/jav.html,5.0,41,es
MG Villas Luxury Property,"Av. de la Llibertad, 11, Local 11, 03730 Jávea, Alicante, España",+34 965 77 06 99,https://www.mgvillas.com/?utm_source=GMB&utm_medium=google-my-business&utm_campaign=Google+My+Business,4.9,109,es
Arzuaga,"Calle Rda. Nte., 11, 03730 Jávea, Alicante, España",+34 655 44 63 02,https://www.arzuagainmobiliaria.com/,4.8,21,es
New Home Javea,"Ctra. Cabo la Nao Placita, 126, local/office 2.05, 03730 Jávea, Alicante, España",+34 654 43 84 25,https://www.newhomejavea.com/,4.5,61,es
Javea Mia,"Ctra. del Cap de la Nau Pla, 130, 1.09, 03730 Xàbia, Alicante, España",+34 966 27 64 04,http://javeamia.com/,4.8,8,es
Costa Houses Luxury Villas,"Av. del Pla, 126 1° 26 · CCA, 03730 Xàbia, Alicante, España",+34 966 36 45 79,https://www.costa-houses.com/,4.9,133,es
New Life Property,"Av. de Lepanto, 7, 03730 Jávea, Alicante, España",+34 865 61 50 10,http://www.newlifepropertyspain.com/,4.6,31,es
Grupo García,"Carretera Cabo la Nao Pla, 122, 03730 Xàbia, Alicante, España",+34 966 48 24 80,https://grupo-garcia.es/,4.9,67,es
Molino Villas,"Av. Rey Jaime I, 17, 03730 Jávea, Alicante, España",+34 966 49 23 35,https://www.molinovillas.com/,4.8,18,es
Blue Square International Real Estate Javea,"Av. de la Llibertat, 12, 03730 Xàbia, Alicante, España",+34 966 46 00 60,https://www.blue-square.es/?utm_source=google&utm_medium=Google+Business+Profile+Javea,4.5,70,es
Rimontgó,"Av. de Lepanto, 1, 03730 Jávea, Alicante, España",+34 965 79 10 35,https://www.rimontgo.com/,4.8,49,es
Deluxe Homes Javea SL,"C. Mar de San Lorenzo, 1, 03730 Jávea, Alicante, España",+34 679 34 14 93,https://www.deluxehomesjavea.com/,5.0,34,es
Paradise Real Estate,"Playa Arenal, Avda. De La Libertad Bl. 5, Local 47C, 03730 Xàbia, Alicante, España",+34 966 47 25 95,https://www.paradiserealestate.co.uk/?utm_source=google&utm_medium=local&utm_campaign=Google%20Maps&utm_content=boton_web,4.6,65,es
