name,address,international_phone_number,url,rating,reviews_count
Inmobiliaria Casero Habitat,"Av. del País Valencià, 27, local 3, 03570 La Vila Joiosa, Alicante, España",+34 644 33 30 09,https://caserohabitat.com/,4.7,46.0
Inmobiliaria Jonia Estate,"Av. País Valencia, 12, bajo, 03570 Villajoyosa, Alicante, España",+34 630 48 18 02,http://www.joniaestate.com/,4.6,48.0
Vilahome Inmobiliaria By Marta,"Carrer Colón, 109, 03570 La Vila Joiosa, Alicante, España",+34 608 04 57 07,https://www.vilahomeinmobiliaria.com/es,4.8,63.0
MONICA HOUSES REAL ESTATE,"Av. de Benidorm, 46, 03570 La Vila Joiosa, Alicante, España",+34 604 40 50 51,https://www.monicahouses.com/,5.0,69.0
Inmobiliaria Plaça Major,"Carrer Pizarro, 11, Local 2, 03570 La Vila Joiosa, Alicante, España",+34 965 89 37 49,,5.0,10.0
Epihome agence immobilière francophone,"Carrer Cervantes, 22, 03570 La Vila Joiosa, Alicante, España",+34 966 32 14 88,http://www.epihome.com/,4.8,72.0
Agence immobilier Villajoyosa MASMARSEA,"C. Barranquet, 9, bajo, 03570 La Vila Joiosa, Alicante, España",+34 647 74 10 18,http://www.masmarsea.com/,4.1,36.0
Grupo II Inmobiliaria,"C. Barranquet, 2, 03570 La Vila Joiosa, Alicante, España",+34 609 15 55 18,http://www.grupo2inmo.es/,4.5,21.0
Class Inmobiliaria,"Carrer Colón, 20, bajo, 03570 La Vila Joiosa, Alicante, España",+34 619 16 58 08,http://www.classinmobiliaria.es/,4.7,14.0
La Vila Casas Real Estate,"Av. de Benidorm, 34, 03570 La Vila Joiosa, Alicante, España",+34 623 18 38 86,https://www.lavilacasas.com/,4.8,32.0
InmoJonense,"C. Huit de Maig, 3, Local 7, 03570 La Vila Joiosa, Alicante, España",+34 965 89 04 49,http://www.inmojonense.com/,4.2,31.0
Paradise Property Spain,"Urb. Sainvi, Partida Paraíso, 44, Torre, 3, local 4 D, 03570 La Vila Joiosa, Alicante, España",+34 678 80 94 37,http://paradisepropertyspain.com/,5.0,50.0
EUROCASAS CONSULTING SL,"Carrer Colón, 99, 03570 La Vila Joiosa, Alicante, España",+34 966 05 24 22,http://www.eurocasasconsulting.com/,4.8,41.0
Araestate Inmobiliaria,"Av. Rosa dels Vents, 5, Local 2A, 03570 Benidorm, Alicante, España",+34 603 15 35 44,http://araestate.com/,4.5,26.0
DLeal Gestión inmobiliaria,"Av. del País Valencià, 4, bajo izquierda, 03570 La Vila Joiosa, Alicante, España",+34 600 62 70 42,https://www.dleal.es/,4.6,11.0
Gestión Inmobiliaria Baldó S.L.,"Av. País Valenciá, nº 6, Bj., Av. País Valencia, 6, local 1, 03570 Villajoyosa, Alicante, España",+34 965 89 12 46,,4.6,8.0
Inmo 33,"03570 Villajoyosa, Alicante, España",+34 601 21 58 23,https://www.inmo33.es/section/sobre-nosotros/,5.0,4.0
Spain Time Realty,"Av. Mariners de la Vila Joiosa, 15, local 3, 03570 La Vila Joiosa, Alicante, España",+34 966 80 11 60,http://www.spaintime.es/,4.0,38.0
Allonis Homes,"Plaça de la Generalitat, 10, 03570 La Vila Joiosa, Alicante, España",+34 667 76 16 10,http://www.allonishomes.com/,5.0,8.0
INMOBILIARIA La Vila Inmogarden,"Av. del País Valencià, 34, 03570 La Vila Joiosa, Alicante, España",+34 623 33 37 71,,5.0,2.0
Grupo FIL,"Av. Cdad. de Requena, 2, local 1, 03570 La Vila Joiosa, Alicante, España",+34 965 89 08 19,http://www.grupofil.es/,4.4,17.0
Villajoyosa Rentals,"Av. del País Valencià, 20, 03570 La Vila Joiosa, Alicante, España",+34 699 99 35 35,http://www.vilarentals.es/,4.9,46.0
villajoyosa-immo,"Carrer Jaime Soler Urriós, 4, 03570 La Vila Joiosa, Alicante, España",+34 966 85 30 23,,4.5,2.0
HappyVila Real Estate,"Carrer Arsenal, 14, 03570 Villajoyosa, Alicante, España",+34 965 89 33 94,http://www.happyvila.es/,3.5,11.0
LaVilaDomus,"Urbanización Sainvi, Partida Paraíso, 44, 03570 Villajoyosa, Alicante, España",+34 965 89 34 54,http://laviladomus.com/,3.5,26.0
LuxInvest,"C. Edeta, 3, Bloque 2, BAJO 1, 03570 Villajoyosa, Alicante, España",+34 618 68 55 51,http://www.luxinvest.eu/,4.3,6.0
INMOJUSTYNA,,+34 679 92 02 09,https://www.inmojustyna.com/,5.0,1.0
MILPISOS,"Av. Rosa dels Vents, 9, local 12, 03570 Benidorm, Alicante, España",+34 966 80 83 94,http://www.milpisos.es/,3.9,101.0
Noel Picou Remax,"Urbanisacion Terramar, Avinguda Tellerola, 9, 03570 La Vila Joiosa, Alicante, España",+34 684 42 29 80,,4.7,15.0
Fincas Secanet,"Plaça de la Generalitat, 2, 03570 La Vila Joiosa, Alicante, España",+34 965 89 42 21,http://www.fincassecanet.com/,3.4,14.0
PROM Viviendas + Servicios,"Av. Marina Baixa, 3, 03570 La Vila Joiosa, Alicante, España",+34 966 81 02 76,http://www.inmoprom.com/,5.0,2.0
"Prom 95, S.L.","Av. del País Valencià, 3, 03570 La Vila Joiosa, Alicante, España",+34 966 81 02 76,http://www.inmoprom.com/,4.4,13.0
Litoral Inmobiliaria,"Carrer Colón, 12, 03570 La Vila Joiosa, Alicante, España",,,4.8,5.0
"Frigorificos Villajoyosa, nave industrial, alquiler sala despiece, inmobiliaria","P.I. Torres, C/ Menadors, S/N, 03570 Villajoyosa, Alicante, España",+34 965 89 03 50,,3.5,15.0
